# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
1.759481840719355761e+00 -1.463633134564106086e+01 -1.046071239544543658e+02 6.041944435193811330e-02 -1.640593163804131294e+01 -8.016122770441633349e+00 -4.255023650318223716e+00 2.356803195217517521e-01 2.747853296216578034e+00 -1.129958758984007616e+01 -3.764262700250027294e+00 2.500185390884027470e+00 3.395354209055386208e-01 2.928529515270269723e+00 5.055078513614822633e+00 -1.228483055359949461e+01 -2.095892866856029357e+01 -6.093107286520684340e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.447676235641851424e-22 5.296356153847537274e-19 1.506879567060865682e-18 -2.469449323184178056e-18 -3.841163898616978695e-17 -3.065383738521341856e-17 -6.859678745162947208e-17 7.654230060664136990e-17 -4.363636557859807616e-16 -1.364070539759622987e-16 -1.237753600460825265e-16 -5.778096973576590928e-16 -1.249458066209405954e-15 -9.986665149787397560e-16 -4.158233612370124989e-03 -9.395540905669309828e-02 -2.420879339858205692e-01 -3.076321606929884322e-01 -6.926162151668224798e-02 6.083662017769478902e-01 1.411669900276864897e+00 1.183516410373960825e+00 -1.307747706733887627e+00 -3.807974850864603411e+00 1.812102864349551534e-01 6.442966075638159928e+00 -1.494430173982503662e+00 -9.151154036830952521e+00 9.780999615978158701e+00 -5.234904096729315448e+00 -4.737886942188175077e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.463633134564106086e+01 1.393803027409354945e+04 9.608764145567653759e+04 -3.215624583082146160e+01 1.506978891484309679e+04 5.646932683480095875e+03 3.392703789080547722e+03 -2.472576812837136004e+03 2.854938493377738268e+03 1.479604504112375980e+04 9.331987320128986312e+02 -1.198045681878082860e+03 -1.803908641345081207e+02 7.214135942948107186e+03 -4.813900129533939435e+03 1.169871985845503696e+04 1.995897574305464877e+04 4.858282791614330563e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.901047233531497973e-07 9.020692768268883700e-04 6.660969391685391677e-03 1.986665720067529520e-02 4.341592491772464091e-02 8.305066063658825271e-02 1.480268695527258704e-01 2.506730067365005588e-01 4.091880751948205885e-01 6.507976905631819298e-01 1.022267040585090214e+00 1.574487569200824666e+00 2.393157747113279665e+00 3.612372401947544720e+00 5.422803296714346466e+00 8.054563336933560080e+00 1.190058146009989670e+01 1.757989570516513922e+01 2.581543986427278980e+01 3.774678175197536945e+01 5.499572019123534261e+01 8.013260297550738187e+01 1.160174144379324304e+02 1.674570947637420488e+02 2.420359775840681777e+02 3.491142175710020865e+02 4.987795375063462302e+02 7.092338147783600562e+02 1.009872343543489933e+03 1.409919274048018906e+03 1.530903216969519917e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.046071239544543658e+02 9.608764145567653759e+04 6.881095227329296758e+05 -2.753290995947945703e+02 1.079188239068394178e+05 4.036987964504527918e+04 2.818890863363117751e+04 -2.127248143694099417e+04 1.042151561997873978e+04 9.986121429134198115e+04 8.955006542149621964e+03 -9.267307682015885803e+03 -1.398601701636730922e+03 4.513374473242020031e+04 -3.318663401885702478e+04 8.065001848496387538e+04 1.375955473841804487e+05 4.036594357866812061e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.404222337847613644e-06 9.322979051816388321e-03 6.586187057516962318e-02 1.877452702189069123e-01 3.947047759654939147e-01 7.300833675261525491e-01 1.263334863700858346e+00 2.085737412984776551e+00 3.330576705169519425e+00 5.198032526751141802e+00 8.030360235144724967e+00 1.219487996285258014e+01 1.831417755279630555e+01 2.735274726599683959e+01 4.068774901579494241e+01 5.997385613559849560e+01 8.802305412532116691e+01 1.292764433578179251e+02 1.889140721190561294e+02 2.750239901158480507e+02 3.992222221985590522e+02 5.799084813682154618e+02 8.372349349529300753e+02 1.205616369715990913e+03 1.739121799805182945e+03 2.504059081446162509e+03 3.573095439002909643e+03 5.075340593362486288e+03 7.220921410657407250e+03 1.007702576968620815e+04 1.093738237434671100e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.041944435193811330e-02 -3.215624583082146160e+01 -2.753290995947945703e+02 2.255144417283026503e-01 -4.318090599529693918e+01 -1.851872097961761554e+01 -1.785083836122361944e+01 1.468490693738672093e+01 1.951006718229638892e+01 -2.638965627013775261e+01 -9.976652124014533385e+00 5.967598691813164713e+00 8.847171529032898940e-01 8.191671737953721832e-01 1.110608550320312382e+01 -2.698996230289492004e+01 -4.604708971812067375e+01 -2.556203730645306393e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.668966572748961439e-12 -1.504275365346512525e-08 -1.169487455455928326e-07 -3.805481712312436331e-07 -9.275444359318853731e-07 -2.008975630018542885e-06 -4.114541619974075653e-06 -8.123550866984480869e-06 -1.557971004838202723e-05 -2.935430512969415258e-05 -5.531006965917568247e-05 -1.027178736764582865e-04 -1.892869618077885679e-04 -3.483433150511977853e-04 -6.427543753985947433e-04 -1.176215938591194336e-03 -2.146044289424181833e-03 -3.942780651572938728e-03 -7.219633962251142956e-03 -1.316184647486073021e-02 -2.396176792800035205e-02 -4.394934042160163201e-02 -7.988378134561779920e-02 -1.448770588377105428e-01 -2.642040719402953819e-01 -4.815858373479968702e-01 -8.692831243717308309e-01 -1.561190971566240204e+00 -2.826012311042553904e+00 -5.005918803586873800e+00 -6.679660405162419323e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.640593163804131294e+01 1.506978891484309679e+04 1.079188239068394178e+05 -4.318090599529693918e+01 1.692531809061398235e+04 6.331361198506274377e+03 4.420973357375753949e+03 -3.336243871668895281e+03 1.634445784979165182e+03 1.566161264187770576e+04 1.404447609253513519e+03 -1.453426980422910447e+03 -2.193480045956602851e+02 7.078496211895546367e+03 -5.204785567444907429e+03 1.264864800648927303e+04 2.157963108771250336e+04 6.330743890301389911e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.004398456794309995e-06 1.462158132304505753e-03 1.032936673299817733e-02 2.944480215246204208e-02 6.190304567132275115e-02 1.145017410374469802e-01 1.981335938349155223e-01 3.271141019729403299e-01 5.223469652416276032e-01 8.152271380993557637e-01 1.259431825159359031e+00 1.912569234689870834e+00 2.872281863603734831e+00 4.289835001619477950e+00 6.381213856424835740e+00 9.405927116959574619e+00 1.380498912464496541e+01 2.027491447963825522e+01 2.962810978340897350e+01 4.313305451956099290e+01 6.261153388203450021e+01 9.094924458289894176e+01 1.313067273869243081e+02 1.890813837103093817e+02 2.727530619258199067e+02 3.927210743859951094e+02 5.603820972460911207e+02 7.959848972688951108e+02 1.132484467104688065e+03 1.580418136380785882e+03 1.715351122842998393e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.016122770441633349e+00 5.646932683480095875e+03 4.036987964504527918e+04 -1.851872097961761554e+01 6.331361198506274377e+03 2.683954907425872989e+03 1.643667972464435479e+03 -1.134491108606680427e+03 2.427184574745167538e+02 5.617166017616224053e+03 6.965683234983305283e+02 -6.200699780067027405e+02 -9.146075058145929404e+01 2.032164709398695777e+03 -1.950330817332232755e+03 4.739685753615835893e+03 8.086292699602533503e+03 2.353699091400990255e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.775164317276590635e-07 -1.371583791929393810e-03 -9.277698803610878384e-03 -2.501862140679464441e-02 -4.955344211867209608e-02 -8.601877729702342434e-02 -1.389570715908420850e-01 -2.129658057262161786e-01 -3.140630477704168810e-01 -4.497603081850566897e-01 -6.309819554066130598e-01 -8.624954062844765179e-01 -1.152308090812617758e+00 -1.506484972814843726e+00 -1.918200830055963202e+00 -2.357792436950550297e+00 -2.774220731438195475e+00 -3.050146304102211658e+00 -2.968631208948116829e+00 -2.171697220397821759e+00 -3.343225967397537440e-02 4.567126373047966759e+00 1.315524224131371156e+01 2.835415159198765878e+01 5.462278260684048092e+01 9.843734907757860242e+01 1.684082650166149904e+02 2.787697955839632300e+02 4.540906033119901508e+02 7.126304169065988390e+02 8.483149658699269366e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.255023650318223716e+00 3.392703789080547722e+03 2.818890863363117751e+04 -1.785083836122361944e+01 4.420973357375753949e+03 1.643667972464435479e+03 1.722662854275062728e+03 -1.391602113730622023e+03 -1.035288191057593849e+03 3.201426196026520756e+03 6.983026685520773071e+02 -4.799745517353624109e+02 -7.287082692400004191e+01 8.965472239695857297e+02 -1.171767953473417720e+03 2.847625554734526304e+03 4.858282791614330563e+03 2.466818154774980485e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.801251506684188217e-07 7.995766490235533012e-04 5.347368540993498176e-03 1.432493503562663577e-02 2.839280364205746393e-02 4.965095239177114844e-02 8.140690804422263949e-02 1.278362348722645037e-01 1.948305474371683499e-01 2.913503580884464483e-01 4.324896725184616542e-01 6.337151050768419225e-01 9.218261569463765959e-01 1.336947463804407432e+00 1.937203334048025249e+00 2.791366667895423426e+00 4.014357575840728387e+00 5.789276294334729123e+00 8.328753884628413928e+00 1.195351738930305530e+01 1.713970086231482526e+01 2.464000566586817342e+01 3.523199285804275149e+01 5.032417510642972758e+01 7.209586963326104581e+01 1.031579940965088440e+02 1.465496054867655573e+02 2.073790579763911808e+02 2.941988062686811531e+02 4.099262764644988692e+02 4.442900046485341363e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.356803195217517521e-01 -2.472576812837136004e+03 -2.127248143694099417e+04 1.468490693738672093e+01 -3.336243871668895281e+03 -1.134491108606680427e+03 -1.391602113730622023e+03 1.406380163425947558e+03 1.300349558529863998e+03 -2.290445562671435709e+03 -6.225425129620275584e+02 3.915228442051812294e+02 6.069618342711748937e+01 -6.018445836222203980e+02 8.539756052706227365e+02 -2.075327926045450567e+03 -3.540679684272333361e+03 -1.992745910701459024e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -8.049473237795623742e-07 -1.099962966397104386e-03 -7.390344254597414411e-03 -2.017718962339534391e-02 -4.105142347320335505e-02 -7.393459702711240034e-02 -1.246593383736881722e-01 -1.995294217801350800e-01 -3.073117184941619451e-01 -4.584093468373871549e-01 -6.688640204822798863e-01 -9.468555942598353425e-01 -1.315795047019213682e+00 -1.814250824998438594e+00 -2.610500613690946992e+00 -4.174081429819339384e+00 -5.896724279123700896e+00 -8.261595844326095062e+00 -1.146706778908191993e+01 -1.565357683250633691e+01 -2.105508435909206355e+01 -2.828974531232882583e+01 -3.742269179693590786e+01 -5.031336741025877046e+01 -7.047051607221548863e+01 -9.973398920963809644e+01 -1.213224869729338309e+02 -1.472132248919875792e+02 -2.359292690577362634e+02 -2.660157303997814324e+02 -2.596469466638945960e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
2.747853296216578034e+00 2.854938493377738268e+03 1.042151561997873978e+04 1.951006718229638892e+01 1.634445784979165182e+03 2.427184574745167538e+02 -1.035288191057593849e+03 1.300349558529863998e+03 5.399456855153121069e+03 4.372254888529309028e+03 -1.215569839330101331e+03 3.270926691936874704e+02 4.787021205040882421e+01 4.469247101670317534e+03 -9.860352225398158907e+02 2.396258652790015276e+03 4.088213830554693232e+03 -1.482511623668664924e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.237783452286065300e-07 1.268765120565332281e-03 9.191102707229848942e-03 2.640462392561615870e-02 5.486009878431501174e-02 9.925633034693538692e-02 1.664200718441206928e-01 2.635729093973425696e-01 4.016634340516526680e-01 5.945535394904415405e-01 8.653022164984327524e-01 1.231072849303199490e+00 1.731952554089447149e+00 2.431720796867446577e+00 3.517991025219683987e+00 5.431447736965959727e+00 7.707127024983797092e+00 1.087628139050174347e+01 1.521632644149706159e+01 2.101303077730866775e+01 2.865684908921175733e+01 3.884346589924935245e+01 5.166132885521425777e+01 6.828451217311449284e+01 9.037729725277017678e+01 1.167145014074710616e+02 1.298482850210455126e+02 1.273706250453582811e+02 1.256815158473832525e+02 2.124623774229652540e+00 -1.695198846179212637e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.129958758984007616e+01 1.479604504112375980e+04 9.986121429134198115e+04 -2.638965627013775261e+01 1.566161264187770576e+04 5.617166017616224053e+03 3.201426196026521211e+03 -2.290445562671435709e+03 4.372254888529309028e+03 1.617941020599785406e+04 5.572862086875474006e+02 -1.091352446620005821e+03 -1.660311609303363696e+02 8.751405801765546130e+03 -5.110240237635575795e+03 1.241888434342971232e+04 2.118763543065547492e+04 4.584377170455569285e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.385032380830637367e-06 2.045772566397814456e-03 1.459057675906823455e-02 4.192669235222986485e-02 8.843352186245657942e-02 1.636541987113264429e-01 2.823147927378108490e-01 4.622431136259200768e-01 7.295852383680785369e-01 1.120619664261017112e+00 1.696220790192097816e+00 2.513271905836688358e+00 3.678753280578449747e+00 5.361715026050903887e+00 7.916987914311399699e+00 1.203497421932218714e+01 1.746556859327805356e+01 2.528514922074922922e+01 3.636645771183409437e+01 5.190923937785736086e+01 7.363275482527551219e+01 1.044444600266123615e+02 1.468747206472219773e+02 2.067083279610329782e+02 2.933144185733333416e+02 4.151700771383033839e+02 5.624315017789962212e+02 7.564736372892820100e+02 1.064784656751661942e+03 1.363318182469295834e+03 1.377743121216312602e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
