# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
3.660679095029726682e+01 -6.699244220989861276e+01 -4.301627555492402166e+02 2.475742665646024909e-01 -8.021686790752364971e+01 -3.811432310746812391e+01 -2.179905963390011436e+01 -2.801116475192841904e+01 3.347363144831723503e+01 -1.369219964497715125e+01 -4.454661964536244767e+01 2.238788025006050475e+01 3.513334934216921557e+00 9.458600151526921707e+01 1.726702834969223233e+01 -5.978646002661133707e+01 -1.018792074424448657e+02 -3.315106667605837032e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.281298245203399641e-19 -2.322036991356568400e-17 8.272741841265802969e-17 1.025345609731113914e-16 -1.011207581767787008e-16 -1.303898435864131284e-15 -9.867138298219932552e-16 -2.050914271119280868e-15 2.188641310083034476e-15 -1.227528987028403563e-14 -3.832801991175527307e-15 -3.349191299019033773e-15 -1.543913838853981585e-14 -3.311903229287977545e-14 -2.632362498393937795e-14 -1.072281864893934317e-01 -2.410046875861049376e+00 -6.155524790110910693e+00 -7.756322543616940735e+00 -1.742248719764457388e+00 1.505102109128708321e+01 3.460548787531761405e+01 2.862594397810811842e+01 -3.059397047576089079e+01 -8.750508325371053786e+01 3.707039067438355762e+00 1.411241425936042333e+02 -2.879745910961755229e+01 -1.803935217333022365e+02 1.791703160167361943e+02 -8.000847344735304034e+01 -3.700308426714212828e+01 2.673275457049321702e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-6.699244220989861276e+01 2.512689760687598027e+05 1.518395062508973759e+06 -6.005311130349307405e+02 2.831507251370492158e+05 1.035546783031263185e+05 6.190699744572308555e+04 -3.992395649733815662e+04 5.163754953042339912e+04 2.527982075842575578e+05 1.675400282802688525e+04 -2.301611961626530319e+04 -4.565663112818034278e+03 1.398525409936578071e+05 -6.476355227629456203e+04 2.242414531865323952e+05 3.821189867441110546e+05 9.414548308525183529e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.733786885032498486e-04 2.897066670016618453e-02 1.399943743762745441e-01 3.715749432342300151e-01 7.936992848163537673e-01 1.493663088262733751e+00 2.618672110878548231e+00 4.402812860285172825e+00 7.165306699066364970e+00 1.135169449449015566e+01 1.763183595722301078e+01 2.716584284428195062e+01 4.117763223238256387e+01 6.171868686944323201e+01 9.187859254646794227e+01 1.362412793431823275e+02 2.000954061279677489e+02 2.922817098925212917e+02 4.272641204476090024e+02 6.216125909871173008e+02 8.994698443067687776e+02 1.296015870026941229e+03 1.854911764608839121e+03 2.618854489549082246e+03 3.679084216516380820e+03 5.200893535546571911e+03 7.296782928243018432e+03 9.900350251431238576e+03 1.322176747342852468e+04 1.775370718503695025e+04 2.243767179135648985e+04 2.664947265538332431e+04 3.339994493479869561e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.301627555492402166e+02 1.518395062508973759e+06 9.550527029575854540e+06 -4.519860430693028320e+03 1.780984883734373841e+06 6.496063108473543543e+05 4.524584011799307191e+05 -3.010174198556803749e+05 1.695273308688791585e+05 1.492421946219003526e+06 1.544071366440572019e+05 -1.568308605805273692e+05 -3.109838312853063326e+04 7.724042198767979862e+05 -3.913601254933981108e+05 1.355070254415704869e+06 2.309109512208209839e+06 6.880791592648647493e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.426759013358669802e-03 2.585570737842090572e-01 1.192310605040354909e+00 3.033066303013443932e+00 6.238885703241669134e+00 1.137055122769362114e+01 1.939321567246048872e+01 3.183024039964804786e+01 5.073627669978894517e+01 7.895044420526458850e+01 1.207676387393253066e+02 1.835762354480107490e+02 2.750939200161116673e+02 4.083464593674659113e+02 6.028628153135574621e+02 8.874687935943996990e+02 1.295496781598354119e+03 1.882676142078104476e+03 2.739813451085023189e+03 3.971056624823874699e+03 5.728361071752680800e+03 8.231118134992992054e+03 1.176095816180480506e+04 1.658652006398743106e+04 2.328421114418694924e+04 3.288427437081454264e+04 4.609618850333875162e+04 6.255476379324695881e+04 8.352253090736072045e+04 1.119209794083398738e+05 1.409215575604949845e+05 1.660473765378061798e+05 2.069100168498550556e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.475742665646024909e-01 -6.005311130349307405e+02 -4.519860430693028320e+03 4.447530018752225978e+00 -8.428648051280282516e+02 -3.611222630578765802e+02 -3.341181849506273807e+02 2.387345304565235153e+02 3.542099339322672904e+02 -4.452109524520706714e+02 -2.400988649963497608e+02 1.245876149040668395e+02 2.377438657131310507e+01 1.444887295567508545e+01 1.547844415218859240e+02 -5.359355204831488209e+02 -9.132617325523916634e+02 -5.081124788409117059e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.822081898573569639e-09 -3.659774057585437417e-07 -1.884891990806318725e-06 -5.486181106905151217e-06 -1.317399788211364655e-05 -2.828666670912996110e-05 -5.729758668656099698e-05 -1.127661578283188252e-04 -2.173023429678860527e-04 -4.101703936406329593e-04 -7.644466077338733226e-04 -1.429015048204988671e-03 -2.638039886445973925e-03 -4.837317321343166318e-03 -8.860793765467805949e-03 -1.627516161941586215e-02 -2.964624138909334808e-02 -5.383928952147404995e-02 -9.847301273396955046e-02 -1.795608658659966494e-01 -3.258599707481631413e-01 -5.893785320067181921e-01 -1.068950535135062996e+00 -1.910590121922113305e+00 -3.399705775100059668e+00 -6.095508388562261182e+00 -1.085310028279538841e+01 -1.872420677521164123e+01 -3.171677410172123146e+01 -5.376539642500372196e+01 -8.458372943756863549e+01 -1.216409562161065594e+02 -1.646449399241003420e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.021686790752364971e+01 2.831507251370492158e+05 1.780984883734373841e+06 -8.428648051280282516e+02 3.321185465752467280e+05 1.211387619148983649e+05 8.437456598202693567e+04 -5.613381050527207844e+04 3.161350286976971620e+04 2.783072513316076365e+05 2.879388492929971471e+04 -2.924586162962535309e+04 -5.799234962528853430e+03 1.440381494626597269e+05 -7.298094287798524601e+04 2.526938704051436507e+05 4.306033712479544338e+05 1.283131891746296897e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.255032274461625991e-04 4.821579359612785526e-02 2.223424066250052067e-01 5.656070309316681977e-01 1.163429106520562195e+00 2.120383492297075900e+00 3.616452144755259557e+00 5.935711905934678789e+00 9.461314708545632612e+00 1.472270035551481548e+01 2.252078219065407083e+01 3.423334642510187820e+01 5.129958918902573117e+01 7.614855904891435046e+01 1.124220221265293844e+02 1.654954225335354749e+02 2.415845929557740135e+02 3.510819601499376859e+02 5.109211591699184964e+02 7.405237218179630645e+02 1.068226334082951325e+03 1.534941153431343537e+03 2.193186683786288086e+03 3.093058782645049632e+03 4.342046040920742598e+03 6.132268448183780492e+03 8.596029796887818520e+03 1.166522940318771361e+04 1.557530432996981472e+04 2.087105474721131759e+04 2.627909046593118182e+04 3.096456003755387064e+04 3.858463634118233585e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.811432310746812391e+01 1.035546783031263185e+05 6.496063108473543543e+05 -3.611222630578765802e+02 1.211387619148983649e+05 5.151233544400996470e+04 3.049401791975888773e+04 -1.829809122201269565e+04 3.866806452049812833e+03 9.595771674097243522e+04 1.549762266693241145e+04 -1.262207772452828249e+04 -2.416128923240696622e+03 3.869100883991173760e+04 -2.669079536466186983e+04 9.241591186570690479e+04 1.574814740956106689e+05 4.637398301836661267e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.488555443032660096e-04 -4.785852279797685876e-02 -2.108895950351344917e-01 -5.094849349159061846e-01 -9.897226890228806306e-01 -1.698573887729060372e+00 -2.718126136923463054e+00 -4.164099128159238994e+00 -6.161273601743919137e+00 -8.854061312732634192e+00 -1.242658492250374280e+01 -1.715360188057381308e+01 -2.313737766343762203e+01 -3.055432061740464889e+01 -3.948603263934303698e+01 -4.975686918522136892e+01 -6.057295644690000813e+01 -7.056798789336453126e+01 -7.688806436938121180e+01 -7.423161567662691596e+01 -5.383627432817877434e+01 -9.177249283746844455e-01 1.099061851274352648e+02 3.094275101966048851e+02 6.505780542928334853e+02 1.227430283545539396e+03 2.152939873285843532e+03 3.501533640740955889e+03 5.450199364177786265e+03 8.360888936883444330e+03 1.183077546866856028e+04 1.545124357621033050e+04 2.013620675813473781e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.179905963390011436e+01 6.190699744572308555e+04 4.524584011799307191e+05 -3.341181849506273807e+02 8.437456598202693567e+04 3.049401791975888773e+04 3.162636407184222844e+04 -2.232374853815077950e+04 -1.705683518406562507e+04 5.492554091468406841e+04 1.523683239001621405e+04 -9.378919654809309577e+03 -1.858001752333852892e+03 1.926291577598265212e+04 -1.595627573317037786e+04 5.524802658424909896e+04 9.414548308525183529e+04 4.809600605140222615e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.438926211248344386e-04 2.458351428098237354e-02 1.068609984840479810e-01 2.561372784691469673e-01 4.969976858347894266e-01 8.579003655712380549e-01 1.390911049223077400e+00 2.176437503038699095e+00 3.319379102317498553e+00 4.960173023283115157e+00 7.315468990104491809e+00 1.075006281944321174e+01 1.563271480865694940e+01 2.260026579337164776e+01 3.259338902188651588e+01 4.697665085244226901e+01 6.734006210076458387e+01 9.634355333176030456e+01 1.382616626121987338e+02 1.980162787832959168e+02 2.828225647548557049e+02 4.027693848203876996e+02 5.723312689704483773e+02 8.042479779167877041e+02 1.126233690504387596e+03 1.585573004290723020e+03 2.216178811254624634e+03 3.009228656153374686e+03 4.014933017693375859e+03 5.343039516465034467e+03 6.642457820871694821e+03 7.612092757648698353e+03 9.289917792084098664e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.801116475192841904e+01 -3.992395649733815662e+04 -3.010174198556803749e+05 2.387345304565235153e+02 -5.613381050527207844e+04 -1.829809122201269565e+04 -2.232374853815077950e+04 1.977584200040387077e+04 1.885383327026361076e+04 -3.498062863489449228e+04 -1.195494752439007971e+04 6.656572683258504185e+03 1.351158351633150687e+03 -1.226044993041714406e+04 1.029023671821830976e+04 -3.562957179189972521e+04 -6.071462558674216416e+04 -3.394899085907913832e+04 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -5.350492208927038742e-04 -2.961459398759227687e-02 -1.305536128407312757e-01 -3.212792904441617026e-01 -6.452706371243690509e-01 -1.152753964535529807e+00 -1.930220607844656211e+00 -3.101619012289460020e+00 -4.802937468051429626e+00 -7.212398363200714257e+00 -1.053839297769879124e+01 -1.511144228794367805e+01 -2.107578461292625960e+01 -2.890436534588769391e+01 -3.934724943769988670e+01 -5.603066581468290508e+01 -8.894524563982879783e+01 -1.243944460152148963e+02 -1.726766863793385198e+02 -2.377204024912949478e+02 -3.216096547593855917e+02 -4.285133225506800159e+02 -5.673496614973067835e+02 -7.356940957456916976e+02 -9.679559808397515326e+02 -1.330514850608454253e+03 -1.838091409633956573e+03 -2.148271534863542001e+03 -2.469883597943146924e+03 -3.683562534667299133e+03 -3.725693932715335450e+03 -3.847365076795574169e+03 -5.332971623838432151e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
3.347363144831723503e+01 5.163754953042339912e+04 1.695273308688791585e+05 3.542099339322672904e+02 3.161350286976971620e+04 3.866806452049812833e+03 -1.705683518406562507e+04 1.885383327026361076e+04 9.220294718977247248e+04 7.725691437610481807e+04 -2.974261026338142983e+04 6.699185797042474405e+03 1.209061922824730573e+03 8.355875436228913895e+04 -1.330936747845136233e+04 4.608320265739855677e+04 7.852815104047964269e+04 -2.593929692224669634e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.788022487620229677e-04 4.116511369816414773e-02 1.937005364755656212e-01 4.932000927595411865e-01 1.001401124234790441e+00 1.781101840348024545e+00 2.948041079898197303e+00 4.666834992525052073e+00 7.122222116198937414e+00 1.057153317130205039e+01 1.534590732326561024e+01 2.200268453018379944e+01 3.093872884589324812e+01 4.308607558013800798e+01 5.986245648989032730e+01 8.567484520485447774e+01 1.307362537707223566e+02 1.837048812974361169e+02 2.568842397039958882e+02 3.564058744119145103e+02 4.874596741703249450e+02 6.573950341616651940e+02 8.743400515858294284e+02 1.130551221878086835e+03 1.446996691622138997e+03 1.862368032835919621e+03 2.320559059208203962e+03 2.392595013252001536e+03 2.092310817851331194e+03 1.877547273380050910e+03 -1.306736266340345765e+02 -2.641050353503771021e+03 -3.987346629858692495e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.369219964497715125e+01 2.527982075842575578e+05 1.492421946219003526e+06 -4.452109524520706714e+02 2.783072513316076365e+05 9.595771674097243522e+04 5.492554091468406114e+04 -3.498062863489449228e+04 7.725691437610481807e+04 2.644898649878894794e+05 5.332245163547086122e+03 -1.904296014494421615e+04 -3.865336206523502824e+03 1.636145023571745842e+05 -6.515770545328444859e+04 2.256061942805543658e+05 3.844445758651462966e+05 8.352838607082114322e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.125880288043614244e-03 6.644596307308141270e-02 3.091965999958608546e-01 7.910506890228515831e-01 1.631664129745318936e+00 2.969611391086155461e+00 5.045259467181393731e+00 8.220409048567059784e+00 1.294288546791577765e+01 1.982911902498812040e+01 2.973249001085545018e+01 4.410023746214777418e+01 6.420734514297322448e+01 9.250347998800198468e+01 1.327127929971570950e+02 1.934314291278433018e+02 2.915655278118652518e+02 4.179336304700369169e+02 5.979585359587576932e+02 8.507381821778727726e+02 1.199427901359093084e+03 1.678465881619046741e+03 2.332739896475331989e+03 3.189524463182628551e+03 4.356148010267775135e+03 6.030342522081718016e+03 8.279563294862866314e+03 1.057056067132096723e+04 1.322481374995388251e+04 1.751048644766179132e+04 2.008843143418920226e+04 2.208022141129010561e+04 2.766914708852022159e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
