# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
1.147842337375735333e+01 -7.836491624919095500e+01 -5.502139988133604902e+02 3.282442974153479409e-01 -8.809378439006101758e+01 -4.378488744935309995e+01 -2.261764556872783416e+01 -1.115020628832938288e+00 1.651430359338797871e+01 -5.751931043226934293e+01 -2.217425736943010861e+01 1.427357734442841952e+01 1.982102486982476597e+00 2.167607086812446937e+01 2.628761162218730263e+01 -6.626296298840897236e+01 -1.129635134257780891e+02 -3.260347654475869916e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.659771416357974804e-20 -3.221616325210345009e-18 -2.317330051262282251e-17 3.852053112562400948e-17 4.088333142822245330e-17 -3.567484123021929985e-17 -4.335595970158595083e-16 -3.210516609295485358e-16 -6.483633483117561504e-16 6.792047036475057812e-16 -3.779359729361242752e-15 -1.180664225731053936e-15 -1.015327144299674724e-15 -4.652576857531668559e-15 -9.956965223602169073e-15 -7.909163485191990878e-15 -3.207868826453751793e-02 -7.207794331664433285e-01 -1.841046053333068144e+00 -2.319797187861961874e+00 -5.214966942770848934e-01 4.507791810217015360e+00 1.038617916605070590e+01 8.628120194626909267e+00 -9.325915433010845135e+00 -2.685709765130895832e+01 1.192195221318814502e+00 4.412465303095228109e+01 -9.480370418175825264e+00 -5.888229772726190703e+01 6.033846437522388584e+01 -2.913000608554385806e+01 -2.680802272706526779e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.836491624919095500e+01 8.512595307617633080e+04 5.770323366174492985e+05 -1.884802157743299063e+02 9.238762073975117528e+04 3.351355686039885040e+04 2.065866201828168778e+04 -1.524439038737865303e+04 1.862577764262989149e+04 9.076244359949261707e+04 5.188377268040469971e+03 -7.171086600397692564e+03 -1.124115740128029984e+03 4.644719726807768893e+04 -2.855561009367080624e+04 7.197988778681236727e+04 1.227095899984718271e+05 2.977958959134176257e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.786579433662813228e-05 4.615576543974350514e-03 2.521949321349821471e-02 7.068950686874024558e-02 1.544759471290058084e-01 2.999801051538545371e-01 5.343100742626061272e-01 9.033408702734500029e-01 1.481393982726377789e+00 2.367074678368449092e+00 3.694346105978692396e+00 5.672514203690553813e+00 8.658875617837599847e+00 1.303845504378431563e+01 1.943314525546009008e+01 2.882495353093494472e+01 4.260177728473202308e+01 6.245229739866243079e+01 9.115376098866418886e+01 1.331725501097555480e+02 1.936973524537834805e+02 2.803938436192303243e+02 4.048106708729039838e+02 5.824832436965688203e+02 8.291099702427467264e+02 1.175954099903998667e+03 1.676969675624317915e+03 2.376732822688687520e+03 3.290856238995927015e+03 4.510791731095907380e+03 6.210801828281885719e+03 8.192184916092279309e+03 8.393015583328948196e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.502139988133604902e+02 5.770323366174492985e+05 4.065219094214952551e+06 -1.588972924370514647e+03 6.508749961950895377e+05 2.356378939936866518e+05 1.691505522841888596e+05 -1.282440428776947520e+05 7.271638216404146806e+04 6.032324054003090132e+05 5.012673470855969208e+04 -5.444968231567146722e+04 -8.553822138385678045e+03 2.894359996586099733e+05 -1.935662370927291049e+05 4.879207966331738280e+05 8.317956966522797011e+05 2.438315715564874699e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.065048824027792603e-04 4.587068752207477257e-02 2.388456737016395603e-01 6.419111215187228714e-01 1.353359721615303046e+00 2.546719384094745298e+00 4.417043520270158119e+00 7.299932539601655890e+00 1.173367635640831352e+01 1.842701584353103783e+01 2.833860799829938415e+01 4.296779908844565199e+01 6.486140375248807288e+01 9.673197157356786136e+01 1.430202131576851627e+02 2.106485208451825315e+02 3.094533551323949041e+02 4.513158274409840942e+02 6.558303422771135729e+02 9.544863722315589030e+02 1.383829299067851935e+03 1.997889010072567771e+03 2.877250300749671624e+03 4.132938594164743336e+03 5.875571494452527986e+03 8.325423470586309122e+03 1.185825939998892318e+04 1.679194704787460796e+04 2.324835853103797126e+04 3.185149107150021518e+04 4.378687806769921735e+04 5.760013990751777601e+04 5.872779569249280030e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.282442974153479409e-01 -1.884802157743299063e+02 -1.588972924370514647e+03 1.290875210718092081e+00 -2.544076277648895257e+02 -1.073042790057938589e+02 -1.046925840434177104e+02 8.468971311680667213e+01 1.085219734092823245e+02 -1.561300814619760331e+02 -5.818785936970249395e+01 3.464647850101388116e+01 5.320344993599597672e+00 -2.290406133878945205e+00 6.322593001932544610e+01 -1.593730735599517061e+02 -2.716954015163244662e+02 -1.509150100481363950e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.241936220456670669e-10 -4.340993352809303875e-08 -2.519478314348745994e-07 -7.743766489107773050e-07 -1.897330171991960809e-06 -4.218457233681174272e-06 -8.708929313404396069e-06 -1.725215876620587760e-05 -3.350693717376960589e-05 -6.404172396731141234e-05 -1.202425273236070266e-04 -2.233728211155191676e-04 -4.167379175432027439e-04 -7.685986001088839208e-04 -1.408978506365935910e-03 -2.581809445784846984e-03 -4.746024750779306509e-03 -8.655861908174704647e-03 -1.574315672107470809e-02 -2.884033878462477149e-02 -5.267285035655052544e-02 -9.576317127426388354e-02 -1.736780623763063969e-01 -3.164969253033408925e-01 -5.697355069532729077e-01 -1.022028815752385800e+00 -1.845813571516751628e+00 -3.319550347285509684e+00 -5.837363467441073261e+00 -1.013416167107848764e+01 -1.765776801440113175e+01 -2.915600047975314624e+01 -3.586178380738358129e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.809378439006101758e+01 9.238762073975117528e+04 6.508749961950895377e+05 -2.544076277648895257e+02 1.042104375812905346e+05 3.772756395216569217e+04 2.708239396765641141e+04 -2.053292552887159400e+04 1.164249056876012401e+04 9.658246713649823505e+04 8.025702306951948231e+03 -8.717841756787382110e+03 -1.369537243318100082e+03 4.634108293070969376e+04 -3.099154582111340642e+04 7.812013062323028862e+04 1.331773290310678422e+05 3.903943908826869301e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.131172396833690397e-04 7.344274164431514873e-03 3.824115585381245019e-02 1.027752475556961004e-01 2.166840170829845147e-01 4.077507093754148548e-01 7.072049790724926899e-01 1.168779210620918496e+00 1.878658044458119791e+00 2.950316720718161534e+00 4.537244105567499908e+00 6.879497862243551864e+00 1.038484395113800041e+01 1.548758385974470464e+01 2.289871186212309340e+01 3.372655987932336785e+01 4.954602610004001662e+01 7.225937413470731485e+01 1.050038292257586932e+02 1.528211148025350212e+02 2.215624469163767287e+02 3.198784546888765590e+02 4.606714263488945562e+02 6.617174448431527480e+02 9.407272979549658203e+02 1.332968738991624150e+03 1.898604813903312333e+03 2.688528765017068963e+03 3.722253320113748941e+03 5.099685564173542843e+03 7.010639140277939077e+03 9.222255916413814703e+03 9.402802877781656207e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.378488744935309995e+01 3.351355686039885040e+04 2.356378939936866518e+05 -1.073042790057938589e+02 3.772756395216569217e+04 1.580873402524398989e+04 9.735767432725480830e+03 -6.657153627330978452e+03 1.857630673780528923e+03 3.336963214283953130e+04 4.063079981802252405e+03 -3.666071282095958850e+03 -5.601761720153463102e+02 1.271193805039526160e+04 -1.124216561430130241e+04 2.833803293796637081e+04 4.831000033620694012e+04 1.403416921418955462e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.219199039567717504e-04 -7.658768475188502955e-03 -3.816513810337219398e-02 -9.764781319684835703e-02 -1.953150823993770602e-01 -3.470128780637983801e-01 -5.666775251876170483e-01 -8.786090993855647513e-01 -1.318122958904621500e+00 -1.921467277744205671e+00 -2.728888621132437020e+00 -3.796295623052064361e+00 -5.203904197750285121e+00 -6.985669695968254267e+00 -9.188479818872467675e+00 -1.184615129338258122e+01 -1.489635379951176475e+01 -1.811809647993275263e+01 -2.110588040039709767e+01 -2.299689991856088866e+01 -2.221055525187491497e+01 -1.611862398591197021e+01 -2.672717521386359651e-01 3.318358299665410271e+01 9.415541295484909767e+01 1.997833687226342931e+02 3.801013885798548699e+02 6.735825060331885652e+02 1.117827348250829573e+03 1.785143434974420416e+03 2.809580586608445628e+03 4.154644802231616268e+03 4.647964884735912165e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.261764556872783416e+01 2.065866201828168778e+04 1.691505522841888596e+05 -1.046925840434177104e+02 2.708239396765641141e+04 9.735767432725480830e+03 1.052614020292132045e+04 -8.415903077016921088e+03 -5.617264973162813476e+03 1.975303852593187548e+04 4.091141457819459447e+03 -2.846065519999208846e+03 -4.496370863817975305e+02 6.460806291664836863e+03 -6.929974659115747272e+03 1.746832922470688936e+04 2.977958959134176257e+04 1.517349647070670289e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.313784488705642380e-05 3.881454505818648579e-03 1.897558610587315314e-02 4.796849231590386009e-02 9.547222359886738119e-02 1.699872234363554446e-01 2.802316265212475010e-01 4.420027164086712257e-01 6.798687758362539357e-01 1.025397439114430709e+00 1.520676034646563313e+00 2.231751510325712839e+00 3.268974183182177473e+00 4.745215981818612150e+00 6.854033852465172494e+00 9.884069715874026940e+00 1.425327703539695889e+01 2.045369673228677598e+01 2.930485757382117740e+01 4.212049927639265690e+01 6.041989312422460756e+01 8.645485173890823205e+01 1.234638098943054558e+02 1.762995369915706760e+02 2.495679356895566912e+02 3.524379173049138103e+02 4.999030292285980295e+02 7.057548687040224422e+02 9.768195193940500758e+02 1.336064224744972080e+03 1.826590473090160003e+03 2.379828521945582452e+03 2.384319168802505374e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.115020628832938288e+00 -1.524439038737865303e+04 -1.282440428776947520e+05 8.468971311680667213e+01 -2.053292552887159400e+04 -6.657153627330978452e+03 -8.415903077016921088e+03 8.416111499350654412e+03 6.981206142667137101e+03 -1.447189357653389015e+04 -3.581226176130923250e+03 2.294424058441942179e+03 3.709068370971618833e+02 -4.815724037098797453e+03 5.113750299255285427e+03 -1.289018765499106121e+04 -2.197488341232330640e+04 -1.213157654896955864e+04 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -8.572864782702652338e-05 -5.295854772929210232e-03 -2.643159878937137094e-02 -6.908273452811339310e-02 -1.429639569938239152e-01 -2.653271226159749641e-01 -4.537564967249502201e-01 -7.386756092304724852e-01 -1.164258411897654888e+00 -1.776881801633148905e+00 -2.635918035574607021e+00 -3.814513454676196513e+00 -5.426099889869147042e+00 -7.523396971486768336e+00 -1.026621137519403781e+01 -1.392945179804734401e+01 -1.978716766172491859e+01 -3.140631572872279520e+01 -4.389913309737303138e+01 -6.091091503062942536e+01 -8.384049500396270105e+01 -1.134600511448042965e+02 -1.514073857904427598e+02 -2.013069919619474888e+02 -2.626917192463125730e+02 -3.482561441735500694e+02 -4.822597432200672642e+02 -6.723707224785327980e+02 -7.981077918452104996e+02 -9.376772360200709500e+02 -1.441347280688886713e+03 -1.521055096743920558e+03 -1.345698235448687910e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.651430359338797871e+01 1.862577764262989149e+04 7.271638216404146806e+04 1.085219734092823245e+02 1.164249056876012401e+04 1.857630673780528923e+03 -5.617264973162813476e+03 6.981206142667137101e+03 3.170232026342745667e+04 2.757678022813440475e+04 -7.240844105059494723e+03 1.773762904252060935e+03 2.655994452604292633e+02 2.726389386350900531e+04 -6.248040989078824168e+03 1.574938472006167467e+04 2.684917413946069064e+04 -8.097322342491264862e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.014157774757678653e-04 6.844005835225405558e-03 3.626701613149192760e-02 9.746691547803175426e-02 2.027513224883816245e-01 3.730784553222299404e-01 6.279415652119935132e-01 1.003804525096557043e+00 1.553531857169401897e+00 2.334753789601161866e+00 3.425942459566434284e+00 4.933397186200235041e+00 7.031935661077679534e+00 9.852571528976488580e+00 1.368348904107277519e+01 1.898701316111171522e+01 2.712849380212227146e+01 4.132223629963367983e+01 5.809733471182283893e+01 8.130472847992062668e+01 1.129188920310096620e+02 1.547024046447994010e+02 2.093422336329368818e+02 2.803972977351828604e+02 3.664550591773897281e+02 4.750707703865311373e+02 6.190138581893187393e+02 7.827023270629667877e+02 8.346568434754788086e+02 7.719238919895691424e+02 7.312819438714835769e+02 2.180600824975611118e+01 -7.765113221663322065e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.751931043226934293e+01 9.076244359949261707e+04 6.032324054003090132e+05 -1.561300814619760331e+02 9.658246713649823505e+04 3.336963214283953130e+04 1.975303852593187548e+04 -1.447189357653389015e+04 2.757678022813440475e+04 9.958821599431417417e+04 2.906550771460312262e+03 -6.569228307373012285e+03 -1.042782106007200355e+03 5.603031705626868643e+04 -3.044637806588321109e+04 7.674593081738703768e+04 1.308346260909015691e+05 2.847412770312320572e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.600832359565489691e-04 1.053972846963687447e-02 5.551792399887256479e-02 1.505040358640643838e-01 3.189368718220772503e-01 6.015769139617584971e-01 1.041792263710641153e+00 1.715123738580868862e+00 2.737758870462175587e+00 4.250213709138686902e+00 6.441298908757437047e+00 9.586035322593643215e+00 1.414369558212046485e+01 2.053860400842387435e+01 2.953946914565921844e+01 4.237732476684503524e+01 6.168172837491183458e+01 9.264401882678889422e+01 1.329410619456197082e+02 1.904888947150182332e+02 2.715240026051575910e+02 3.839022222918715670e+02 5.397592705359260208e+02 7.562450650947042732e+02 1.045690168532183861e+03 1.446045269679001876e+03 2.024080677540899615e+03 2.814381217558502613e+03 3.691719003390860962e+03 4.779138547782319620e+03 6.503538927863289246e+03 7.875640663987490370e+03 7.538972049871913441e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
