# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
4.124201379371698728e+00 4.904251324081894126e+00 3.600056976507982398e+01 1.284897779295878992e-02 5.945289425046855314e+00 -9.695176996911032408e-01 1.876779457807532969e+00 -4.843455920210667287e+00 6.892638112909432735e+00 1.065704453888856484e+01 -3.298933005806738539e+00 1.156671002297571471e+00 1.268184009271313695e-01 1.630221620132360982e+01 -1.571150388994642544e+00 4.192782024667237373e+00 7.142026634156722231e+00 2.733140695355567917e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.005095488222503738e-18 2.717206872781021776e-17 3.944334477882498017e-17 -4.327193786246381911e-17 -5.849965897055332743e-16 -4.485108927488255655e-16 -9.437038668180076839e-16 1.007235037814607274e-15 -5.642926678574152232e-15 -1.768794947071563322e-15 -1.505920649075635969e-15 -6.748027314374566434e-15 -1.418701242510580490e-14 -1.107780393976807129e-14 -4.087459053677405113e-02 -8.928524577277003882e-01 -2.164270622955215995e+00 -2.587950713357170418e+00 -5.723220877763064429e-01 4.465045843196977948e+00 9.545294663075363673e+00 7.119203359610497550e+00 -5.926062371737114809e+00 -1.496207355293752883e+01 1.919655716577293170e-01 1.754568074347419682e+01 -1.507171394073812065e+00 -1.256855398876705543e+01 8.865444612732765961e+00 -1.922255186243579272e+00 -2.108630468785777978e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.904251324081894126e+00 1.753837279529838997e+04 1.226929912352023966e+05 -3.147797728287220664e+01 2.026204996415277492e+04 4.588440086303399767e+03 5.542927130505909190e+03 -4.896737830546080659e+03 4.943158616107994931e+03 2.026145712522668691e+04 8.864454245316473191e+01 -1.054088238480663904e+03 -1.964721237649058310e+02 1.400990623648321343e+04 -5.618680491425418950e+03 1.499404686643100649e+04 2.554100867725015632e+04 8.072125709151803676e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.271665274944952233e-03 4.627274993062396174e-02 1.500845378972386623e-01 3.456389676054419935e-01 6.730856302957678450e-01 1.201332055252175790e+00 2.037943285307386887e+00 3.322802863293740305e+00 5.248590031369826825e+00 8.081635609058293923e+00 1.226868818973239961e+01 1.818412021554339830e+01 2.645435101261357858e+01 3.787535801170270133e+01 5.339998001496627467e+01 7.407397749464431058e+01 1.017785215130359688e+02 1.401654741513778504e+02 1.931549241335724787e+02 2.638058146665350137e+02 3.497741708825116689e+02 4.390980468006978299e+02 5.178705058065910407e+02 6.044693336653466531e+02 7.392044416012540751e+02 8.732091334703444545e+02 8.906221416459652573e+02 8.679478097550465918e+02 8.930281421648907099e+02 7.829102959308755771e+02 5.503391096997929708e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.600056976507982398e+01 1.226929912352023966e+05 8.950825951901709195e+05 -2.663093560724275335e+02 1.478178018418319698e+05 3.309531223190083983e+04 4.587714552807581640e+04 -4.068193931290350156e+04 2.531016662909924344e+04 1.410069027407360263e+05 2.745041940472042825e+03 -8.108030938174802031e+03 -1.519920210250043965e+03 9.716373511440699804e+04 -3.930653797441604547e+04 1.048936798319398367e+05 1.786769382970437582e+05 6.681056365355456364e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.278166992240205191e-02 4.436632265629801841e-01 1.377604503301538053e+00 3.051407621015153282e+00 5.750914583245516631e+00 9.982602777654157933e+00 1.653155762123057926e+01 2.640963160991070424e+01 4.099342406860007770e+01 6.221255421297190225e+01 9.327455320358576785e+01 1.368817348968198075e+02 1.975593618759635319e+02 2.811091352757326263e+02 3.946056031157753523e+02 5.457321813291760009e+02 7.484792826598021520e+02 1.029324242761037794e+03 1.416538017796668782e+03 1.933150486757822819e+03 2.564752489510289706e+03 3.228212595668515860e+03 3.822552482987467556e+03 4.474852384275958684e+03 5.468881154339376735e+03 6.447947564096903079e+03 6.561293406778630015e+03 6.351045110771494365e+03 6.444736721695328924e+03 5.541690366837862712e+03 3.801340931184788587e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.284897779295878992e-02 -3.147797728287220664e+01 -2.663093560724275335e+02 1.734608119758003497e-01 -4.397947612440878373e+01 -1.499757840874673320e+01 -1.885283880526474221e+01 1.621804499409273959e+01 1.290177526695128130e+01 -2.985238446917859179e+01 -7.314893863446167543e+00 4.682295560190611994e+00 7.943968263288593290e-01 -1.067597605011732398e+01 1.008444163738038668e+01 -2.691140575859826356e+01 -4.584115643497150927e+01 -2.745525626215159321e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.893856946503708322e-08 -6.688837869254880113e-07 -2.356980864034634844e-06 -6.074676923467351996e-06 -1.347839421097284397e-05 -2.780189181397091109e-05 -5.529406627125014816e-05 -1.070857129654076005e-04 -2.022665636125132050e-04 -3.755593233185370639e-04 -6.959212936173223571e-04 -1.266254948009841496e-03 -2.274150683061304523e-03 -4.049949790641244919e-03 -7.172610021798896292e-03 -1.252425061042387357e-02 -2.173716201991260019e-02 -3.801846614820202086e-02 -6.645048168620991402e-02 -1.150823400179036698e-01 -1.944446380649028916e-01 -3.149450648015769683e-01 -4.801315224974624929e-01 -7.215710312254787206e-01 -1.122168209654305748e+00 -1.671065822409018464e+00 -2.136493903885728685e+00 -2.572626640878063586e+00 -3.171881822049895217e+00 -3.209470849357574984e+00 -2.477773016647690785e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.945289425046855314e+00 2.026204996415277492e+04 1.478178018418319698e+05 -4.397947612440878373e+01 2.441126959541515316e+04 5.465502660510673195e+03 7.576349761663278514e+03 -6.718390991189547094e+03 4.179830124580915253e+03 2.328648833042294427e+04 4.533280702637329114e+02 -1.338995213388020602e+03 -2.510061816210409233e+02 1.604603845559322872e+04 -6.491251279616524698e+03 1.732259487915079080e+04 2.950748053958774108e+04 1.103338475370979359e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.065149563888797370e-03 7.326845953770431963e-02 2.275035517165626686e-01 5.039226206449055612e-01 9.497308481290223092e-01 1.648570095298851568e+00 2.730092755376062108e+00 4.361400515446455017e+00 6.769830927729176828e+00 1.027404963535625804e+01 1.540376217392955205e+01 2.260524031354383467e+01 3.262580544265357219e+01 4.642357551962963669e+01 6.516687192945749985e+01 9.012456713146988818e+01 1.236070982515493029e+02 1.699870467430085341e+02 2.339332002893009701e+02 3.192488124755646481e+02 4.235542924250800638e+02 5.331209570312898904e+02 6.312728104607990645e+02 7.389964306811455117e+02 9.031546307711571444e+02 1.064841882121166691e+03 1.083560303642437930e+03 1.048838992867576508e+03 1.064311629752935005e+03 9.151786582778855745e+02 6.277698432732182710e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.695176996911032408e-01 4.588440086303399767e+03 3.309531223190083983e+04 -1.499757840874673320e+01 5.465502660510673195e+03 2.186485240826624704e+03 1.642543351113213930e+03 -1.180578973332467967e+03 5.024696661428977507e+01 4.601490061121333383e+03 5.799196891678811880e+02 -5.080909114396608857e+02 -8.347542370801022571e+01 1.984621519569829161e+03 -1.469975527370391092e+03 3.922786138762388418e+03 6.682112954671270927e+03 2.392024304260912231e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.957057186906065276e-03 -6.934947914088368526e-02 -2.047970737154242715e-01 -4.285704468731012518e-01 -7.606817171275606082e-01 -1.238957511292827274e+00 -1.915190835965969729e+00 -2.840177646525625210e+00 -4.071472290584379650e+00 -5.669666849366535644e+00 -7.719740967909995533e+00 -1.019875857097225058e+01 -1.309671450139926741e+01 -1.631553219921175568e+01 -1.961014046269924194e+01 -2.262620447657737444e+01 -2.488349288873044429e+01 -2.562709529032569478e+01 -2.351679538588950891e+01 -1.620191361888637260e+01 -4.651408371695129329e-01 2.629000188857398967e+01 6.246896342553988291e+01 1.100675465654956042e+02 1.801503394964722702e+02 2.653913275473632893e+02 3.231655851848259431e+02 3.654924558805785750e+02 4.246712958658094976e+02 4.097901762848919134e+02 3.094911002109217293e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.876779457807532969e+00 5.542927130505909190e+03 4.587714552807581640e+04 -1.885283880526474221e+01 7.576349761663278514e+03 1.642543351113213930e+03 3.123335369478304528e+03 -2.788793772533863375e+03 -2.284171752551931434e+02 6.261395108323120439e+03 4.384560249515174064e+02 -4.749087017715216348e+02 -9.019116328652377490e+01 4.264514060240863728e+03 -1.775759752462050074e+03 4.738803886886104920e+03 8.072125709151803676e+03 4.548491282794086146e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.841455112602414936e-03 3.779408004521150194e-02 1.107231483879913131e-01 2.315877829668024634e-01 4.140366846577329119e-01 6.845650035910229025e-01 1.083463925321425991e+00 1.661369510040378472e+00 2.484716034174172528e+00 3.650511789986254030e+00 5.315830519671965071e+00 7.615084981017828270e+00 1.077387909974182456e+01 1.508883975850679704e+01 2.094006690396251358e+01 2.872907319197210541e+01 3.921077739273867735e+01 5.371897914526699225e+01 7.365625478185479835e+01 1.003043048664473957e+02 1.333064287747974390e+02 1.689884600935346270e+02 2.022424772679038938e+02 2.385898573125595021e+02 2.911128934758597211e+02 3.415019931556934125e+02 3.453692386932971772e+02 3.282312755466063550e+02 3.203648455275780407e+02 2.599314591678810871e+02 1.645333162641595663e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.843455920210667287e+00 -4.896737830546080659e+03 -4.068193931290350156e+04 1.621804499409273959e+01 -6.718390991189547094e+03 -1.180578973332467967e+03 -2.788793772533863375e+03 2.879513495027479621e+03 4.741829498876737716e+02 -5.651570458851057083e+03 -3.856345610048808794e+02 4.095113015895603326e+02 8.098458341724872867e+01 -4.112378606201345974e+03 1.568743328770483458e+03 -4.186358528284689783e+03 -7.131084786481680567e+03 -4.061300713281863864e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -5.056381884270971967e-03 -4.998690411380537352e-02 -1.490323132604362000e-01 -3.204167988583795368e-01 -5.897717355412265272e-01 -1.002833986217319673e+00 -1.624217141999289238e+00 -2.521156786538550687e+00 -3.780587301916539467e+00 -5.492663373982161090e+00 -7.796502959370874564e+00 -1.070723435827718362e+01 -1.438223467292302615e+01 -1.904357438261923718e+01 -2.597966341790082012e+01 -3.881825252735423248e+01 -5.158748296947646850e+01 -6.825965790001492906e+01 -9.011348843820566401e+01 -1.168572394796889142e+02 -1.464403440581458256e+02 -1.749523873545617221e+02 -1.966402253179885804e+02 -2.212937701799731087e+02 -2.652629650728760566e+02 -3.088459732069258621e+02 -2.819839014187733142e+02 -2.390230359525663175e+02 -2.491511918571405317e+02 -1.699157682900382724e+02 -8.946622784403442097e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
6.892638112909432735e+00 4.943158616107994931e+03 2.531016662909924344e+04 1.290177526695128130e+01 4.179830124580915253e+03 5.024696661428977507e+01 -2.284171752551931434e+02 4.741829498876737716e+02 5.981270928273909703e+03 6.902691862888813375e+03 -1.401235968037231032e+03 2.506838484702621770e+02 3.393748539969951850e+01 6.526944374769322167e+03 -1.583614922918789716e+03 4.226044959997356273e+03 7.198687049284502791e+03 -3.326423222563617514e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.115634131211332598e-03 6.529225913255214120e-02 2.047304065747623247e-01 4.503554545215643357e-01 8.311976707926845842e-01 1.403039548569222417e+00 2.242999826883343317e+00 3.429837997703124586e+00 5.072194193041577037e+00 7.288175401658117281e+00 1.026826966925245088e+01 1.406217363974756474e+01 1.890169932787442519e+01 2.507896077633813547e+01 3.398477885884538097e+01 4.942761535812368123e+01 6.498759374235520170e+01 8.492595910895168743e+01 1.104098604000541854e+02 1.403409552829863856e+02 1.702888878442599321e+02 1.920297787514011816e+02 1.968821640650089080e+02 1.955933412527265887e+02 2.032595055084466367e+02 1.955896485440380275e+02 1.146088487512304681e+02 2.860882909721022216e+01 -2.759301291199750539e-01 -6.095413764000877421e+01 -6.572009444681330592e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.065704453888856484e+01 2.026145712522668691e+04 1.410069027407360263e+05 -2.985238446917859179e+01 2.328648833042294427e+04 4.601490061121333383e+03 6.261395108323119530e+03 -5.651570458851057083e+03 6.902691862888813375e+03 2.401444370029025595e+04 -4.027186941704682113e+02 -1.009134366663731157e+03 -1.975491698488910117e+02 1.763099854492830491e+04 -6.491061354784415926e+03 1.732208804452332333e+04 2.950661719243847620e+04 9.118425560907437102e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.862823536135606126e-03 1.033612708189262513e-01 3.234638794240813908e-01 7.198678247256847795e-01 1.357033241472198837e+00 2.349733372279368293e+00 3.867795430011722324e+00 6.110561378982144021e+00 9.349144374744225772e+00 1.392313294929324208e+01 2.039069282691420781e+01 2.909991852817009317e+01 4.079185134462063900e+01 5.642065959516639140e+01 7.830023478605666298e+01 1.115210179200609844e+02 1.506401798755599941e+02 2.033754239666890271e+02 2.744024039954031764e+02 3.655355296244059105e+02 4.712645136510384418e+02 5.749286619913227696e+02 6.568552318505102221e+02 7.440356786020970503e+02 8.881328303717676818e+02 1.023523339259400473e+03 9.798442581373715257e+02 8.900063598233801940e+02 9.025184222380006531e+02 7.298463696984463240e+02 4.826088572006674440e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
