# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
2.825095126045911176e-01 7.730921538686574834e-01 4.549755143176711591e+00 -1.260567111989713707e-03 1.118543622276897409e+00 3.637341304865843727e-01 3.728021413257084360e-01 -3.041290961052248720e-01 1.639526442807291151e-01 8.317741731312482401e-01 -1.181484595830725182e-01 -4.552171187061108612e-03 -1.042969401569766690e-02 9.348257246356663774e-01 -7.906614887361523847e-02 7.563214762373215994e-01 1.326207680433252545e+00 6.395266859636439261e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.698043550759174689e-19 -5.197081852593318161e-18 -3.003608141785600537e-17 3.760645128755560356e-17 3.651817511922461792e-17 -2.889709253409571917e-17 -3.339350382156962404e-16 -2.427714108541860736e-16 -4.715631593583552695e-16 4.710341532118323118e-16 -2.538015500465252997e-15 -7.991284833942019469e-16 -5.873556799252872122e-16 -2.380419382707725858e-15 -4.636867586761843907e-15 -3.382375245985715640e-15 -9.332349204688374089e-03 -1.905005585993907735e-01 -4.066025405324961151e-01 -4.317477910948127051e-01 -9.156797085677445547e-02 5.832323938191330548e-01 1.095531132808127195e+00 6.901700595198569932e-01 -4.080934728253737820e-01 -8.956569578997450876e-01 -8.472021504112199619e-03 7.693606056751765010e-01 -2.657979328606699387e-02 -3.756084372284310691e-01 2.249037769836339795e-01 -3.680073431189284650e-02 -2.768556671787788734e-02 1.929586851997697541e-02 -7.331738870702671391e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.730921538686574834e-01 7.840628766545518147e+02 4.371563115527187620e+03 -1.222258386409281083e+00 1.074735648046266761e+03 8.021496306899577178e+01 3.170896129681721618e+02 -2.544352199963398675e+02 2.559340788437030199e+02 8.519002100975565099e+02 -1.608202326369086563e+02 2.914062540250862643e+00 -7.808808078857193635e+00 9.587470555702684578e+02 -8.018815327723004316e+01 7.670542112822923855e+02 1.345027502553745990e+03 5.439541431116914509e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.235150107365298164e-04 8.667576758726883157e-03 2.714929763201391968e-02 6.001438836953223305e-02 1.151840311911294379e-01 2.063245805001839850e-01 3.485767814130151243e-01 5.659809175169637774e-01 8.933279926057277054e-01 1.368870639514837562e+00 2.031938889712412877e+00 2.926882252101009385e+00 4.102406814793966738e+00 5.539225983452569224e+00 7.219362598435437484e+00 9.088985997868968880e+00 1.109543805639664527e+01 1.326316392454734228e+01 1.578965924552125522e+01 1.911640082452344913e+01 2.356076153361491166e+01 2.880460292452184490e+01 3.318303014286894381e+01 3.418688452424051860e+01 3.198406564536556829e+01 3.033902517960974876e+01 3.202414923773727651e+01 3.268746277610659234e+01 2.738694577974290567e+01 2.227970122158955135e+01 2.026337445334782572e+01 1.562083450511824623e+01 1.189409008095305964e+01 9.052351869863576539e+00 1.207234198768738498e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.549755143176711591e+00 4.371563115527187620e+03 2.550469390127678707e+04 -7.934256096327886532e+00 6.270252311090051080e+03 4.113905906416748621e+02 2.052135590854649763e+03 -1.646210599277951815e+03 1.200701356805672049e+03 4.812340628799063779e+03 -8.548657483231395418e+02 2.131220798087367996e+01 -4.703076005318148134e+01 5.526037453374099641e+03 -4.470911499658033676e+02 4.276730856024008062e+03 7.499236087572352517e+03 3.520353903817061109e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.508117298673137312e-03 6.328095197555241858e-02 1.903923672312797799e-01 4.076142933865955498e-01 7.628561801353949123e-01 1.338643510798510627e+00 2.224485438908003765e+00 3.563677414926854858e+00 5.561420814013993130e+00 8.442885270780182694e+00 1.243787418359863040e+01 1.780872615786136492e+01 2.484365036951239603e+01 3.343113053156476866e+01 4.346712458118238942e+01 5.464601200342291065e+01 6.665964617833755312e+01 7.964328491241921881e+01 9.476899000842747967e+01 1.146237425057884849e+02 1.410503377876003412e+02 1.721220057885228698e+02 1.979001672939504033e+02 2.034436587672801409e+02 1.897831561865318974e+02 1.791250484883830723e+02 1.876057240765416338e+02 1.895764321905960514e+02 1.568522735597303495e+02 1.253922829543513728e+02 1.114641653817926255e+02 8.359640594539459357e+01 6.148105034437583782e+01 4.500099509009890397e+01 5.865827207025664514e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.260567111989713707e-03 -1.222258386409281083e+00 -7.934256096327886532e+00 6.728697280968874532e-03 -1.950613005486403706e+00 -5.373658932601727001e-01 -7.756317388472586671e-01 5.658819157053485149e-01 3.727317018443573882e-01 -9.858015971412140699e-01 -3.018717051979816213e-01 1.382273262195242158e-01 4.732544181995085308e-02 -7.311930946821765254e-01 1.250035497815688013e-01 -1.195743951774171476e+00 -2.096733812933423202e+00 -1.330564233642181016e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.100035119438255023e-09 -8.984873637602832049e-08 -3.121480259621242719e-07 -7.902068817438981576e-07 -1.777473740267152453e-06 -3.812283841212379163e-06 -7.785860561647577700e-06 -1.540858783494160743e-05 -2.990984234217039506e-05 -5.678429143739101542e-05 -1.047014926841752897e-04 -1.879972117652817113e-04 -3.315294066658032489e-04 -5.636961772584646660e-04 -9.267918440950371909e-04 -1.478185618947146273e-03 -2.297024145983084503e-03 -3.487347869065387379e-03 -5.270215623296671190e-03 -8.117698524702399165e-03 -1.267799489750705971e-02 -1.956146119073020467e-02 -2.839153429861101391e-02 -3.693979555916897944e-02 -4.340573361990754386e-02 -5.151835768407721228e-02 -6.748991498487014185e-02 -8.421150984666862793e-02 -8.507471031212036905e-02 -8.247762316580438402e-02 -8.713039952304031666e-02 -7.524713027961528466e-02 -6.185913039949242354e-02 -4.828274083971888925e-02 -6.397348950998758658e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.118543622276897409e+00 1.074735648046266761e+03 6.270252311090051080e+03 -1.950613005486403706e+00 1.541522678018179931e+03 1.011391397880109224e+02 5.045113648896749510e+02 -4.047159261984626255e+02 2.951888184418803007e+02 1.183099474405741375e+03 -2.101661739146201455e+02 5.239542253036580277e+00 -1.156237095247084490e+01 1.358559692867144804e+03 -1.099160149575701553e+02 1.051421422177987097e+03 1.843664644301278940e+03 8.654684226639078588e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.354154076714144143e-03 1.555743177740402314e-02 4.680739103424703257e-02 1.002107484619798317e-01 1.875458982193012325e-01 3.291014822526401873e-01 5.468830568321711993e-01 8.761193776101704467e-01 1.367258585693900796e+00 2.075657958738622799e+00 3.057813971288338095e+00 4.378221780709552036e+00 6.107736746354367696e+00 8.218942924361202884e+00 1.068626188640333474e+01 1.343455774778635003e+01 1.638807358849510365e+01 1.958006213357850811e+01 2.329867125322624588e+01 2.817990245774846514e+01 3.467680145137749292e+01 4.231567760673702594e+01 4.865316110607704303e+01 5.001601181727153289e+01 4.665761833060038555e+01 4.403735459856564205e+01 4.612230319320823213e+01 4.660679585775310585e+01 3.856165984953821635e+01 3.082731574943613850e+01 2.740312992166196793e+01 2.055192505375208611e+01 1.511493137311335921e+01 1.106335933915752889e+01 1.442095982162133971e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.637341304865843727e-01 8.021496306899577178e+01 4.113905906416748621e+02 -5.373658932601727001e-01 1.011391397880109224e+02 1.110056696687350808e+02 2.343157378199011021e+01 -5.859615614220062829e-01 -4.608252180383968266e+01 1.731666305614538715e+01 6.318699820195528361e+01 -2.395922430100467437e+01 -5.671804461457223390e+00 -6.721561248926032306e+01 -8.203793273760576099e+00 7.847486096071828854e+01 1.376054582567207945e+02 4.019589768025656440e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.469838249168469715e-03 -1.629330281412692469e-02 -4.679897992774761928e-02 -9.530124829926869823e-02 -1.691326998714037522e-01 -2.801690195450203258e-01 -4.383179793750932030e-01 -6.587533873756343805e-01 -9.595290678914122351e-01 -1.352247996394337237e+00 -1.839950781443212335e+00 -2.417501618825993681e+00 -3.063439100686318639e+00 -3.712468487897738090e+00 -4.296458206383189982e+00 -4.730629211303733150e+00 -4.944321200808501793e+00 -4.931837068601766738e+00 -4.707253232881086547e+00 -4.265465658849470820e+00 -3.506546889835566283e+00 -2.176519826987102668e+00 -9.557619889275109637e-02 2.406611114965305998e+00 4.553500099209032648e+00 6.515322197245279057e+00 9.167756663272529138e+00 1.156884293867489966e+01 1.145281898272160603e+01 1.071842514303806126e+01 1.091586416709062135e+01 9.186728478587673052e+00 7.521406551280819919e+00 6.052513128892145211e+00 8.285562218586461913e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.728021413257084360e-01 3.170896129681721618e+02 2.052135590854649763e+03 -7.756317388472586671e-01 5.045113648896749510e+02 2.343157378199011021e+01 1.996528254319237590e+02 -1.600926244726312291e+02 4.664557823927130187e+01 3.602423141332035357e+02 -5.453675529799537003e+01 2.451241843230654638e+00 -4.035678232951410038e+00 4.330980135460204679e+02 -3.242958089764538698e+01 3.102109922853425701e+02 5.439541431116914509e+02 3.424961813194148590e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.630435120324559188e-04 7.263322413249506670e-03 2.078530618480696479e-02 4.261592316253743490e-02 7.689965986448771273e-02 1.307537158814378042e-01 2.115807546352289625e-01 3.314296360889724125e-01 5.071908020383374405e-01 7.573224687378241615e-01 1.100373472217508253e+00 1.558065743358359789e+00 2.154280224736364158e+00 2.880216066174014156e+00 3.727645560600093333e+00 4.673419933147194172e+00 5.692586985572213543e+00 6.794772258637575391e+00 8.077668252772051360e+00 9.751357528559697840e+00 1.196260494918399786e+01 1.454430646146309591e+01 1.665832119459669869e+01 1.705084815997929581e+01 1.581354815452665719e+01 1.477480682399812650e+01 1.522642545393545532e+01 1.506054518804438835e+01 1.212007186886516230e+01 9.304645804226163719e+00 7.814225054913500834e+00 5.438343021980080572e+00 3.595251699755366737e+00 2.286210627161079589e+00 2.708250078152031892e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.041290961052248720e-01 -2.544352199963398675e+02 -1.646210599277951815e+03 5.658819157053485149e-01 -4.047159261984626255e+02 -5.859615614220062829e-01 -1.600926244726312291e+02 1.413523249787662337e+02 -3.490167701624893226e+01 -2.992329376596159705e+02 5.028595347217413547e+01 -4.752551791767348988e+00 2.880962681025264871e+00 -3.730531972391392515e+02 2.602175288192022862e+01 -2.489157602123235620e+02 -4.364731180407216016e+02 -2.746322894287075655e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -7.038847298366087898e-04 -7.742452792126362261e-03 -2.250378132156774513e-02 -4.714754348369838699e-02 -8.692253086218010294e-02 -1.506347819319352466e-01 -2.469365765705832383e-01 -3.897924658280088606e-01 -5.972404209065087510e-01 -8.845341343939416845e-01 -1.265253985285803351e+00 -1.747548155156587901e+00 -2.334293031903989846e+00 -2.986817192933608922e+00 -3.685456416887682440e+00 -4.405668107505010589e+00 -5.263773067996431188e+00 -6.651657458412009838e+00 -7.740268248750443725e+00 -9.106005256797343961e+00 -1.087065039654673626e+01 -1.277749186963346695e+01 -1.407624727028987088e+01 -1.386001495245200132e+01 -1.232255542725109798e+01 -1.110822103702536445e+01 -1.124389995650956564e+01 -1.100302132491193241e+01 -8.112901863118542778e+00 -5.573949887531497005e+00 -4.874059922836790015e+00 -2.861379986540909748e+00 -1.572940482706969068e+00 -8.646601451314898101e-01 -5.303234734479448514e-02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.639526442807291151e-01 2.559340788437030199e+02 1.200701356805672049e+03 3.727317018443573882e-01 2.951888184418803007e+02 -4.608252180383968266e+01 4.664557823927130187e+01 -3.490167701624893226e+01 2.362525636960081670e+02 3.323802324402005297e+02 -1.519398941396265172e+02 2.533867400061787478e+01 3.846039024142541507e+00 4.307140402328566324e+02 -2.617504508152814680e+01 2.503821043349954323e+02 4.390443485276837237e+02 8.001856416419101947e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.984493391487975818e-04 1.181733307163247010e-02 3.587550995417341376e-02 7.632219614138302521e-02 1.404339438268268625e-01 2.405972141152822596e-01 3.876664780304724389e-01 6.002768320528830692e-01 9.003764018986023521e-01 1.302320151901111833e+00 1.817031468721604481e+00 2.441560434302204818e+00 3.158870889065565457e+00 3.892634851892690317e+00 4.601125370928318858e+00 5.241635180914847147e+00 6.055922882194194834e+00 7.822093948943230401e+00 8.772634077190886615e+00 9.868712792469192863e+00 1.119084908487940311e+01 1.230821200555040384e+01 1.241780141453528330e+01 1.090867510915919070e+01 8.317492706828947036e+00 6.220727058892811634e+00 5.172582562027774777e+00 3.957591945069229400e+00 1.124927785814437309e+00 -7.938079019059604002e-01 -9.667867392211262345e-01 -1.589151815066202955e+00 -1.464118055991009415e+00 -9.342859768383213748e-01 -1.244455767451373429e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.317741731312482401e-01 8.519002100975565099e+02 4.812340628799063779e+03 -9.858015971412140699e-01 1.183099474405741375e+03 1.731666305614538715e+01 3.602423141332035925e+02 -2.992329376596159705e+02 3.323802324402005297e+02 9.814388073273818236e+02 -2.370531392856240984e+02 2.235988872163999375e+01 -4.682507470792913296e+00 1.174234931148349460e+03 -8.712605411913267517e+01 8.334199503689851554e+02 1.461399648076139556e+03 6.179808208242017145e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.706470225122164912e-03 1.971904625959414181e-02 5.943188605648692252e-02 1.270778182884357843e-01 2.367362982535804461e-01 4.123619712755291489e-01 6.776359584804961811e-01 1.071268361532381475e+00 1.644058894404393456e+00 2.441372997368040476e+00 3.505458267054814669e+00 4.867561571183526503e+00 6.547554695067068664e+00 8.449705423113330838e+00 1.051872439192171527e+01 1.267345758240213982e+01 1.514559275096516444e+01 1.880917646226974327e+01 2.188128097791481963e+01 2.576431396319031464e+01 3.080543968429170931e+01 3.630790238888982202e+01 4.010336788513477302e+01 3.951483318355975882e+01 3.516258468750046973e+01 3.174764724558655615e+01 3.217276454566633959e+01 3.155388451030896846e+01 2.401374930067589375e+01 1.749568188476166242e+01 1.557573586620273787e+01 1.064357899405484353e+01 7.386183853419313827e+00 5.433159495885282020e+00 6.676726137207248390e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
