# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
8.028474233461666998e+00 2.408838080417529071e+01 1.347837760194068721e+02 -1.692318394135380599e-01 2.803684032316227004e+01 1.711895941040270230e+01 6.069411612652304555e+00 -1.089673988417068529e+01 -1.264180817192387618e+00 2.514254089613738685e+01 1.858960396013590755e+00 -1.957100052928598899e+00 -5.689015371426906498e-01 2.035060123509320462e+01 -4.767918772725609600e+00 2.231959475701648188e+01 3.827153843721559667e+01 9.643060764991021827e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.277397571193526190e-23 -9.762224776498544043e-19 -9.609619250506347325e-18 2.027304950943052359e-17 2.278734109688950385e-17 -2.058410277136504916e-17 -2.574962725872740721e-16 -1.925182136508828040e-16 -3.927820814158049688e-16 4.137364941468769411e-16 -2.314971721343405580e-15 -7.223574680159728457e-16 -6.275296432315039413e-16 -2.881314815405521635e-15 -6.175245407403485185e-15 -4.910437746058415254e-15 -2.001789722929441656e-02 -4.501877231727844375e-01 -1.151536570058446562e+00 -1.453560593772151854e+00 -3.267369742080709627e-01 2.837691068445117537e+00 6.544677076618881983e+00 5.452368066131136004e+00 -5.930985306732060813e+00 -1.713197716937798631e+01 7.783862751187518025e-01 2.838365189341659800e+01 -6.241595732109171735e+00 -3.860302623548971468e+01 4.012381169805188819e+01 -2.002848032957838598e+01 -6.923995356799942158e+00 2.583491189153896528e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.408838080417529071e+01 6.406674305054105207e+04 3.541194854245036840e+05 -1.783086668501565555e+02 7.366162131217970455e+04 2.969712731463051023e+04 1.516405941171785707e+04 -8.517327877252113467e+03 1.047066543444994386e+04 5.856032194290988991e+04 5.991099454615760806e+03 -6.537076173901357834e+03 -1.486123922450306736e+03 3.140105323028944986e+04 -1.268101120541550699e+04 5.936238528918153315e+04 1.017890259681131429e+05 2.409260661219649410e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.516708644677818778e-07 9.238483302987308661e-04 1.010498126751817674e-02 3.397000663269952175e-02 7.969580797373819470e-02 1.601810327114637778e-01 2.917954410100421780e-01 5.013540160153625580e-01 8.298150130671486657e-01 1.337491299286355462e+00 2.100677238772507671e+00 3.244140103843862644e+00 4.980504375177129184e+00 7.520629453386794339e+00 1.125280434225435755e+01 1.675193889479336562e+01 2.484432571875028728e+01 3.651082184731291846e+01 5.340383737052741253e+01 7.821047123675400314e+01 1.140330831897564252e+02 1.655516021685376415e+02 2.393764950178715480e+02 3.457989186307305545e+02 4.946703802722804539e+02 7.048915260971234602e+02 1.008881871883611325e+03 1.437205356565927787e+03 2.009837601573844722e+03 2.785153564241286858e+03 3.878500016021253487e+03 5.213237709292720865e+03 6.862384115146340264e+03 5.220656701544910902e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.347837760194068721e+02 3.541194854245036840e+05 2.037722734777107136e+06 -1.234408859415258576e+03 4.238737674896214157e+05 1.704914833472449100e+05 1.018615031108071998e+05 -5.986187053167696286e+04 2.167911024949177954e+04 3.127759487616475672e+05 5.035559421390647185e+04 -4.130960065290192870e+04 -9.353795218949895570e+03 1.505015749277324649e+05 -7.009242157325772860e+04 3.281168408325785422e+05 5.626238479027107824e+05 1.618372136869446840e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.339853157234897364e-06 7.794320452669937539e-03 8.123393732669802192e-02 2.608304758605836104e-01 5.879850725249838872e-01 1.141341418082057357e+00 2.017782263229952022e+00 3.378454928477399033e+00 5.468882965051304446e+00 8.643737451926369886e+00 1.335307413065706683e+01 2.032880542827276926e+01 3.081203508289306470e+01 4.603771165106288521e+01 6.825623918782609678e+01 1.007969400412626726e+02 1.484559482025950388e+02 2.169161104106264304e+02 3.157292823445724821e+02 4.603750542323906529e+02 6.687341983321167618e+02 9.677083348686053341e+02 1.395536930928564971e+03 2.011498702276929407e+03 2.872571534708913077e+03 4.088179058497966707e+03 5.843330455860611437e+03 8.315077203047831063e+03 1.162263757343094949e+04 1.609804749603838718e+04 2.238479662391928650e+04 3.002291549979420597e+04 3.933120125082508457e+04 2.972125306536092467e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.692318394135380599e-01 -1.783086668501565555e+02 -1.234408859415258576e+03 1.563303116302224405e+00 -2.567736645094382766e+02 -1.184678191058948897e+02 -9.806495515067483382e+01 6.414942718002536992e+01 1.249725966400097263e+02 -1.053388056431143127e+02 -9.693598598029252855e+01 4.320751725126999787e+01 9.354449128433168781e+00 3.911602518990051891e+01 3.529341581428245433e+01 -1.652156372864019716e+02 -2.832962104228107023e+02 -1.558052710517737296e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.699879030762320351e-12 -1.042472467902669227e-08 -1.191053345797568234e-07 -4.329895831199612372e-07 -1.126121524689795519e-06 -2.569349782511483034e-06 -5.377719450838005507e-06 -1.073562754692494891e-05 -2.092784989460626862e-05 -4.010042276518340138e-05 -7.539615995477156327e-05 -1.401950465690380361e-04 -2.617475953061182024e-04 -4.829080734186912030e-04 -8.856491399255785740e-04 -1.623618152183934358e-03 -2.986192729754209244e-03 -5.449243058251103042e-03 -9.916729000621127277e-03 -1.817714252994632324e-02 -3.321596448486267839e-02 -6.042790771553346874e-02 -1.097062970278460114e-01 -2.003095281440268605e-01 -3.616645912890858461e-01 -6.509853667900151741e-01 -1.179245417551152197e+00 -2.129788182780707917e+00 -3.776398515747750206e+00 -6.627404444514136017e+00 -1.168992577752345241e+01 -1.973729837380517793e+01 -3.215105052440403455e+01 -2.834576050877702258e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.803684032316227004e+01 7.366162131217970455e+04 4.238737674896214157e+05 -2.567736645094382766e+02 8.817145124775692238e+04 3.546452426423731958e+04 2.118856424814655475e+04 -1.245207513180802380e+04 4.509546848766985931e+03 6.506160898098932375e+04 1.047464165234523352e+04 -8.592953184159559896e+03 -1.945715357696289857e+03 3.130635414180499720e+04 -1.458016750643820524e+04 6.825272110227035591e+04 1.170333362924940157e+05 3.366431964209875878e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.787074983006173023e-07 1.621323607431802375e-03 1.689775280759659576e-02 5.425625115343752497e-02 1.223088125117693936e-01 2.374143835261801616e-01 4.197258809023241000e-01 7.027641172115771662e-01 1.137601297170427683e+00 1.798013780976897014e+00 2.777619223033756857e+00 4.228665263622330528e+00 6.409318192171451933e+00 9.576463937460747644e+00 1.419821684542438867e+01 2.096712079496374415e+01 3.088083623789040644e+01 4.512147181741296720e+01 6.567594213391703306e+01 9.576421039296458559e+01 1.391057179951381215e+02 2.012963641870205436e+02 2.902904730305705812e+02 4.184188156137292367e+02 5.975335594092474594e+02 8.503962929418133854e+02 1.215491417326415103e+03 1.729648023683886322e+03 2.417665118191600413e+03 3.348610645068473787e+03 4.656339116964060850e+03 6.245170693113128436e+03 8.181419468681207945e+03 6.182420844759831198e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.711895941040270230e+01 2.969712731463051023e+04 1.704914833472449100e+05 -1.184678191058948897e+02 3.546452426423731958e+04 1.608449905483503426e+04 8.453447754656384859e+03 -4.533378106890486379e+03 -1.522565089756274972e+02 2.468894528922083919e+04 5.741050234466621987e+03 -3.997394750342192310e+03 -8.774640175470293570e+02 8.971754205187831758e+03 -5.878082548201271493e+03 2.751649654239892698e+04 4.718269603657898551e+04 1.343080937234470184e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.975263054557448412e-07 -1.680984935554925364e-03 -1.683557722327686315e-02 -5.151949513943406000e-02 -1.102181704324984718e-01 -2.020206734427671957e-01 -3.362862745528743535e-01 -5.282550882157573957e-01 -7.981466539183011966e-01 -1.170948316120691057e+00 -1.670534092279110538e+00 -2.333407052470561904e+00 -3.211654884159699019e+00 -4.319368315526014079e+00 -5.696966961436439547e+00 -7.364309749449766684e+00 -9.284201651135569833e+00 -1.131313480035163366e+01 -1.320065522295672800e+01 -1.440997464213517354e+01 -1.394259791621810507e+01 -1.013998775213149628e+01 -1.666447440018858916e-01 2.099143310246951444e+01 5.982142508746872522e+01 1.274773079361467580e+02 2.433682884180697670e+02 4.334045875943456849e+02 7.261970548197899689e+02 1.172384991816898719e+03 1.866417318278129187e+03 2.814274844667129855e+03 4.094081122123945988e+03 3.333132560261094113e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.069411612652304555e+00 1.516405941171785707e+04 1.018615031108071998e+05 -9.806495515067483382e+01 2.118856424814655475e+04 8.453447754656384859e+03 7.639996370247315099e+03 -4.885772048192466173e+03 -5.647318567091189834e+03 1.141208513789900280e+04 5.288405721654443369e+03 -2.709428788452798472e+03 -6.075515958456365979e+02 2.254919979117908497e+03 -3.001488731335728971e+03 1.405057748348942368e+04 2.409260661219649410e+04 1.213840054759622217e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.484843865005111518e-07 8.220710100772960502e-04 8.089357799588898709e-03 2.444307772782635529e-02 5.197074907193088844e-02 9.537499856334992476e-02 1.599674428899742207e-01 2.549979474056797701e-01 3.944561195650133634e-01 5.973992820713872609e-01 8.882499407359669696e-01 1.306030840749842659e+00 1.915851817491845299e+00 2.783213324662649590e+00 4.023410589706471363e+00 5.806551046480515232e+00 8.379602253152723890e+00 1.203338500777873143e+01 1.725293811107454900e+01 2.481504112018749808e+01 3.561853340992831107e+01 5.100323823001819790e+01 7.291567452064970212e+01 1.043295201608435292e+02 1.481434111937102784e+02 2.099428925225035698e+02 2.987068204611033480e+02 4.234908924380912936e+02 5.910000238702099296e+02 8.171561101179851221e+02 1.130591397420658495e+03 1.505004160792553876e+03 1.938641106302374283e+03 1.429834149223474242e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.089673988417068529e+01 -8.517327877252113467e+03 -5.986187053167696286e+04 6.414942718002536992e+01 -1.245207513180802380e+04 -4.533378106890486379e+03 -4.885772048192466173e+03 4.019911547838318256e+03 5.458454617025869084e+03 -6.095884929431350429e+03 -3.830010867511109154e+03 1.749372583873858730e+03 4.009521497157168710e+02 -7.573979382951749812e+02 1.685872031397415640e+03 -7.891908890777562192e+03 -1.353230189636161776e+04 -7.762498204340110533e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.689904422060033842e-07 -9.296133215245190639e-04 -9.217562552089648628e-03 -2.849796714621312746e-02 -6.259539753000827045e-02 -1.192496436419740319e-01 -2.072766155655931530e-01 -3.413238176016968883e-01 -5.413397248137921114e-01 -8.313583060309160944e-01 -1.238947519211012649e+00 -1.800621529008480604e+00 -2.572543300393954180e+00 -3.573547148173423782e+00 -4.889450915961593758e+00 -6.650099311269188185e+00 -9.470297676818095312e+00 -1.506609903018876295e+01 -2.108985830863510458e+01 -2.930874779882784509e+01 -4.040170712884973625e+01 -5.476461986219864997e+01 -7.311253839896986051e+01 -9.741861923538968426e+01 -1.274735072316829019e+02 -1.694678648743778808e+02 -2.353300989394111866e+02 -3.294926707985305825e+02 -3.930593524851234974e+02 -4.648642962942712415e+02 -7.260655560773252546e+02 -7.782999882357754586e+02 -9.152464979526163233e+02 -6.906201167673602868e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-1.264180817192387618e+00 1.047066543444994386e+04 2.167911024949177954e+04 1.249725966400097263e+02 4.509546848766985931e+03 -1.522565089756274972e+02 -5.647318567091189834e+03 5.458454617025869084e+03 2.539853796785583836e+04 1.792265972662525746e+04 -1.104618632545417677e+04 2.641453919218768533e+03 5.425386967510818295e+02 2.329265258938765328e+04 -2.072504694013709923e+03 9.701814797477578395e+03 1.663575804017165865e+04 -8.972440753268449043e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.152271420939341385e-07 1.312475501074109518e-03 1.406878819262291115e-02 4.564575882177039634e-02 1.022339736011948497e-01 1.949380505871181890e-01 3.353787759210438701e-01 5.440413252865219373e-01 8.487882321792067364e-01 1.284215504086339665e+00 1.893037295708481116e+00 2.736564160637302123e+00 3.915309894692949211e+00 5.495295375991243070e+00 7.651884423035680172e+00 1.064552280713992083e+01 1.525073699785390957e+01 2.327135697430493622e+01 3.277538213184795524e+01 4.596231580408628759e+01 6.397473162036769878e+01 8.789569659740175211e+01 1.191807491494809454e+02 1.603714027349172113e+02 2.109172018862550999e+02 2.752214058615197700e+02 3.606430276934902395e+02 4.597036520979813758e+02 4.995754766863470309e+02 4.752750783242213970e+02 4.640327187307573240e+02 4.477405949917578454e+01 -6.416929107345582679e+02 -8.520318592851706399e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.514254089613738685e+01 5.856032194290988991e+04 3.127759487616475672e+05 -1.053388056431143127e+02 6.506160898098932375e+04 2.468894528922083919e+04 1.141208513789900280e+04 -6.095884929431350429e+03 1.792265972662525746e+04 5.705353491618895350e+04 8.802940935035674102e+02 -4.512899618635595289e+03 -1.062423452271638553e+03 3.657528496857076971e+04 -1.159110114533141495e+04 5.426029525320424000e+04 9.304044262474149582e+04 1.813148249998498432e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.691093055228039498e-07 2.169285646783754556e-03 2.279848173462467945e-02 7.368465754281461333e-02 1.666186358246714294e-01 3.234726936083969773e-01 5.697543549618635517e-01 9.482590730374728105e-01 1.520409700215754167e+00 2.368617571308275327e+00 3.594247817921900623e+00 5.351212847346296542e+00 7.894629301743303351e+00 1.142830412146587271e+01 1.639992516225870389e+01 2.347504325284671012e+01 3.418701913350435007e+01 5.166274796129965097e+01 7.406963088064215128e+01 1.060216558853850586e+02 1.509393205149434891e+02 2.131049766787361932e+02 2.986489387934013848e+02 4.179646812106222455e+02 5.775779380401534127e+02 7.984787674282159742e+02 1.117606557490486693e+03 1.555906375417923300e+03 2.037876801546624165e+03 2.633280139409555886e+03 3.614482341053907476e+03 4.361808023978182064e+03 5.244756352607922963e+03 3.772903446747719045e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
