# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
1.743621155762114583e+01 6.604084992712654589e+00 2.859875980612124735e+01 -4.604482195312895737e-02 6.761104846817336700e+00 3.314350871787135944e+00 4.118437777383038845e-01 -1.500515505829037011e+01 1.212844746336036295e+01 2.504368207877384123e+01 -1.734899972691057357e+01 5.584903316404642659e+00 8.906458936595514908e-01 5.088771722495908989e+01 -8.243731558572510165e-01 6.381984727794843160e+00 1.111483589723325238e+01 6.931431091376522025e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.356316157704329396e-19 -7.240842103785389843e-18 -4.911385625847616911e-17 7.628767960478554465e-17 7.965050784087003135e-17 -6.741280606809924595e-17 -8.140456523128138369e-16 -6.007960455928531711e-16 -1.202995885151527731e-15 1.251172797192427339e-15 -6.967039157046445466e-15 -2.175782812668423689e-15 -1.858013741429185326e-15 -8.491732560452505572e-15 -1.812998006447031501e-14 -1.434604897765303296e-14 -5.766552087480415062e-02 -1.290668627171114302e+00 -3.278573857653293011e+00 -4.108060196628006366e+00 -9.219555701205771614e-01 7.878406696631214068e+00 1.799489499484130306e+01 1.476282565503427513e+01 -1.545220367488968449e+01 -4.373042140071186878e+01 1.717194550937495956e+00 6.842711379889428258e+01 -1.291128377423607887e+01 -8.221496500998027557e+01 7.824828524958368803e+01 -3.152761234664110646e+01 -1.389127123756080273e+01 2.374600849145701886e+01 -5.701765974140116100e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.604084992712654589e+00 1.137544868753027986e+05 5.774716646662522107e+05 -3.169199249233096225e+02 1.365215309105449705e+05 5.213657906283336342e+04 2.785459894819579131e+04 -1.538654250040831539e+04 1.942956854928392931e+04 9.573234472977946280e+04 7.620882841339746847e+03 -1.013681518864769532e+04 -2.872816722912345085e+03 6.233496264314227301e+04 -1.419971812019290883e+04 1.099288393104288407e+05 1.914515721084968827e+05 4.687996847921760491e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.676322470039337064e-04 9.995156190845316813e-03 4.743098686109151890e-02 1.260895272406472034e-01 2.687670422067830467e-01 5.135979417086241616e-01 9.061586062261520746e-01 1.521645230132137927e+00 2.480535825637311120e+00 3.950364469296153924e+00 6.149041468796868415e+00 9.416582841578993168e+00 1.433099733252722530e+01 2.150752659831346492e+01 3.195443836135995141e+01 4.715457299862801932e+01 6.936504148148075899e+01 1.009804852000968083e+02 1.464465634647141314e+02 2.126013995279027995e+02 3.073742916404072503e+02 4.420466025542968964e+02 6.317933423442003686e+02 8.944836810305589552e+02 1.243034785965043739e+03 1.717752765557570456e+03 2.394395044664993293e+03 3.300607913452993671e+03 4.344370725241393302e+03 5.593037642693620001e+03 7.255874036342481304e+03 8.673232610044826288e+03 9.927673518000490731e+03 9.404842821079266287e+03 1.391395026642753692e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.859875980612124735e+01 5.774716646662522107e+05 3.054879475806260016e+06 -2.006285069296827260e+03 7.222117521996693686e+05 2.746451503766654059e+05 1.715819355384376249e+05 -9.854890866900874244e+04 4.393762941269137809e+04 4.697413921813335037e+05 7.007186692876534653e+04 -5.930051333226025599e+04 -1.663946459335734835e+04 2.823501256759516546e+05 -7.208449605726831942e+04 5.580508652903483016e+05 9.718988770056850044e+05 2.887765767012098222e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.099115076840474010e-03 7.472222283537859056e-02 3.377023073318060065e-01 8.606062689666184040e-01 1.769100191612667849e+00 3.275315934102137394e+00 5.625100046009887222e+00 9.231152762839416326e+00 1.474904840186817445e+01 2.307763238383526527e+01 3.538599865690495960e+01 5.350134734231175315e+01 8.051440947817549443e+01 1.196763711329924433e+02 1.763711868572090680e+02 2.585125393631207658e+02 3.780059481300782522e+02 5.477315458584083672e+02 7.910738545890167188e+02 1.144356264531646048e+03 1.649599745852141041e+03 2.366743272098409307e+03 3.376279691472107515e+03 4.775958512211292145e+03 6.637395757431538186e+03 9.174391635914582366e+03 1.278575259209891738e+04 1.762294646153958820e+04 2.321957624130571639e+04 2.990373097061458247e+04 3.869589028195098945e+04 4.602939962036701763e+04 5.211800380692848557e+04 4.850334527999652346e+04 7.115923561614561095e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.604482195312895737e-02 -3.169199249233096225e+02 -2.006285069296827260e+03 2.808087212755293383e+00 -4.743109071190045256e+02 -2.144083493055552765e+02 -1.748351371649856105e+02 1.084195557736854738e+02 2.057085101177173954e+02 -1.614747076126940328e+02 -1.902010936083211163e+02 7.344909456200622344e+01 1.888430063933668990e+01 5.825339855790348764e+01 3.956040525695279086e+01 -3.062616733470711097e+02 -5.333839528069421476e+02 -2.942517942763308270e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.678444044004461905e-09 -1.027429673505000978e-07 -5.200156003065178714e-07 -1.520717886390336058e-06 -3.640145630831039084e-06 -7.978918619199287213e-06 -1.633346233091284986e-05 -3.217240805307938642e-05 -6.222058142307428845e-05 -1.185874117075821107e-04 -2.221636600529430686e-04 -4.119012510584545692e-04 -7.669434692997834611e-04 -1.411499491188826678e-03 -2.581401847113249867e-03 -4.716290350422694920e-03 -8.639467436564868957e-03 -1.569286415500103365e-02 -2.841864444111620591e-02 -5.183523893635693519e-02 -9.427468852532866483e-02 -1.706026095026288159e-01 -3.072947131883106975e-01 -5.534189622570312439e-01 -9.788275598719055060e-01 -1.721307817438801679e+00 -3.054027387645883884e+00 -5.360482977153743889e+00 -9.003569754760384569e+00 -1.474181189829031702e+01 -2.408409099706025813e+01 -3.561216474581899405e+01 -4.889834767525342585e+01 -5.232758622497856749e+01 -7.993389730683556627e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.761104846817336700e+00 1.365215309105449705e+05 7.222117521996693686e+05 -4.743109071190045256e+02 1.707398996085289400e+05 6.492955183913533256e+04 4.056411760019451322e+04 -2.329819574581598135e+04 1.038740564953535795e+04 1.110527458169050515e+05 1.656586657356400246e+04 -1.401938373648218658e+04 -3.933777739778526666e+03 6.675110445868148236e+04 -1.704167729570079246e+04 1.319302108085667714e+05 2.297690617525631387e+05 6.827039793396732421e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.962570830437066250e-04 1.766526892781919086e-02 7.983705315758991838e-02 2.034580959369471920e-01 4.182374327105480849e-01 7.743256905908191268e-01 1.329844071656882676e+00 2.182360078187216779e+00 3.486859685938880293e+00 5.455841205044813513e+00 8.365693080769919021e+00 1.264838829654193830e+01 1.903461436271817320e+01 2.829299236757772107e+01 4.169635656871933804e+01 6.111560063093824624e+01 8.936533840467447476e+01 1.294905945070161692e+02 1.870197626998994735e+02 2.705401471624152805e+02 3.899860313034357091e+02 5.595277388473227802e+02 7.981947868010980756e+02 1.129096382640986576e+03 1.569163450794447044e+03 2.168941037188095834e+03 3.022711977955901148e+03 4.166285165653010154e+03 5.489398509949831350e+03 7.069616367072914727e+03 9.148192897553888542e+03 1.088192631355788762e+04 1.232134856666208907e+04 1.146679803888714741e+04 1.682293414405910426e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.314350871787135944e+00 5.213657906283336342e+04 2.746451503766654059e+05 -2.144083493055552765e+02 6.492955183913533256e+04 2.903461241394912940e+04 1.520680496090442102e+04 -7.752366706160559261e+03 -1.473379029851127768e+02 3.880096271718687785e+04 1.037696073875514412e+04 -6.620331436879952889e+03 -1.751708408255140512e+03 1.697844284592970507e+04 -6.508092531373518796e+03 5.038318733111881011e+04 8.774713244392910565e+04 2.559342313858678244e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.362181694440463402e-04 -1.844286810486367792e-02 -7.971576712899548778e-02 -1.933476173631212547e-01 -3.770274037116060906e-01 -6.590323933768227338e-01 -1.065654424232182373e+00 -1.640641632881506995e+00 -2.446595745256686882e+00 -3.553363649038867589e+00 -5.031589179126360278e+00 -6.979942491679993033e+00 -9.538810876219475432e+00 -1.276201308865877060e+01 -1.673216051232149226e+01 -2.146791885142558698e+01 -2.687120903343664580e+01 -3.247266480423413526e+01 -3.759729265643264995e+01 -4.071966209297684003e+01 -3.910649183093536152e+01 -2.821684361014830600e+01 -5.126323939347879888e-01 5.651436509440852518e+01 1.568298412834529074e+02 3.248123163379001426e+02 6.048289009444500834e+02 1.042988453316837195e+03 1.646594863710472509e+03 2.472678309878895561e+03 3.662791617622468948e+03 4.894786429116848012e+03 6.155858053473785731e+03 6.255105991614615959e+03 9.459189244917897099e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.118437777383038845e-01 2.785459894819579131e+04 1.715819355384376249e+05 -1.748351371649856105e+02 4.056411760019451322e+04 1.520680496090442102e+04 1.420359995108680232e+04 -8.767978181796332137e+03 -8.623236531502770958e+03 1.946829939494872451e+04 9.544054311657509970e+03 -4.400445433406945085e+03 -1.206359123479667915e+03 6.923502533026176025e+03 -3.477027274088781269e+03 2.691782817489417357e+04 4.687996847921760491e+04 2.390500467218162885e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.466871771308348934e-04 8.314461558688701626e-03 3.532483249937656833e-02 8.482221159601910365e-02 1.648207080344127329e-01 2.891946390068313444e-01 4.726463197380089132e-01 7.411649442437157065e-01 1.135008527914553644e+00 1.707032030725158522e+00 2.525976772191778075e+00 3.699838593422259070e+00 5.408434682891108736e+00 7.833713132590866657e+00 1.128751886357636636e+01 1.622740040978960607e+01 2.331548852147174600e+01 3.331521979632693586e+01 4.751487245724230490e+01 6.798270141724491111e+01 9.709286968388731509e+01 1.382608500197809747e+02 1.960482832838744116e+02 2.765522894241773315e+02 3.844140496348854867e+02 5.317507451149775761e+02 7.405930127392124405e+02 1.020431421074931563e+03 1.348915112351586913e+03 1.739152812052470381e+03 2.232148145337079313e+03 2.613051073291232115e+03 2.851836023088155798e+03 2.488829898294310624e+03 3.535594577874735478e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.500515505829037011e+01 -1.538654250040831539e+04 -9.854890866900874244e+04 1.084195557736854738e+02 -2.329819574581598135e+04 -7.752366706160559261e+03 -8.767978181796332137e+03 6.913033207406544534e+03 8.035400099069503995e+03 -1.053632824762098426e+04 -6.615961849763684768e+03 2.686195582021508017e+03 7.594212927577435721e+02 -3.663357011780889025e+03 1.920667679593755793e+03 -1.486908169103344335e+04 -2.589592579540640872e+04 -1.475672084001424264e+04 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -2.649791509911542976e-04 -8.962453303938652457e-03 -3.881930935190822107e-02 -9.622608216030614781e-02 -1.941595244762056305e-01 -3.544951145821121363e-01 -6.002147405259873336e-01 -9.700405100444600137e-01 -1.519306577935702673e+00 -2.309736116255572735e+00 -3.415473044144893944e+00 -4.927247187068344303e+00 -6.985170484724151585e+00 -9.649122129974580631e+00 -1.312067265976871688e+01 -1.771276116310583149e+01 -2.504889391017020728e+01 -3.952861625314843508e+01 -5.493020422675894565e+01 -7.578277634516337002e+01 -1.037577059413115137e+02 -1.396229720183023630e+02 -1.847790948364141173e+02 -2.424620372330514044e+02 -3.105101458200845173e+02 -4.032059814410935132e+02 -5.477949787727428657e+02 -7.454742200272307855e+02 -8.512077352716684118e+02 -9.488865488257214338e+02 -1.358478382178892844e+03 -1.300635915643022599e+03 -1.264620828286622782e+03 -1.045801805446727030e+03 -1.260771953482726282e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.212844746336036295e+01 1.942956854928392931e+04 4.393762941269137809e+04 2.057085101177173954e+02 1.038740564953535795e+04 -1.473379029851127768e+02 -8.623236531502770958e+03 8.035400099069503995e+03 4.091858894694014452e+04 3.053119752886322749e+04 -2.240710775333537094e+04 4.513354220194143636e+03 1.042175012396319744e+03 4.159494229648145847e+04 -2.425349576753235851e+03 1.877613778229711534e+04 3.270043711091472869e+04 -1.451311711712410943e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.727821050430688032e-04 1.379395476095905161e-02 6.340789749560209188e-02 1.614980322302715932e-01 3.275272786932055813e-01 5.930270919334954538e-01 9.886289660900339227e-01 1.569801170597598716e+00 2.415979709615675208e+00 3.618840203740686157e+00 5.296167468839578341e+00 7.607449424085984901e+00 1.081362951061533018e+01 1.510428384410127833e+01 2.091081204582683029e+01 2.887281366104292957e+01 4.104519286395453292e+01 6.209979730691596700e+01 8.673498129229081144e+01 1.205719731003068915e+02 1.663666387689561930e+02 2.262611455864759193e+02 3.027247837442433251e+02 3.980024032860977172e+02 5.055964484483733941e+02 6.344902798689195151e+02 8.021560872748696056e+02 9.764861915336994116e+02 9.605204952234219036e+02 7.787466477666343962e+02 6.495059468642390357e+02 -1.249166059869432246e+02 -9.680794958169900610e+02 -1.361452332852230256e+03 -2.291625888650544951e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.504368207877384123e+01 9.573234472977946280e+04 4.697413921813335037e+05 -1.614747076126940328e+02 1.110527458169050515e+05 3.880096271718687785e+04 1.946829939494872451e+04 -1.053632824762098426e+04 3.053119752886322749e+04 8.734507880260575621e+04 -3.541192174497381529e+03 -5.769965357860442055e+03 -1.782737724563617121e+03 6.769856345989798137e+04 -1.195005443291341726e+04 9.251279514052566083e+04 1.611198679155402933e+05 3.276562206752874772e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.347671620845018016e-04 2.279471123517590528e-02 1.035763191692269103e-01 2.646937448883394106e-01 5.439389939276343400e-01 1.004034544295911102e+00 1.712687844699715134e+00 2.785428404644871403e+00 4.395447655001614606e+00 6.758205071803674358e+00 1.014756584796557348e+01 1.495334207281006123e+01 2.181921476938708437e+01 3.129537092061193349e+01 4.445153284130525861e+01 6.287884208150062904e+01 9.070107142290943614e+01 1.362447527069438706e+02 1.933625464324328789e+02 2.738207363195533617e+02 3.857077251674871832e+02 5.379784706791905364e+02 7.427462104291915921e+02 1.015269825387334208e+03 1.357461368266456248e+03 1.812422597772475456e+03 2.461891946448470662e+03 3.303686626662858998e+03 4.028249925145105408e+03 4.766998675819621894e+03 6.070598583492484977e+03 6.401337997862370685e+03 6.608255450473396195e+03 5.845008704172562830e+03 8.217766797941941093e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
