# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
6.974484623048458332e+01 2.641633997085061836e+01 1.143950392244849894e+02 -1.841792878125158295e-01 2.704441938726934680e+01 1.325740348714854377e+01 1.647375110953215538e+00 -6.002062023316148043e+01 4.851378985344145178e+01 1.001747283150953649e+02 -6.939599890764229428e+01 2.233961326561857064e+01 3.562583574638205963e+00 2.035508688998363596e+02 -3.297492623429004066e+00 2.552793891117937264e+01 4.445934358893300953e+01 2.772572436550608810e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.425264630817317585e-19 -2.896336841514155937e-17 -1.964554250339046764e-16 3.051507184191421786e-16 3.186020313634801254e-16 -2.696512242723969838e-16 -3.256182609251255347e-15 -2.403184182371412685e-15 -4.811983540606110924e-15 5.004691188769709355e-15 -2.786815662818578186e-14 -8.703131250673694757e-15 -7.432054965716741303e-15 -3.396693024181002229e-14 -7.251992025788126003e-14 -5.738419591061213185e-14 -2.306620834992166025e-01 -5.162674508684457209e+00 -1.311429543061317204e+01 -1.643224078651202547e+01 -3.687822280482308646e+00 3.151362678652485627e+01 7.197957997936521224e+01 5.905130262013710052e+01 -6.180881469955873797e+01 -1.749216856028474751e+02 6.868778203749983824e+00 2.737084551955771303e+02 -5.164513509694431548e+01 -3.288598600399211023e+02 3.129931409983347521e+02 -1.261104493865644258e+02 -5.556508495024321093e+01 9.498403396582807545e+01 -2.280706389656046440e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.641633997085061836e+01 4.550179475012111943e+05 2.309886658665008843e+06 -1.267679699693238490e+03 5.460861236421798822e+05 2.085463162513334537e+05 1.114183957927831652e+05 -6.154617000163326156e+04 7.771827419713571726e+04 3.829293789191178512e+05 3.048353136535898739e+04 -4.054726075459078129e+04 -1.149126689164938034e+04 2.493398505725690920e+05 -5.679887248077163531e+04 4.397153572417153628e+05 7.658062884339875309e+05 1.875198739168704196e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.070528988015734826e-03 3.998062476338126725e-02 1.897239474443660756e-01 5.043581089625888136e-01 1.075068168827132187e+00 2.054391766834496647e+00 3.624634424904608299e+00 6.086580920528551708e+00 9.922143302549244481e+00 1.580145787718461570e+01 2.459616587518747366e+01 3.766633136631597267e+01 5.732398933010890119e+01 8.603010639325385966e+01 1.278177534454398057e+02 1.886182919945120773e+02 2.774601659259230360e+02 4.039219408003872331e+02 5.857862538588565258e+02 8.504055981116111980e+02 1.229497166561629001e+03 1.768186410217187586e+03 2.527173369376801475e+03 3.577934724122235821e+03 4.972139143860174954e+03 6.871011062230281823e+03 9.577580178659973171e+03 1.320243165381197468e+04 1.737748290096557321e+04 2.237215057077448000e+04 2.902349614536992522e+04 3.469293044017930515e+04 3.971069407200196292e+04 3.761937128431706515e+04 5.565580106571014767e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.143950392244849894e+02 2.309886658665008843e+06 1.221951790322504006e+07 -8.025140277187309039e+03 2.888847008798677474e+06 1.098580601506661624e+06 6.863277421537504997e+05 -3.941956346760349697e+05 1.757505176507655124e+05 1.878965568725334015e+06 2.802874677150613861e+05 -2.372020533290410240e+05 -6.655785837342939340e+04 1.129400502703806618e+06 -2.883379842290732777e+05 2.232203461161393207e+06 3.887595508022740018e+06 1.155106306804839289e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.396460307361896039e-03 2.988888913415143622e-01 1.350809229327224026e+00 3.442425075866473616e+00 7.076400766450671398e+00 1.310126373640854958e+01 2.250040018403954889e+01 3.692461105135766530e+01 5.899619360747269781e+01 9.231052953534106109e+01 1.415439946276198384e+02 2.140053893692470126e+02 3.220576379127019777e+02 4.787054845319697733e+02 7.054847474288362719e+02 1.034050157452483063e+03 1.512023792520313009e+03 2.190926183433633469e+03 3.164295418356066875e+03 4.577425058126584190e+03 6.598398983408564163e+03 9.466973088393637227e+03 1.350511876588843006e+04 1.910383404884516858e+04 2.654958302972615274e+04 3.669756654365832946e+04 5.114301036839566950e+04 7.049178584615835280e+04 9.287830496522286558e+04 1.196149238824583299e+05 1.547835611278039578e+05 1.841175984814680705e+05 2.084720152277139423e+05 1.940133811199860938e+05 2.846369424645824438e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.841792878125158295e-01 -1.267679699693238490e+03 -8.025140277187309039e+03 1.123234885102117353e+01 -1.897243628476018102e+03 -8.576333972222211059e+02 -6.993405486599424421e+02 4.336782230947418952e+02 8.228340404708695814e+02 -6.458988304507761313e+02 -7.608043744332844653e+02 2.937963782480248938e+02 7.553720255734675959e+01 2.330135942316139506e+02 1.582416210278111635e+02 -1.225046693388284439e+03 -2.133535811227768590e+03 -1.177007177105323308e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.071377617601784762e-08 -4.109718694020003911e-07 -2.080062401226071486e-06 -6.082871545561344232e-06 -1.456058252332415634e-05 -3.191567447679714885e-05 -6.533384932365139946e-05 -1.286896322123175457e-04 -2.488823256922971538e-04 -4.743496468303284429e-04 -8.886546402117722742e-04 -1.647605004233818277e-03 -3.067773877199133845e-03 -5.645997964755306714e-03 -1.032560738845299947e-02 -1.886516140169077968e-02 -3.455786974625947583e-02 -6.277145662000413462e-02 -1.136745777644648236e-01 -2.073409557454277408e-01 -3.770987541013146593e-01 -6.824104380105152634e-01 -1.229178852753242790e+00 -2.213675849028124976e+00 -3.915310239487622024e+00 -6.885231269755206718e+00 -1.221610955058353554e+01 -2.144193190861497555e+01 -3.601427901904153828e+01 -5.896724759316126807e+01 -9.633636398824103253e+01 -1.424486589832759762e+02 -1.955933907010137034e+02 -2.093103448999142699e+02 -3.197355892273422651e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.704441938726934680e+01 5.460861236421798822e+05 2.888847008798677474e+06 -1.897243628476018102e+03 6.829595984341157600e+05 2.597182073565413302e+05 1.622564704007780529e+05 -9.319278298326392542e+04 4.154962259814143181e+04 4.442109832676202059e+05 6.626346629425600986e+04 -5.607753494592874631e+04 -1.573511095911410666e+04 2.670044178347259294e+05 -6.816670918280316982e+04 5.277208432342670858e+05 9.190762470102525549e+05 2.730815917358692968e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.985028332174826500e-03 7.066107571127676346e-02 3.193482126303596735e-01 8.138323837477887679e-01 1.672949730842192340e+00 3.097302762363276507e+00 5.319376286627530703e+00 8.729440312748867115e+00 1.394743874375552117e+01 2.182336482017925405e+01 3.346277232307967608e+01 5.059355318616775321e+01 7.613845745087269279e+01 1.131719694703108843e+02 1.667854262748773522e+02 2.444624025237529850e+02 3.574613536186978990e+02 5.179623780280646770e+02 7.480790507995978942e+02 1.082160588649661122e+03 1.559944125213742836e+03 2.238110955389291121e+03 3.192779147204392302e+03 4.516385530563946304e+03 6.276653803177788177e+03 8.675764148752383335e+03 1.209084791182360459e+04 1.666514066261204061e+04 2.195759403979932540e+04 2.827846546829165891e+04 3.659277159021555417e+04 4.352770525423155050e+04 4.928539426664835628e+04 4.586719215554858965e+04 6.729173657623641702e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.325740348714854377e+01 2.085463162513334537e+05 1.098580601506661624e+06 -8.576333972222211059e+02 2.597182073565413302e+05 1.161384496557965176e+05 6.082721984361768409e+04 -3.100946682464223704e+04 -5.893516119404511073e+02 1.552038508687475114e+05 4.150784295502057648e+04 -2.648132574751981156e+04 -7.006833633020562047e+03 6.791377138371882029e+04 -2.603237012549407518e+04 2.015327493244752404e+05 3.509885297757164226e+05 1.023736925543471298e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.144872677776185361e-03 -7.377147241945471168e-02 -3.188630685159819511e-01 -7.733904694524850187e-01 -1.508109614846424362e+00 -2.636129573507290935e+00 -4.262617696928729494e+00 -6.562566531526027980e+00 -9.786382981026747530e+00 -1.421345459615547036e+01 -2.012635671650544111e+01 -2.791976996671997213e+01 -3.815524350487790173e+01 -5.104805235463508239e+01 -6.692864204928596905e+01 -8.587167540570234792e+01 -1.074848361337465832e+02 -1.298906592169365410e+02 -1.503891706257305998e+02 -1.628786483719073601e+02 -1.564259673237414461e+02 -1.128673744405932240e+02 -2.050529575739151955e+00 2.260574603776341007e+02 6.273193651338116297e+02 1.299249265351600570e+03 2.419315603777800334e+03 4.171953813267348778e+03 6.586379454841890038e+03 9.890713239515582245e+03 1.465116647048987579e+04 1.957914571646739205e+04 2.462343221389514292e+04 2.502042396645846384e+04 3.783675697967158840e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.647375110953215538e+00 1.114183957927831652e+05 6.863277421537504997e+05 -6.993405486599424421e+02 1.622564704007780529e+05 6.082721984361768409e+04 5.681439980434720928e+04 -3.507191272718532855e+04 -3.449294612601108383e+04 7.787319757979489805e+04 3.817621724663003988e+04 -1.760178173362778034e+04 -4.825436493918671658e+03 2.769401013210470410e+04 -1.390810909635512508e+04 1.076713126995766943e+05 1.875198739168704196e+05 9.562001868872651539e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.867487085233395735e-04 3.325784623475480650e-02 1.412993299975062733e-01 3.392888463840764146e-01 6.592828321376509315e-01 1.156778556027325378e+00 1.890585278952035653e+00 2.964659776974862826e+00 4.540034111658214577e+00 6.828128122900634089e+00 1.010390708876711230e+01 1.479935437368903628e+01 2.163373873156443494e+01 3.133485253036346663e+01 4.515007545430546543e+01 6.490960163915842429e+01 9.326195408588698399e+01 1.332608791853077435e+02 1.900594898289692196e+02 2.719308056689796445e+02 3.883714787355492604e+02 5.530434000791238986e+02 7.841931331354976464e+02 1.106209157696709326e+03 1.537656198539541947e+03 2.127002980459910304e+03 2.962372050956849762e+03 4.081725684299726254e+03 5.395660449406347652e+03 6.956611248209881524e+03 8.928592581348317253e+03 1.045220429316492846e+04 1.140734409235262319e+04 9.955319593177242496e+03 1.414237831149894191e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-6.002062023316148043e+01 -6.154617000163326156e+04 -3.941956346760349697e+05 4.336782230947418952e+02 -9.319278298326392542e+04 -3.100946682464223704e+04 -3.507191272718532855e+04 2.765213282962617814e+04 3.214160039627801598e+04 -4.214531299048393703e+04 -2.646384739905473907e+04 1.074478232808603207e+04 3.037685171030974288e+03 -1.465342804712355610e+04 7.682670718375023171e+03 -5.947632676413377339e+04 -1.035837031816256349e+05 -5.902688336005697056e+04 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.059916603964617191e-03 -3.584981321575460983e-02 -1.552772374076328843e-01 -3.849043286412245912e-01 -7.766380979048225219e-01 -1.417980458328448545e+00 -2.400858962103949334e+00 -3.880162040177840055e+00 -6.077226311742810694e+00 -9.238944465022290942e+00 -1.366189217657957578e+01 -1.970898874827337721e+01 -2.794068193889660634e+01 -3.859648851989832252e+01 -5.248269063907486753e+01 -7.085104465242332594e+01 -1.001955756406808291e+02 -1.581144650125937403e+02 -2.197208169070357826e+02 -3.031311053806534801e+02 -4.150308237652460548e+02 -5.584918880732094522e+02 -7.391163793456564690e+02 -9.698481489322056177e+02 -1.242040583280338069e+03 -1.612823925764374053e+03 -2.191179915090971463e+03 -2.981896880108923142e+03 -3.404830941086673647e+03 -3.795546195302885735e+03 -5.433913528715571374e+03 -5.202543662572090398e+03 -5.058483313146491128e+03 -4.183207221786908121e+03 -5.043087813930905128e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
4.851378985344145178e+01 7.771827419713571726e+04 1.757505176507655124e+05 8.228340404708695814e+02 4.154962259814143181e+04 -5.893516119404511073e+02 -3.449294612601108383e+04 3.214160039627801598e+04 1.636743557877605781e+05 1.221247901154529100e+05 -8.962843101334148378e+04 1.805341688077657454e+04 4.168700049585278975e+03 1.663797691859258339e+05 -9.701398307012943405e+03 7.510455112918846135e+04 1.308017484436589148e+05 -5.805246846849643771e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.491128420172275213e-03 5.517581904383620645e-02 2.536315899824083675e-01 6.459921289210863726e-01 1.310109114772822325e+00 2.372108367733981815e+00 3.954515864360135691e+00 6.279204682390394865e+00 9.663918838462700833e+00 1.447536081496274463e+01 2.118466987535831336e+01 3.042979769634393961e+01 4.325451804246132070e+01 6.041713537640511333e+01 8.364324818330732114e+01 1.154912546441717183e+02 1.641807714558181317e+02 2.483991892276638680e+02 3.469399251691632458e+02 4.822878924012275661e+02 6.654665550758247718e+02 9.050445823459036774e+02 1.210899134976973301e+03 1.592009613144390869e+03 2.022385793793493576e+03 2.537961119475678061e+03 3.208624349099478422e+03 3.905944766134797646e+03 3.842081980893687614e+03 3.114986591066537585e+03 2.598023787456956143e+03 -4.996664239477728984e+02 -3.872317983267960244e+03 -5.445809331408921025e+03 -9.166503554602179804e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.001747283150953649e+02 3.829293789191178512e+05 1.878965568725334015e+06 -6.458988304507761313e+02 4.442109832676202059e+05 1.552038508687475114e+05 7.787319757979489805e+04 -4.214531299048393703e+04 1.221247901154529100e+05 3.493803152104230248e+05 -1.416476869798952612e+04 -2.307986143144176822e+04 -7.130950898254468484e+03 2.707942538395919255e+05 -4.780021773165366903e+04 3.700511805621026433e+05 6.444794716621611733e+05 1.310624882701149909e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.539068648338007207e-03 9.117884494070362111e-02 4.143052766769076412e-01 1.058774979553357642e+00 2.175755975710537360e+00 4.016138177183644409e+00 6.850751378798860536e+00 1.114171361857948561e+01 1.758179062000645843e+01 2.703282028721469743e+01 4.059026339186229393e+01 5.981336829124024490e+01 8.727685907754833750e+01 1.251814836824477339e+02 1.778061313652210345e+02 2.515153683260025161e+02 3.628042856916377445e+02 5.449790108277754825e+02 7.734501857297315155e+02 1.095282945278213447e+03 1.542830900669948733e+03 2.151913882716762146e+03 2.970984841716766368e+03 4.061079301549336833e+03 5.429845473065824990e+03 7.249690391089901823e+03 9.847567785793882649e+03 1.321474650665143599e+04 1.611299970058042163e+04 1.906799470327848758e+04 2.428239433396993991e+04 2.560535199144948274e+04 2.643302180189358478e+04 2.338003481669025132e+04 3.287106719176776437e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
