# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
4.091041715102181620e-01 -3.779527072047876413e+00 -2.806204697850216689e+01 1.725376363293542117e-02 -4.266586233920863336e+00 -2.144465504758018781e+00 -1.168424939282557418e+00 1.697594880550546137e-01 9.432489629036403533e-01 -2.908183198280287041e+00 -9.832516022513612119e-01 6.497443559632747334e-01 8.457514807732804951e-02 8.664162617899471286e-01 1.360434484529459143e+00 -3.137314558024939526e+00 -5.360011452848094216e+00 -1.657025055506339495e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.125567243192854160e-18 -5.933710472816703443e-18 -5.260409329353069387e-17 -1.414289675657584354e-16 -1.295645088865847140e-16 -7.298529643147911227e-04 -1.725075237684996904e-02 -4.772430476206620392e-02 -6.431020507603235625e-02 -1.473574242059640278e-02 1.400390566086839872e-01 3.336168103192713175e-01 2.852503206867241792e-01 -3.204286960774979653e-01 -9.366815876717615730e-01 4.583949370518775046e-02 1.594247243957478855e+00 -3.522228516940667520e-01 -2.174425097130254780e+00 2.249408447237101427e+00 -1.088513734740516270e+00 -1.410854790437050754e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.779527072047876413e+00 2.765905647253483949e+03 2.013812393920133036e+04 -6.679510009450505770e+00 3.061823766520352365e+03 1.100571894887822737e+03 7.821668751401522286e+02 -5.689416342322451783e+02 5.402007067363325632e+02 2.979044138171057511e+03 1.762346576579680573e+02 -2.287441954984030303e+02 -3.309531864744148777e+01 1.480746249784350766e+03 -9.955831382468658148e+02 2.295926418262159132e+03 3.922524078850703518e+03 1.109245503172973258e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.284301818020199529e-04 2.839994006595048665e-02 9.767830118158481179e-02 2.197496423654087261e-01 4.244832124871017465e-01 7.599231607827955370e-01 1.284979639330302348e+00 2.096454196564759176e+00 3.353425392073638989e+00 5.249530951161943015e+00 8.074996314312281598e+00 1.224632200585852004e+01 1.839910310229238632e+01 2.713586327119037378e+01 3.964112306430856592e+01 5.795320318521869751e+01 8.387817011133192580e+01 1.182360234502059768e+02 1.642799920500181940e+02 2.286495638428677921e+02 3.033350828988694730e+02 2.016579237869838153e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.806204697850216689e+01 2.013812393920133036e+04 1.520296748315704754e+05 -5.867121528399961505e+01 2.311476843726906009e+04 8.253946337006032991e+03 6.685167604580701664e+03 -5.129241510036896216e+03 2.059326346653982455e+03 2.132509675075323321e+04 1.738444862579147184e+03 -1.850239018995110200e+03 -2.688407681919418906e+02 1.002004093816993918e+04 -7.248684223810390904e+03 1.671627910090189835e+04 2.855928080295708060e+04 9.480703337136385016e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.107953869372430178e-03 3.006621327606673333e-01 9.873797845650358340e-01 2.127435122883800211e+00 3.954449317378504247e+00 6.840599301691836054e+00 1.123229492079267722e+01 1.786940275862448857e+01 2.796145295559955457e+01 4.295928913883940936e+01 6.503648951180116455e+01 9.730797717935567448e+01 1.445104397528099867e+02 2.111158911345207514e+02 3.059682763612615872e+02 4.441296137807225932e+02 6.389777593954929671e+02 8.964990147170095725e+02 1.240292689725151149e+03 1.717854526224498613e+03 2.266464062788489173e+03 1.498137914392352968e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725376363293542117e-02 -6.679510009450505770e+00 -5.867121528399961505e+01 4.265352357927233717e-02 -8.920439754444506875e+00 -3.647726475988528616e+00 -3.727509743334091130e+00 3.205824113685441290e+00 3.540144024239853859e+00 -5.848354876920963008e+00 -1.763713684574909069e+00 1.112764601239172757e+00 1.589134848154030721e-01 -5.445883358768411897e-01 2.404278520405596087e+00 -5.544536020949269783e+00 -9.472679906131569183e+00 -5.286242044047066102e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.105136910167367459e-07 -3.962502502909448836e-06 -1.471376668996121746e-05 -3.639947704024864054e-05 -7.861850908731241115e-05 -1.598736055479201760e-04 -3.106398024050031513e-04 -5.888418295007367574e-04 -1.109389855158118918e-03 -2.064545049756756102e-03 -3.801309606841268753e-03 -6.952764587868156231e-03 -1.274175651197978140e-02 -2.301394142866687240e-02 -4.136309455789470568e-02 -7.479008988725904805e-02 -1.345290819989938269e-01 -2.362457367230329786e-01 -4.091784272187766747e-01 -7.108558669372919692e-01 -1.166963350545092037e+00 -8.956685475205478086e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.266586233920863336e+00 3.061823766520352365e+03 2.311476843726906009e+04 -8.920439754444506875e+00 3.514396255208057937e+03 1.254939593108440931e+03 1.016420651530110149e+03 -7.798558399515221708e+02 3.131023709181103527e+02 3.242292492186921208e+03 2.643151771783732329e+02 -2.813124906374573015e+02 -4.087486281963570889e+01 1.523458668673401235e+03 -1.102098373188579899e+03 2.541562500730083684e+03 4.342186242433584084e+03 1.441457153040257253e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.384783890783894238e-03 4.571302006873131235e-02 1.501223698935517659e-01 3.234577084062829067e-01 6.012390697367947512e-01 1.040052667388303265e+00 1.707771172969193563e+00 2.716884761711854779e+00 4.251291801776987178e+00 6.531580244278438308e+00 9.888223445216405949e+00 1.479481793335250295e+01 2.197153519768282237e+01 3.209830542891350547e+01 4.651977230811160524e+01 6.752598260864873225e+01 9.715092110375769607e+01 1.363047520320048989e+02 1.885755419078292903e+02 2.611845985106858166e+02 3.445958299969270797e+02 2.277786295118839917e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.144465504758018781e+00 1.100571894887822737e+03 8.253946337006032991e+03 -3.647726475988528616e+00 1.254939593108440931e+03 5.095080186529840489e+02 3.553425124463428233e+02 -2.539193896836285944e+02 4.099017161488364991e+01 1.115664564774559949e+03 1.267235253842943479e+02 -1.155282860980983486e+02 -1.637227407331400642e+01 4.238312807665834612e+02 -3.961490234009781943e+02 9.135640947039948969e+02 1.560797911704105445e+03 5.039360481056734216e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.310996724493764838e-04 -2.259988894312076405e-02 -6.728962998433558884e-02 -1.292814702437360963e-01 -2.105989093335929319e-01 -3.119340239630860601e-01 -4.271954610230985772e-01 -5.449498710834684845e-01 -6.383471730706372638e-01 -6.528147265539205879e-01 -4.959380335685316665e-01 -5.923892804735661835e-03 1.105127585547817537e+00 3.217420578700868283e+00 6.977468185073083973e+00 1.352478257451080523e+01 2.434736407410613168e+01 4.094257888033157400e+01 6.602039258387195275e+01 1.046797240840026717e+02 1.552416042411270496e+02 1.108520689020046319e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.168424939282557418e+00 7.821668751401522286e+02 6.685167604580701664e+03 -3.727509743334091130e+00 1.016420651530110149e+03 3.553425124463428233e+02 4.025697344724915752e+02 -3.416371191539403753e+02 -1.904260987372455531e+02 7.756160360749646543e+02 1.332278380233180712e+02 -9.853069660806035301e+01 -1.446507484199900873e+01 2.793522432195995293e+02 -2.815396660251337266e+02 6.492620577665200017e+02 1.109245503172973258e+03 5.709122718820513001e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.976988714329181270e-04 2.522672585064316200e-02 7.820885379417197303e-02 1.587504710755296422e-01 2.782557811997438679e-01 4.544091646707915100e-01 7.070738654908542697e-01 1.070047367421880447e+00 1.597711761853756851e+00 2.352334448927068333e+00 3.427067225255491234e+00 4.954792322289729434e+00 7.135216071207691080e+00 1.015431781211243489e+01 1.438729361743282631e+01 2.045109388926912075e+01 2.889824367756555645e+01 3.996356249030687025e+01 5.455110390005488341e+01 7.438361688952961970e+01 9.638956583003293588e+01 6.250252090296027774e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.697594880550546137e-01 -5.689416342322451783e+02 -5.129241510036896216e+03 3.205824113685441290e+00 -7.798558399515221708e+02 -2.539193896836285944e+02 -3.416371191539403753e+02 3.494075386150196323e+02 2.818867067258289012e+02 -5.504631090907630551e+02 -1.260687995789534170e+02 8.289537683466143392e+01 1.241114903455035190e+01 -1.824982642283488872e+02 2.047895951370203136e+02 -4.722677831690134553e+02 -8.068558889391957791e+02 -4.844994721498195531e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.119364405904942550e-03 -3.389425156362169123e-02 -9.947384519997265473e-02 -1.913170251316154979e-01 -3.187597598541909716e-01 -5.107056341860126691e-01 -8.419572535881142406e-01 -1.268532429056328903e+00 -1.876484098339031625e+00 -2.725249862280183066e+00 -3.867583992343250898e+00 -5.376179961109605721e+00 -7.410009474347033276e+00 -9.973491787338168990e+00 -1.354004692671742127e+01 -1.904100705703865515e+01 -2.685103588339938696e+01 -3.260364746944458147e+01 -3.903735261851269911e+01 -5.944774234386430578e+01 -6.362360768149870438e+01 -3.661730939916888161e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
9.432489629036403533e-01 5.402007067363325632e+02 2.059326346653982455e+03 3.540144024239853859e+00 3.131023709181103527e+02 4.099017161488364991e+01 -1.904260987372455531e+02 2.818867067258289012e+02 1.054465431285349950e+03 8.263307980590894886e+02 -2.200412872278909902e+02 6.116260856909430288e+01 8.680334693955819247e+00 8.324388754265154375e+02 -1.944443460787526305e+02 4.484104781344950652e+02 7.660963712516829673e+02 -2.700565575258005993e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.726864127621215592e-04 2.014790993443627345e-02 6.831762570300875526e-02 1.477846650108519122e-01 2.718630571029432286e-01 4.886453653638680450e-01 9.158117897216182524e-01 1.433118833114607416e+00 2.173139360954770005e+00 3.206827371836782792e+00 4.595974837423228543e+00 6.423039883783809856e+00 8.832981702605344765e+00 1.174519482917581925e+01 1.542367335443728571e+01 2.031221587358973224e+01 2.576004464106072334e+01 2.646237284371291310e+01 2.214783501524486553e+01 1.833236139730005121e+01 -1.265757451202841288e+01 -2.551792648871087721e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.908183198280287041e+00 2.979044138171057511e+03 2.132509675075323321e+04 -5.848354876920963008e+00 3.242292492186921208e+03 1.115664564774559949e+03 7.756160360749646543e+02 -5.504631090907630551e+02 8.263307980590894886e+02 3.293382723949425326e+03 1.155463247866591274e+02 -2.146332200571137321e+02 -3.136990038091388655e+01 1.792366884356764558e+03 -1.072301983620217015e+03 2.472848683319214160e+03 4.224790666861131285e+03 1.099955300524379709e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.624083123604134213e-03 5.342293658381808835e-02 1.736978841421342457e-01 3.697183547634241840e-01 6.791006741302855199e-01 1.183170125953158847e+00 2.032387646430348305e+00 3.227192375158489224e+00 5.018415166823373852e+00 7.641794480418353075e+00 1.140853581638348579e+01 1.676051939665313739e+01 2.440829741932978791e+01 3.483695645152787534e+01 4.946678293645314994e+01 7.080193123227149954e+01 1.002983976720472867e+02 1.336288206703619608e+02 1.750108740924589199e+02 2.403326985275476773e+02 2.922162211523601059e+02 1.827208227193608252e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
