# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
3.438817635724249477e-01 -3.758110437265954396e+00 -2.958771209913702194e+01 1.595114036859458101e-02 -4.134631349468791406e+00 -2.049567189895259656e+00 -1.117876421139904375e+00 2.296868101328017053e-01 7.511747586460070236e-01 -3.107288418430226962e+00 -7.751456172975416115e-01 5.527737858707857388e-01 6.307085196787889925e-02 5.625386861615684353e-01 1.494205129238370899e+00 -3.027113263493159678e+00 -5.199016134429289338e+00 -1.546483970288161869e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.005818182001084798e-20 3.428880801047174220e-18 -2.962195719040971345e-17 -9.383763817725007250e-18 -1.471800443540463314e-17 -7.803475720285462458e-17 -1.795893773781490086e-16 -1.499476246733972473e-16 -6.962741834946915365e-04 -1.604916196047456375e-02 -4.262521562219317300e-02 -5.561506162678168247e-02 -1.264207244046467761e-02 1.150610201542201644e-01 2.707837669641129374e-01 2.296286581900486568e-01 -2.567040721777829049e-01 -7.509099368362840421e-01 3.694663038287558654e-02 1.284503742964625550e+00 -2.966691745492442966e-01 -1.818706351422776146e+00 1.939493512100372241e+00 -1.024228789313767152e+00 -1.326012695817478271e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.758110437265954396e+00 2.557465622593709213e+03 1.961360254646661997e+04 -5.768691107018178776e+00 2.740834292726778131e+03 9.976562947233537670e+02 6.702854612328241046e+02 -5.518178457797987448e+02 5.348105652161884791e+02 2.798690493058210450e+03 1.433062626716557588e+02 -1.916255863861349269e+02 -2.394986784224491316e+01 1.345327029280172837e+03 -1.016835006559945100e+03 2.060008144069700847e+03 3.538029352002246924e+03 9.272811392307193046e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.437872485609508041e-04 6.157314215977456942e-03 2.272513180140598582e-02 5.241714901775369750e-02 1.036378586144673514e-01 1.857827376667192665e-01 3.163592245189292829e-01 5.203591761883217259e-01 8.354947382982733650e-01 1.311238718818124038e+00 2.023459763780721676e+00 3.100243359158121326e+00 4.694206698250313003e+00 7.025439807586884911e+00 1.045237375334789931e+01 1.549976235122688628e+01 2.269875359509027746e+01 3.307327161400299076e+01 4.822777531365159831e+01 7.004859947673848808e+01 1.002278195186226526e+02 1.423831609779417704e+02 2.028222393245384865e+02 2.819401893432093402e+02 1.955552926167806049e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.958771209913702194e+01 1.961360254646661997e+04 1.559292413846202835e+05 -5.395986510623156107e+01 2.178978650216558526e+04 7.896762008060879452e+03 6.096290393641138508e+03 -5.228963720568162898e+03 2.285682409902913150e+03 2.110644573840657904e+04 1.476737971064489102e+03 -1.635571224145337965e+03 -2.052607391537083856e+02 9.541117898984697604e+03 -7.798266181100843824e+03 1.579852359434285427e+04 2.713369864871457321e+04 8.433683002611451229e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.679772461559772122e-03 6.922565365017799288e-02 2.442360193158113202e-01 5.400426228885207847e-01 1.027268168215957456e+00 1.781787782490568794e+00 2.947450627633697806e+00 4.727795238517051857e+00 7.428417170962658744e+00 1.144257913207013289e+01 1.738130477989065525e+01 2.626683507435270215e+01 3.930834011941484363e+01 5.826262670338319083e+01 8.593730774306402509e+01 1.264878064175363477e+02 1.841157929964726065e+02 2.668701418064880500e+02 3.873697466894727199e+02 5.602914171300936914e+02 7.991008579994245338e+02 1.131864592198186756e+03 1.607431140215851883e+03 2.227021980166297908e+03 1.540002686449114663e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.595114036859458101e-02 -5.768691107018178776e+00 -5.395986510623156107e+01 3.659431755291288335e-02 -7.540432634121760458e+00 -3.122153739332302003e+00 -3.197917643313970881e+00 3.014357692321290472e+00 3.154172889752071995e+00 -5.147142716906762949e+00 -1.337519940869832613e+00 8.880447235402585404e-01 1.100651682827657324e-01 -3.453904306648836742e-01 2.293601527944758800e+00 -4.646612081936000394e+00 -7.980478126062006794e+00 -4.424038543226247455e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -9.117785855063228495e-09 -4.069427917250186215e-07 -1.616878206879710275e-06 -4.100055955687314224e-06 -9.081661945473410244e-06 -1.851002361586475079e-05 -3.619407214441448562e-05 -6.921696870080446299e-05 -1.310016474993240976e-04 -2.438469500966291474e-04 -4.499244145253309822e-04 -8.329970222043135090e-04 -1.533168123098523680e-03 -2.803853119095516683e-03 -5.113355636195515523e-03 -9.379223099574195144e-03 -1.702078578989735594e-02 -3.079752748402704229e-02 -5.604537585480567213e-02 -1.018173946542169639e-01 -1.824592337732587888e-01 -3.246326110971810563e-01 -5.816962088159305377e-01 -1.011021881777213860e+00 -8.187903703418623058e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.134631349468791406e+00 2.740834292726778131e+03 2.178978650216558526e+04 -7.540432634121760458e+00 3.044937508794856058e+03 1.103505389278643179e+03 8.519047803547219928e+02 -7.307032477488068025e+02 3.194046945992014912e+02 2.949446443627626195e+03 2.063615831347856897e+02 -2.285571805951700242e+02 -2.868344412965987544e+01 1.333290152409943403e+03 -1.089741434411964065e+03 2.207709427130646873e+03 3.791703822320427207e+03 1.178535535875260848e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.347339279315875161e-04 9.673696864782005411e-03 3.412990834671773832e-02 7.546636763135715353e-02 1.435519974773906138e-01 2.489897021743986139e-01 4.118811797679074460e-01 6.606692109732954510e-01 1.038058177972141838e+00 1.599003202400853141e+00 2.428889648405889723e+00 3.670567003824290353e+00 5.493006515973730686e+00 8.141707005362937011e+00 1.200900851991807450e+01 1.767559613893698511e+01 2.572861757965142004e+01 3.729283463531030662e+01 5.413163049348421652e+01 7.829596456604524235e+01 1.116675546862643529e+02 1.581684589391697102e+02 2.246248429814439191e+02 3.112073980002057283e+02 2.152022895289827318e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.049567189895259656e+00 9.976562947233537670e+02 7.896762008060879452e+03 -3.122153739332302003e+00 1.103505389278643179e+03 4.534098373757117884e+02 3.040780560563100039e+02 -2.414808259117629916e+02 5.315646011689793937e+01 1.032005357403124890e+03 9.840238775876254351e+01 -9.438602957352782141e+01 -1.158949270316907487e+01 3.802193357620747634e+02 -3.966629447635597785e+02 8.036002806670003338e+02 1.380169970910994607e+03 4.206653173057808317e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.589329754342621464e-04 -6.226371053998817212e-03 -2.042829931628483905e-02 -4.153415489704128521e-02 -7.180074147225123937e-02 -1.121278538240405853e-01 -1.650526277169979406e-01 -2.318006067081241073e-01 -3.117747284224335891e-01 -4.004669644795599837e-01 -4.876996886173429191e-01 -5.517106963276465770e-01 -5.497707748364591973e-01 -4.091606320555862264e-01 -5.488929961633012833e-03 8.886439978017119934e-01 2.578660289531045091e+00 5.593624698977336607e+00 1.084238241965518412e+01 1.962633629455166329e+01 3.355675157046405843e+01 5.539243440876806091e+01 9.006409987825935559e+01 1.403102869982383822e+02 1.047538508012784746e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.117876421139904375e+00 6.702854612328241046e+02 6.096290393641138508e+03 -3.197917643313970881e+00 8.519047803547219928e+02 3.040780560563100039e+02 3.414786609278784226e+02 -3.175802355191747779e+02 -1.748425034783798537e+02 6.715509965223799327e+02 1.030814196411454446e+02 -7.901419339328958813e+01 -1.002160096428129776e+01 2.179078594657359247e+02 -2.665020070449610330e+02 5.399069675825286367e+02 9.272811392307193046e+02 4.724057734234461918e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.377894205608444283e-04 5.431004601951303599e-03 1.809135044242487361e-02 3.768606112499012228e-02 6.748776048841710617e-02 1.106215458570988380e-01 1.733381760089300339e-01 2.642472963251835671e-01 3.960736020421301018e-01 5.841857252951294655e-01 8.535292878732984034e-01 1.244601713980918012e+00 1.804120316157310944e+00 2.601721366000618652e+00 3.741537608552640393e+00 5.383827896573582628e+00 7.690042780889787544e+00 1.096258551714344520e+01 1.567644853010617112e+01 2.236248811482428422e+01 3.154899540873258701e+01 4.423993314658414988e+01 6.217076603770377119e+01 8.513125677748764986e+01 5.823699269730700223e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.296868101328017053e-01 -5.518178457797987448e+02 -5.228963720568162898e+03 3.014357692321290472e+00 -7.307032477488068025e+02 -2.414808259117629916e+02 -3.175802355191747779e+02 3.588670642204905334e+02 2.666735224232772907e+02 -5.435340878188549141e+02 -1.052313625566225710e+02 7.351222943332268756e+01 9.506885310517864340e+00 -1.665820239955621389e+02 2.193999003843252638e+02 -4.444827122237226149e+02 -7.633915850440878330e+02 -4.393443982027391144e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -2.131159731837304824e-04 -8.199650431224487709e-03 -2.668919716453416538e-02 -5.453979605441669487e-02 -9.581653803894236987e-02 -1.531754339324298553e-01 -2.329371068577766324e-01 -3.435488113303316049e-01 -5.163406879288172657e-01 -8.380873101825868643e-01 -1.222875004844131031e+00 -1.763104061653362198e+00 -2.508777689840488101e+00 -3.495695983635551674e+00 -4.793116268011861969e+00 -6.545514854816028461e+00 -8.763182648613405235e+00 -1.188567729005897000e+01 -1.673854474406612880e+01 -2.375655088190145747e+01 -2.908828666262456153e+01 -3.539981145282672514e+01 -5.591366585651934429e+01 -6.251157539347168779e+01 -3.810038191528433771e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
7.511747586460070236e-01 5.348105652161884791e+02 2.285682409902913150e+03 3.154172889752071995e+00 3.194046945992014912e+02 5.315646011689793937e+01 -1.748425034783798537e+02 2.666735224232772907e+02 9.757500384352059655e+02 8.006795814635307806e+02 -1.655769421338075347e+02 4.734813216929543245e+01 5.882991284976760937e+00 7.725629902525407715e+02 -2.126378942440720152e+02 4.307835499906117320e+02 7.398635042361961496e+02 -2.418792666533277895e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.503223609769892548e-04 6.446248378990388460e-03 2.322336099400337112e-02 5.085346272538127099e-02 9.362268275679967722e-02 1.541825770255115247e-01 2.408765765179815554e-01 3.651825554518283168e-01 5.656448706193002440e-01 9.379594124389959431e-01 1.379519395252505776e+00 2.001449774078696286e+00 2.861779518915979814e+00 4.008296344596810279e+00 5.528632417371314389e+00 7.556048785848925142e+00 1.006437180928610076e+01 1.330351339587085491e+01 1.762005308459968944e+01 2.269257367069891629e+01 2.457519787521907162e+01 2.285715340966409670e+01 2.146137876306820402e+01 -4.590059378969125525e+00 -2.054310232527709701e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.107288418430226962e+00 2.798690493058210450e+03 2.110644573840657904e+04 -5.147142716906762949e+00 2.949446443627626195e+03 1.032005357403124890e+03 6.715509965223799327e+02 -5.435340878188549141e+02 8.006795814635307806e+02 3.133621780747241246e+03 1.020590009085581613e+02 -1.846964205767926614e+02 -2.325749043521009796e+01 1.640862469782912740e+03 -1.112744758219648929e+03 2.254311908436653539e+03 3.871742800424200141e+03 9.290318962930576845e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.033930702023912638e-04 1.253924396047573567e-02 4.425079380419734421e-02 9.733608590990310006e-02 1.832852203566446569e-01 3.130111261843709358e-01 5.091161034903777249e-01 8.033789307877262642e-01 1.262842785120832367e+00 2.019088420876866241e+00 3.049297890111537956e+00 4.565015184991668029e+00 6.753883422919623847e+00 9.851810594177932145e+00 1.425297686198169167e+01 2.055804642027931450e+01 2.923264513475169224e+01 4.152185455214203103e+01 5.942309833206949321e+01 8.467963861172300710e+01 1.150530247973643725e+02 1.548865542288489223e+02 2.181512819583147120e+02 2.796510222842393887e+02 1.832580145649889971e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
