# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
3.264996703916070775e+00 -3.332194663556500558e+01 -2.612181153962073381e+02 1.486875981784950840e-01 -3.708367493780827573e+01 -1.851726076633635643e+01 -1.029317165459100458e+01 2.012434938629267922e+00 7.988076452336971833e+00 -2.678282035265078420e+01 -7.492978100977179423e+00 5.196693904151906018e+00 6.077670215169690415e-01 6.535353589876181424e+00 1.301892189117886822e+01 -2.699348979646520874e+01 -4.630507467222171414e+01 -1.430366860893781933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.848413365878280586e-20 -2.521984500790634304e-17 -3.433131478685594404e-16 -9.713165351955258874e-16 -9.086935143967181675e-16 -5.338014267108788513e-03 -1.267298072265205799e-01 -3.537273486392783495e-01 -4.797979815219179378e-01 -1.103167254366162475e-01 1.056285424647004145e+00 2.527898621720203298e+00 2.170905624181478366e+00 -2.461147749350987901e+00 -7.232206945323947700e+00 3.631318214480793172e-01 1.246508545733719053e+01 -2.838073371548984536e+00 -1.745472991523924833e+01 1.838559961929864883e+01 -9.317982302112548965e+00 -1.205544138502825646e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.332194663556500558e+01 2.317770627827938733e+04 1.782443328824665223e+05 -5.599597041191334768e+01 2.530435107876844268e+04 9.210348569876867259e+03 6.554859574059487386e+03 -5.123185122729006252e+03 4.405374131339898668e+03 2.520842706754407118e+04 1.422972644808940458e+03 -1.813210254834077432e+03 -2.329006618652686882e+02 1.202118144046463931e+04 -9.055555815924164563e+03 1.877582917861226088e+04 3.220836500593450182e+04 9.108809439085922349e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.277539118823303147e-04 1.305739702110562950e-01 6.190634324239175923e-01 1.510905047354800912e+00 3.027872328709548810e+00 5.535679068870456909e+00 9.498291677719748805e+00 1.566437372159474251e+01 2.525678098828068485e+01 3.979503368397613627e+01 6.150112436634212543e+01 9.383837425579237390e+01 1.418700268517573022e+02 2.107371412170153349e+02 3.101870980089423711e+02 4.560443438776322296e+02 6.651310872424013496e+02 9.496198145805419699e+02 1.340661490927348495e+03 1.893586743920124945e+03 2.578188980652679220e+03 1.751346740931670183e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.612181153962073381e+02 1.782443328824665223e+05 1.420036149563331157e+06 -5.181527107853236203e+02 2.015945903693171858e+05 7.290797233697189949e+04 5.904480435189603304e+04 -4.869523383383121109e+04 1.716429372266314022e+04 1.906810176820341439e+05 1.448904978589802340e+04 -1.547675810560384707e+04 -1.997309439530924010e+03 8.563928152224965743e+04 -6.964026059826169512e+04 1.443924220143036509e+05 2.476931265238192573e+05 8.205025067782652332e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.482766774251117591e-03 1.473721858167819532e+00 6.684512697326135289e+00 1.560803170141321594e+01 3.006147179300271688e+01 5.304627222032205225e+01 8.828232791187460293e+01 1.418163118913214475e+02 2.234938707333933223e+02 3.453379937671003859e+02 5.249910406902470186e+02 7.896398849987285757e+02 1.179237445475739605e+03 1.734006964401984987e+03 2.530558022116977554e+03 3.692955979498774923e+03 5.351568867720345224e+03 7.600916501586893901e+03 1.067960766532958405e+04 1.501235498239000299e+04 2.033222051112263944e+04 1.374571746502103815e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.486875981784950840e-01 -5.599597041191334768e+01 -5.181527107853236203e+02 3.543913207340026461e-01 -7.355924249649534374e+01 -3.026964664552061279e+01 -3.117464943819802770e+01 2.889989089212950546e+01 3.030251914522535372e+01 -4.995122504322182522e+01 -1.325480922576212350e+01 8.734125974946376658e+00 1.113027960889393597e+00 -3.925278183329414805e+00 2.187768838917059000e+01 -4.536129513945849112e+01 -7.781350890526084640e+01 -4.332113264281438347e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.796549914579972097e-08 -1.896516547971612395e-05 -9.624495750656562139e-05 -2.568939203059974878e-04 -5.729396276738996834e-04 -1.185075768036007900e-03 -2.326893453672605142e-03 -4.441257831383139086e-03 -8.407022345310356803e-03 -1.569926783441944612e-02 -2.898053915147540127e-02 -5.315292975397214320e-02 -9.773403725698472100e-02 -1.772851712340784147e-01 -3.201261414208889100e-01 -5.812039517821052659e-01 -1.051256395360079088e+00 -1.865387454389839439e+00 -3.274656163148373267e+00 -5.776167398248156282e+00 -9.746458848683939635e+00 -7.674131414985122746e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.708367493780827573e+01 2.530435107876844268e+04 2.015945903693171858e+05 -7.355924249649534374e+01 2.861925654404639499e+04 1.035033708293203199e+04 8.382260656122896762e+03 -6.912990011337392389e+03 2.436718785689334709e+03 2.706991766557126175e+04 2.056929365725620301e+03 -2.197148791954095032e+03 -2.835468508508204195e+02 1.215772984603910118e+04 -9.886438322599160529e+03 2.049858461515801537e+04 3.516360790830547194e+04 1.164821520929776671e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.105001063249740197e-04 2.092160501737992673e-01 9.489628834099358423e-01 2.215784970182117508e+00 4.267659026759788254e+00 7.530682597174394921e+00 1.253294836030536885e+01 2.013286866831501953e+01 3.172817490203066271e+01 4.902570361595967796e+01 7.453004194861998144e+01 1.121007582831918512e+02 1.674097450560990410e+02 2.461672710188786652e+02 3.592491698407359308e+02 5.242683069497257975e+02 7.597323026269610864e+02 1.079059606362827935e+03 1.516124172796009134e+03 2.131220077801771822e+03 2.886451634698752969e+03 1.951402633338176429e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.851726076633635643e+01 9.210348569876867259e+03 7.290797233697189949e+04 -3.026964664552061279e+01 1.035033708293203199e+04 4.224157497275244168e+03 2.968809319582788248e+03 -2.287729553398642565e+03 3.103473042831547559e+02 9.465628141511264403e+03 9.703339796235751464e+02 -9.052350808386191829e+02 -1.142879626120517003e+02 3.448797620065333376e+03 -3.598493507392435731e+03 7.461132234018520649e+03 1.279894848130343053e+04 4.125537404352719932e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.084654538649358000e-04 -1.026374524117870946e-01 -4.246851376007516055e-01 -8.849927408205288115e-01 -1.494270798872590067e+00 -2.257995281455763781e+00 -3.134484365171807063e+00 -4.037332290489668907e+00 -4.763105448110211526e+00 -4.899083920118845192e+00 -3.735390887076903699e+00 -4.246346655331181136e-02 8.427123714320103431e+00 2.468299362115411100e+01 5.389726981529675953e+01 1.050184965917812576e+02 1.904420348471159627e+02 3.242126920235053262e+02 5.308981779335789497e+02 8.543733352333335915e+02 1.300885334534180856e+03 9.497811606637534396e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.029317165459100458e+01 6.554859574059487386e+03 5.904480435189603304e+04 -3.117464943819802770e+01 8.382260656122896762e+03 2.968809319582788248e+03 3.367160462369849029e+03 -3.078018629184210113e+03 -1.683292150400027595e+03 6.571837404923060603e+03 1.023840448240135856e+03 -7.813692235870231571e+02 -1.020067535262900407e+02 2.206677310690655304e+03 -2.560990980978427615e+03 5.309969941575619487e+03 9.108809439085922349e+03 4.679096883162771519e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.238054558361756613e-04 1.192172776317187710e-01 5.122008716959133290e-01 1.126299589344407437e+00 2.043804581315312507e+00 3.401260714413524511e+00 5.356490900085526086e+00 8.171905129684288838e+00 1.227070513706596522e+01 1.814174766830137386e+01 2.651060493576972732e+01 3.845360643858059291e+01 5.558053665403970456e+01 7.946568763831825777e+01 1.131546791962425544e+02 1.615381506281861448e+02 2.295487491646923957e+02 3.207883156567752394e+02 4.438996802138604494e+02 6.143909047848571845e+02 8.176488918262928109e+02 5.438877401458422582e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.012434938629267922e+00 -5.123185122729006252e+03 -4.869523383383121109e+04 2.889989089212950546e+01 -6.912990011337392389e+03 -2.287729553398642565e+03 -3.078018629184210113e+03 3.382774955893588867e+03 2.635309258595973915e+03 -5.008257574954712254e+03 -1.036217105764921598e+03 7.084072693004198982e+02 9.425298664624159528e+01 -1.515455178340891962e+03 2.001634168505342359e+03 -4.150197071265518389e+03 -7.119316055034536475e+03 -4.277297602857998754e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.874451426274497323e-04 -1.745363091259582999e-01 -7.102328920220041253e-01 -1.475789428230071643e+00 -2.539449022893867092e+00 -4.132461668325659865e+00 -6.855815404821251846e+00 -1.040381482538982283e+01 -1.547388913835849067e+01 -2.257483972762635815e+01 -3.215176239925518331e+01 -4.489901065242044353e+01 -6.218803020571151308e+01 -8.418392667428031473e+01 -1.149650289308861488e+02 -1.624174908768836758e+02 -2.304435367332339126e+02 -2.828128576308952233e+02 -3.433668681039150101e+02 -5.312794056129996534e+02 -5.838290380022638146e+02 -3.463407933176632127e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
7.988076452336971833e+00 4.405374131339898668e+03 1.716429372266314022e+04 3.030251914522535372e+01 2.436718785689334709e+03 3.103473042831547559e+02 -1.683292150400027595e+03 2.635309258595973915e+03 9.020484765234465158e+03 6.824724830304229727e+03 -1.635981027773824735e+03 4.960060881917528377e+02 6.350522113428422699e+01 6.890115133472333582e+03 -1.721184609788677562e+03 3.568711725173165178e+03 6.121826564989605686e+03 -2.339148116762365589e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.412703160653637420e-05 8.719108993800224472e-02 4.142778508148788896e-01 9.849299534753701568e-01 1.896992172009846822e+00 3.516605875541851667e+00 6.757798300989943385e+00 1.071454627048917629e+01 1.639751544174857756e+01 2.437019115669748714e+01 3.509201130742416552e+01 4.933713731512485623e+01 6.827466772197001887e+01 9.145496045032454902e+01 1.210946960665979759e+02 1.604811294355981204e+02 2.053364077813345148e+02 2.143008537018440336e+02 1.840996699184684360e+02 1.556685269897068054e+02 -1.070509531160090972e+02 -2.269405837576396721e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.678282035265078420e+01 2.520842706754407118e+04 1.906810176820341439e+05 -4.995122504322182522e+01 2.706991766557125811e+04 9.465628141511264403e+03 6.571837404923060603e+03 -5.008257574954712254e+03 6.824724830304229727e+03 2.809068850753149673e+04 1.013698069455122095e+03 -1.731268267266347948e+03 -2.241206677671571867e+02 1.466841657353238952e+04 -9.848960703921091408e+03 2.042087835608077876e+04 3.503030931830465124e+04 9.132402290203181110e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.476562618793932405e-04 2.450734849885246869e-01 1.103052915186691241e+00 2.549551626325368581e+00 4.861749889114520329e+00 8.653303678343476690e+00 1.507019416769571052e+01 2.419420208610776868e+01 3.793819419126047876e+01 5.817175412993430683e+01 8.730576506000275572e+01 1.291256397534161806e+02 1.893632526316585256e+02 2.724463356375447916e+02 3.901205561897751863e+02 5.619473252950665483e+02 8.027913465252743208e+02 1.085622755731431198e+03 1.448559153347641086e+03 2.020190824445657199e+03 2.529622240339178916e+03 1.620238608609172843e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
