# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
1.692951449128314190e+00 -3.841547304272908914e+00 -2.547353278415463507e+01 1.236330542500276887e-02 -4.563063232823814985e+00 -2.032574948935276904e+00 -1.259488878887534469e+00 -1.300652701571259895e+00 1.560835368235936604e+00 -1.341824210190109667e+00 -2.097647058549681809e+00 1.116778047452211764e+00 1.686907039819153797e-01 4.275141244921757178e+00 1.071903246518922881e+00 -3.380295705312502452e+00 -5.755555166750417229e+00 -1.887015087978427985e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.556522054381061062e-19 1.081574144300436272e-17 -3.775331536057244204e-17 -2.548594574287985120e-16 -6.426603551484095947e-16 -5.665396481148865036e-16 -2.965703680457439182e-03 -6.941686465855774479e-02 -1.894483534586927087e-01 -2.526610195854488428e-01 -5.769246313902805234e-02 5.417080065103204722e-01 1.286224772617205803e+00 1.097399697981617628e+00 -1.233282159689093271e+00 -3.610418522324247093e+00 1.783561774506301489e-01 6.173212412220830281e+00 -1.394031120416379554e+00 -8.581515309488930043e+00 9.013234161082197105e+00 -4.538037604760002175e+00 -1.879544967687579282e+00 1.615750183392139272e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.841547304272908914e+00 1.241954467603312878e+04 7.883720541171479272e+04 -3.394187509480510556e+01 1.412207550640735462e+04 5.456454951220515795e+03 3.355825675472714465e+03 -2.013410131914462227e+03 2.049976440545896821e+03 1.242053333713942993e+04 1.095036829074464777e+03 -1.229372081225465990e+03 -2.260712088675091138e+02 6.156183281298479415e+03 -3.465413596161975420e+03 1.092833959994082761e+04 1.860744352915353738e+04 5.027828183632478613e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.438480127114342237e-04 4.589801173716982069e-02 2.073451617373970046e-01 4.975973886345192443e-01 9.886278714742563478e-01 1.792485699506805252e+00 3.084827126435090605e+00 5.082936611223354717e+00 8.146345810029776757e+00 1.286159988872300453e+01 1.993532052872670590e+01 3.044157665801366619e+01 4.593558982448497829e+01 6.880463917493750614e+01 1.014400064799574892e+02 1.483158496165301017e+02 2.170055230955584591e+02 3.149788539799865816e+02 4.476458467162539137e+02 6.291333533175458115e+02 8.862150354162786243e+02 1.200991509171250527e+03 1.545485154707200081e+03 2.008944791707030788e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.547353278415463507e+01 7.883720541171479272e+04 5.197986444088507560e+05 -2.627639431910621965e+02 9.311131294082115346e+04 3.577172405401829747e+04 2.524181853369217788e+04 -1.611270942860807554e+04 5.133585249726009351e+03 7.691127413263621565e+04 9.697375479060223370e+03 -8.763644169109431459e+03 -1.614227345295630130e+03 3.505358756080247986e+04 -2.199786953900098524e+04 6.937128343457911978e+04 1.181169588709363161e+05 3.781827153818319493e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.343913497689758790e-03 4.351698416563233307e-01 1.876972386233519252e+00 4.304735324362161997e+00 8.214315280632353833e+00 1.437364679309455795e+01 2.397222825710290905e+01 3.845523608079879097e+01 6.022593200515446910e+01 9.318840034710923703e+01 1.419859474266472432e+02 2.136676947058536200e+02 3.184314919318495640e+02 4.719180196182988993e+02 6.896810368512726654e+02 1.001033786533762850e+03 1.455051910992644025e+03 2.100287409963171285e+03 2.971883787469116669e+03 4.160103805520859169e+03 5.834237270717720094e+03 7.870363003400795606e+03 1.005858193079397643e+04 1.301899937222535300e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.236330542500276887e-02 -3.394187509480510556e+01 -2.627639431910621965e+02 2.555024684141504188e-01 -4.706879482506504786e+01 -2.054922761159268418e+01 -1.880115181712347905e+01 1.373396588413183395e+01 2.100558541533107615e+01 -2.534180139768143292e+01 -1.331935935432334084e+01 7.097872031642919133e+00 1.274612942658047698e+00 2.124523208957106224e+00 9.470768735970965579e+00 -2.986650053367984370e+01 -5.085303371217442958e+01 -2.816861486035644546e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.134985132701851846e-08 -5.487291338329038934e-06 -2.655665238306325891e-05 -6.984986205859607187e-05 -1.543675255630551607e-04 -3.161700963711504839e-04 -6.241375622766442760e-04 -1.192040449679414044e-03 -2.236245125957220768e-03 -4.185520281475770508e-03 -7.756901960645214492e-03 -1.424774914967414513e-02 -2.603628176415995546e-02 -4.775120313107377584e-02 -8.646535615011244347e-02 -1.559241471078122998e-01 -2.828111565865908950e-01 -5.111200213457782748e-01 -9.062606633672369849e-01 -1.589695874964983435e+00 -2.801926233757292106e+00 -4.722276007573797507e+00 -7.420663488805038455e+00 -1.049359446066935320e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.563063232823814985e+00 1.412207550640735462e+04 9.311131294082115346e+04 -4.706879482506504786e+01 1.667899039525834814e+04 6.407773911404382488e+03 4.521556356421335295e+03 -2.886262875190562227e+03 9.195769705002390992e+02 1.377708424496852422e+04 1.737086798220298533e+03 -1.569827900686338580e+03 -2.891558666459906703e+02 6.279134422876883036e+03 -3.940469134941056382e+03 1.242644887681341606e+04 2.115824125235557585e+04 6.774371103020844203e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.781234010935814474e-04 7.795179103429687728e-02 3.362212755183808244e-01 7.711054313539638105e-01 1.471426847523546577e+00 2.574745315418660141e+00 4.294135183200369354e+00 6.888470294116538106e+00 1.078824591484269568e+01 1.669279902998237830e+01 2.543388315118975385e+01 3.827420444646663356e+01 5.704049945955221546e+01 8.453447672427948589e+01 1.235422745756499410e+02 1.793147619080119455e+02 2.606428379274724421e+02 3.762236019625480026e+02 5.323522951343776413e+02 7.451976481059834896e+02 1.045084472858910203e+03 1.409814820507898048e+03 1.801789558270535963e+03 2.332087891653209226e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.032574948935276904e+00 5.456454951220515795e+03 3.577172405401829747e+04 -2.054922761159268418e+01 6.407773911404382488e+03 2.759032738229454935e+03 1.705418093199557688e+03 -1.015771346855404659e+03 9.969278669120527070e+00 5.069615632628459025e+03 8.770848641275532600e+02 -6.889936317422240108e+02 -1.237808615441628035e+02 1.814342958225132179e+03 -1.522509372770701475e+03 4.801302646286909294e+03 8.175072438052972757e+03 2.555123532350247388e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.428710950017564706e-04 -4.226510168270624507e-02 -1.674633730362811990e-01 -3.464354302416319809e-01 -5.887621925368817788e-01 -9.024575007907827962e-01 -1.288550397791529356e+00 -1.723907608554917426e+00 -2.164577486894662783e+00 -2.507419556082543188e+00 -2.543001515310467475e+00 -1.920766439080738630e+00 -2.362552586684158254e-02 4.252121871969227307e+00 1.238344879314287184e+01 2.689705415992918347e+01 5.220660575716625829e+01 9.429785583801512416e+01 1.599387872433090934e+02 2.609339614226878439e+02 4.189417876490191475e+02 6.353515990801530506e+02 8.998184941516772142e+02 1.217049282238557453e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.259488878887534469e+00 3.355825675472714465e+03 2.524181853369217788e+04 -1.880115181712347905e+01 4.521556356421335295e+03 1.705418093199557688e+03 1.708718568218299197e+03 -1.222289876616889615e+03 -1.050027075470452473e+03 2.962766332238631549e+03 8.549231892422707233e+02 -5.275616939505787286e+02 -9.755701599989382089e+01 8.441228868716730176e+02 -9.363728079801925333e+02 2.952894294952558084e+03 5.027828183632478613e+03 2.560068432033174304e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.306572447573951581e-04 4.167772472407675621e-02 1.701799286512092890e-01 3.677511723996567672e-01 6.617744612380624947e-01 1.094061068392482738e+00 1.727231897384739367e+00 2.633411285748301633e+00 3.934380681436285609e+00 5.825430484493081984e+00 8.529613673390324280e+00 1.238419487144058273e+01 1.787567549126997335e+01 2.574817066134753318e+01 3.672401089151141207e+01 5.219779327143088210e+01 7.441969472483032177e+01 1.056391008256748734e+02 1.474810186439216579e+02 2.038822625747081929e+02 2.819418565574578110e+02 3.747268225480274282e+02 4.681020021572338692e+02 5.970875023705078632e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.300652701571259895e+00 -2.013410131914462227e+03 -1.611270942860807554e+04 1.373396588413183395e+01 -2.886262875190562227e+03 -1.015771346855404659e+03 -1.222289876616889615e+03 1.082043023362204167e+03 1.240697419788436719e+03 -1.690050374718248804e+03 -6.942620601650656909e+02 3.760338812101856547e+02 7.086875109973375686e+01 -3.549384262424587178e+02 5.617998910419992171e+02 -1.771661542309524748e+03 -3.016569150310449913e+03 -1.831282100002821608e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -5.291171766805614126e-04 -4.953712228506220588e-02 -1.928370043561062896e-01 -3.968072255018380012e-01 -6.809991616483020982e-01 -1.075792022203024612e+00 -1.678244990372990797e+00 -2.746338034003048101e+00 -4.092456981766897428e+00 -6.004118115744400797e+00 -8.663535922797892752e+00 -1.222889512517948596e+01 -1.692668014372343066e+01 -2.326599056247918185e+01 -3.128148363478765859e+01 -4.248537612561547405e+01 -5.984093931122603038e+01 -8.468723800781295097e+01 -1.031925504159836038e+02 -1.244132713894647111e+02 -1.930615599928505333e+02 -2.103777200754466321e+02 -2.415771828089550581e+02 -3.486109805436243647e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.560835368235936604e+00 2.049976440545896821e+03 5.133585249726009351e+03 2.100558541533107615e+01 9.195769705002390992e+02 9.969278669120527070e+00 -1.050027075470452473e+03 1.240697419788436719e+03 4.977411837123818259e+03 3.455138660091208749e+03 -1.571617220461408351e+03 4.261138895987915589e+02 7.482872973987495868e+01 4.075238397027630981e+03 -5.720029529414717899e+02 1.803837362684947038e+03 3.071354212136594015e+03 -1.573191290064213263e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.446045032877489696e-04 3.626723989979719481e-02 1.624904030686853962e-01 3.723763524881888443e-01 6.960378701605077767e-01 1.183532377218880383e+00 2.008556021118713453e+00 3.595182355687564613e+00 5.505344080623870262e+00 8.226532094737754264e+00 1.201582239261274765e+01 1.711098930764183379e+01 2.383741090157004905e+01 3.276079895384855689e+01 4.370138952169823199e+01 5.766665678926677430e+01 7.630203483763524730e+01 9.759847916791076727e+01 1.030298181077179152e+02 9.116801241470817274e+01 8.107894099254843923e+01 -3.407986755726493300e+01 -2.077099643715050661e+02 -3.273682059264137933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.341824210190109667e+00 1.242053333713942993e+04 7.691127413263621565e+04 -2.534180139768143292e+01 1.377708424496852422e+04 5.069615632628459025e+03 2.962766332238632003e+03 -1.690050374718248804e+03 3.455138660091208749e+03 1.295223114019943569e+04 5.111045943836704737e+02 -1.013803496514422136e+03 -1.895053446565833610e+02 7.354367940441209612e+03 -3.465689461318802387e+03 1.092920955327653792e+04 1.860892477956849689e+04 4.438931430682397149e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.038700755460816290e-04 9.024476965476868617e-02 3.856691335376322693e-01 8.707383337167952098e-01 1.632630080279666940e+00 2.808727241014101761e+00 4.699462751738251676e+00 7.883518847774588778e+00 1.228460382343612167e+01 1.883114904110831134e+01 2.835167545840888437e+01 4.194180198668070148e+01 6.117605122679331942e+01 8.861791763197901162e+01 1.261080210972559854e+02 1.788064232413084369e+02 2.556930143942983875e+02 3.625881543877839590e+02 4.843718470331805861e+02 6.378111417502432232e+02 8.853085537507048457e+02 1.087318365720197789e+03 1.291305825298820992e+03 1.671579996638807870e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
