# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
1.086065208871018406e+01 -8.887395975471922327e+01 -7.291463473917966667e+02 3.516037862278863502e-01 -9.551941851061863531e+01 -4.736537610154357480e+01 -2.508795219044099056e+01 2.168376930929450386e-01 1.724493272291310220e+01 -7.265653288290157263e+01 -1.679867280960936426e+01 1.228903013950963974e+01 1.237320437766981973e+00 1.924748083500710649e+01 3.772781308905709352e+01 -6.996614842644731880e+01 -1.208094730033006954e+02 -3.410292836308824604e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.048438778355580202e-21 1.640018583638015435e-19 4.523520065927605037e-19 -2.310186688132116488e-18 2.924717446531281187e-18 -1.395432920647446526e-17 -7.306091362045340375e-17 7.397013001732052408e-17 6.685031810082515642e-17 -4.873594845303420598e-17 -5.322459545880142954e-16 -3.792763620952048383e-16 -7.172287390343188329e-16 7.156338882854463651e-16 -3.916219254777946402e-15 -1.220952764401939250e-15 -1.006440488675085974e-15 -4.533916365984290925e-15 -9.634262001420096476e-15 -7.591365712088117299e-15 -3.028053401236172407e-02 -6.786167118755078720e-01 -1.723908829222783101e+00 -2.161738670859669753e+00 -4.850806378520003403e-01 4.172812256713751111e+00 9.591122418188000154e+00 7.971356851090775741e+00 -8.650315836116256207e+00 -2.498336388736773017e+01 1.127475761180680491e+00 4.137083440924594413e+01 -9.187172501659215840e+00 -5.672386169024352398e+01 5.931984177469116304e+01 -3.020961767020709487e+01 -2.855801938258419881e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.887395975471922327e+01 7.728447367108265462e+04 6.135887483325063949e+05 -1.454487825929265057e+02 8.038117540467664367e+04 2.751235493046729243e+04 1.840964865876772092e+04 -1.843434441030331072e+04 1.962068088154101497e+04 8.691429485077883874e+04 3.025639841109736608e+03 -4.862485670816371567e+03 -5.469597586063074459e+02 4.430506934075283789e+04 -3.280796968421260681e+04 6.084230938797230920e+04 1.050554803826570715e+05 2.502487746444257209e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058940396776679297e-05 3.172824639218078729e-04 2.111045894825800025e-03 7.518924872820415516e-03 1.990071292436773956e-02 4.476451123449110003e-02 8.912724254606006757e-02 1.631273323958010169e-01 2.818288603506788337e-01 4.703983557796088122e-01 7.547100221616253046e-01 1.183573003249585254e+00 1.829930555239932977e+00 2.791869080111188950e+00 4.196462608310636000e+00 6.256477226489678856e+00 9.312049836525345015e+00 1.371375106209003469e+01 2.011319700395141297e+01 2.939686234868056403e+01 4.294170918562988248e+01 6.234499675029567101e+01 9.025250227636256284e+01 1.308981655011483269e+02 1.894184933293629740e+02 2.731890725463374565e+02 3.927581643919749581e+02 5.651566521086697321e+02 8.061895012915734924e+02 1.147264477509348353e+03 1.639428661195497398e+03 2.334685343667631969e+03 3.274109838338243662e+03 4.560460926428845596e+03 6.379207646544748059e+03 8.667137183770630145e+03 2.878715043462218546e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.291463473917966667e+02 6.135887483325063949e+05 5.052268794175093994e+06 -1.432187684340749229e+03 6.618558525393478340e+05 2.263106368994631630e+05 1.762394297510230681e+05 -1.780280727338491706e+05 1.035885567562862707e+05 6.805039723539303523e+05 3.333411595811184088e+04 -4.290992902676011727e+04 -4.845024286539796776e+03 3.307058364099139581e+05 -2.604740654577175155e+05 4.830485955291369464e+05 8.340725847187066684e+05 2.395684032689085871e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.247634446076449557e-04 3.548754426753655301e-03 2.243853507910886780e-02 7.668799588779016962e-02 1.963738879060002440e-01 4.297350132616317708e-01 8.366894732943351842e-01 1.503346050331063388e+00 2.557383807181353053e+00 4.211035083923150069e+00 6.681555749399959332e+00 1.037609232554335392e+01 1.590354825191555932e+01 2.407915076091339301e+01 3.596317244849618788e+01 5.330902575916503849e+01 7.894110953805436282e+01 1.157682748876927690e+02 1.691190907373090795e+02 2.463685241158543704e+02 3.588257235390081519e+02 5.196507953486263887e+02 7.506691738649479930e+02 1.086810759162787008e+03 1.570059532937464610e+03 2.261171164812785264e+03 3.247423815742792158e+03 4.668345108234628242e+03 6.655187510829429812e+03 9.466375602187394179e+03 1.352017366501904144e+04 1.924555086106287490e+04 2.698720318427711027e+04 3.757848785931243765e+04 5.251692424034892611e+04 7.122487680880348489e+04 2.361786304933362044e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.516037862278863502e-01 -1.454487825929265057e+02 -1.432187684340749229e+03 8.518014874612452880e-01 -1.876190360078553567e+02 -7.497841822764590347e+01 -8.080685685473478941e+01 8.376899799021670390e+01 7.204449406033691616e+01 -1.360905455464449005e+02 -2.748809321973218900e+01 1.943003729130182933e+01 2.163694778629822402e+00 -1.897500295890216648e+01 6.174434557480651620e+01 -1.145047563924075718e+02 -1.977136027529148805e+02 -1.098435786884727889e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.187795162169164593e-11 -9.694989838263222582e-10 -6.790348959095025684e-09 -2.638045123064533129e-08 -7.829170978225509718e-08 -2.024679542564360240e-07 -4.723265235009086382e-07 -1.024970999675744538e-06 -2.120971742865282152e-06 -4.293181089236567984e-06 -8.397624221352090795e-06 -1.610410448469042785e-05 -3.063334715120106518e-05 -5.778159193666334241e-05 -1.075819757052954336e-04 -1.988054563978962873e-04 -3.696415467539844609e-04 -6.803156339669834234e-04 -1.245904741813493380e-03 -2.282160661009569654e-03 -4.196075343440604580e-03 -7.657549874772434650e-03 -1.393983139485599661e-02 -2.556346044579023077e-02 -4.674011257428538346e-02 -8.508536167514940685e-02 -1.545914828631690108e-01 -2.825822448589695446e-01 -5.110249750078958986e-01 -9.215497830930706735e-01 -1.672344179655258278e+00 -3.027550444345419756e+00 -5.391717219598962885e+00 -9.516493685007919368e+00 -1.689746610883113931e+01 -2.887674015607948519e+01 -1.081051221458137768e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.551941851061863531e+01 8.038117540467664367e+04 6.618558525393478340e+05 -1.876190360078553567e+02 8.670424860324754263e+04 2.964708047531209377e+04 2.308766670597482516e+04 -2.332198199570203360e+04 1.357027809452618021e+04 8.914718419138694298e+04 4.366826199258830457e+03 -5.621274088020146337e+03 -6.347064676049600394e+02 4.332303015017219150e+04 -3.412254804349844198e+04 6.328019213476385630e+04 1.092649350476275577e+05 3.138387054343622731e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.634422461681812083e-05 4.648928990634431128e-04 2.939486470244792593e-03 1.004625861481595571e-02 2.572531515867478372e-02 5.629602167964703474e-02 1.096077519264958972e-01 1.969409036492059395e-01 3.350216524353983871e-01 5.516527977997499610e-01 8.752952301165773941e-01 1.359285840069949014e+00 2.083392019602716250e+00 3.154409930378598848e+00 4.711237095770031580e+00 6.983573544731607186e+00 1.034142035632561907e+01 1.516584199976515634e+01 2.215489011781621542e+01 3.227469800410396061e+01 4.700678345533964375e+01 6.807514290901286813e+01 9.833894558741769742e+01 1.423740681382467130e+02 2.056804839655256387e+02 2.962172896956697628e+02 4.254180736787103569e+02 6.115611930863237831e+02 8.718409457682896573e+02 1.240111393492553816e+03 1.771165872619067841e+03 2.521200076968173562e+03 3.535369771255149317e+03 4.922846177135291327e+03 6.879806891097065090e+03 9.330580672321004386e+03 3.093980451257153163e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.736537610154357480e+01 2.751235493046729243e+04 2.263106368994631630e+05 -7.497841822764590347e+01 2.964708047531209377e+04 1.186287908129216703e+04 7.864835326344514215e+03 -7.139761180465106918e+03 2.782620904924969182e+03 2.929761965086030978e+04 2.098592076114108295e+03 -2.226809787380421312e+03 -2.450084018380009923e+02 1.171110699225077406e+04 -1.167924763700371841e+04 2.165913968432085312e+04 3.739850355945259798e+04 1.069094494783068512e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.096255028128199104e-05 -5.783345889865359850e-04 -3.519612155571912645e-03 -1.154569818767162311e-02 -2.831985569493596089e-02 -5.917398802174985567e-02 -1.097400760304222678e-01 -1.874252792147122759e-01 -3.022599428113119102e-01 -4.697824877622236439e-01 -7.017259863200812076e-01 -1.022234320336973257e+00 -1.462213057999677046e+00 -2.054970088740544210e+00 -2.834217615771817744e+00 -3.854438370852230733e+00 -5.183103707468734278e+00 -6.841812476055226355e+00 -8.891312647980324613e+00 -1.133794139017870428e+01 -1.413514533137194640e+01 -1.707092695806411342e+01 -1.976989005963075030e+01 -2.142794892567481924e+01 -2.062141425356456992e+01 -1.493158873810974541e+01 -2.498872118001019826e-01 3.067545200723887788e+01 8.727674660528819572e+01 1.858910244578981121e+02 3.546154092923931671e+02 6.317647439793277044e+02 1.062032377848354827e+03 1.723640247876170179e+03 2.757904478191397175e+03 4.205435182124035236e+03 1.479312613663897992e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.508795219044099056e+01 1.840964865876772092e+04 1.762394297510230681e+05 -8.080685685473478941e+01 2.308766670597482516e+04 7.864835326344514215e+03 9.390135676483381758e+03 -9.661009117359430093e+03 -4.009692786081822760e+03 1.911627021222049734e+04 2.270245213021696145e+03 -1.874579279247024260e+03 -2.139038549939837992e+02 7.051579086042112976e+03 -7.815065127626632602e+03 1.449302151150852660e+04 2.502487746444257209e+04 1.276433890912812421e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.293000082357418985e-06 2.469180502427694140e-04 1.447667458266055449e-03 4.618477099582705969e-03 1.112576167099420081e-02 2.303168479436460900e-02 4.270794201555087877e-02 7.350406417128903247e-02 1.203528545145691742e-01 1.913167801925066136e-01 2.945278868635971548e-01 4.448796628360740524e-01 6.647029792893064393e-01 9.834333635475130952e-01 1.439890999686076700e+00 2.095438324833930555e+00 3.051719276693997784e+00 4.413131935460963717e+00 6.360712393286932276e+00 9.161686969371217515e+00 1.320677959876827323e+01 1.895615248094433980e+01 2.717643312065372996e+01 3.909500335612698763e+01 5.613565328257949716e+01 8.042106901570276989e+01 1.150515719432708011e+02 1.648017421470452177e+02 2.343967103734232467e+02 3.328267132977791221e+02 4.744118253659564743e+02 6.742179033941378066e+02 9.451216579788169838e+02 1.314515880643064520e+03 1.830742765262318017e+03 2.466137702108182566e+03 8.126392900264394257e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.168376930929450386e-01 -1.843434441030331072e+04 -1.780280727338491706e+05 8.376899799021670390e+01 -2.332198199570203360e+04 -7.139761180465106918e+03 -9.661009117359430093e+03 1.224707150284924501e+04 6.253721310145646385e+03 -1.927120573234883341e+04 -2.505529948549727123e+03 1.969918923236290766e+03 2.296929345945001728e+02 -7.614832399453351172e+03 7.825548701224568504e+03 -1.451246327625278354e+04 -2.505844726077739324e+04 -1.313254662411168283e+04 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.594563546876670603e-05 -4.359647490442839033e-04 -2.688786072622509869e-03 -9.095555900176431618e-03 -2.325163977195922674e-02 -5.098036942267515637e-02 -9.936833562719427082e-02 -1.785311340096309429e-01 -3.027364830853264133e-01 -4.951960045425377044e-01 -7.755490099132404946e-01 -1.184305871442226987e+00 -1.773402958263387896e+00 -2.597012745233419295e+00 -3.722089696040538076e+00 -5.239684417926617321e+00 -7.275704908075290689e+00 -9.872605681608218831e+00 -1.325819406647699061e+01 -1.773394284644862751e+01 -2.493984377730173563e+01 -3.938801315193937569e+01 -5.465860382873267298e+01 -7.535006104560231677e+01 -1.032433969203007393e+02 -1.392431341551976516e+02 -1.851350156745671711e+02 -2.460953235639223351e+02 -3.216381158494651231e+02 -4.276098387777705625e+02 -5.936538303211411858e+02 -8.317621941436748330e+02 -9.970806837293754370e+02 -1.187940687068880834e+03 -1.862330063596703894e+03 -2.026383927998716217e+03 -5.459123013126229580e+02 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.724493272291310220e+01 1.962068088154101497e+04 1.035885567562862707e+05 7.204449406033691616e+01 1.357027809452618021e+04 2.782620904924969182e+03 -4.009692786081822760e+03 6.253721310145646385e+03 2.723320897211728879e+04 2.727268820558884181e+04 -3.556575926124608941e+03 7.955011247602637923e+02 8.822230133249237838e+01 2.330566266087238910e+04 -8.329159441323394276e+03 1.544640831324003375e+04 2.667107580000720554e+04 -5.450515243481757352e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.715732272857718128e-05 5.011328421419770831e-04 3.198097924302644845e-03 1.084964201159377417e-02 2.734478747087354042e-02 5.854891813306774967e-02 1.110605945010147561e-01 1.941697640758565657e-01 3.209607942086563637e-01 5.127786621384535781e-01 7.880441505234943023e-01 1.184729237559160264e+00 1.753555950457468260e+00 2.552286152097006156e+00 3.656037538105748386e+00 5.174159069710109193e+00 7.274326930226821197e+00 1.007656187789428870e+01 1.388975751303873984e+01 1.913549645143852729e+01 2.714369750098034473e+01 4.095987069944507653e+01 5.734360314697971006e+01 7.996272381649180261e+01 1.108242795304337420e+02 1.517022388020546089e+02 2.050398101441543020e+02 2.753994357924000269e+02 3.618491021076843026e+02 4.722311988000890324e+02 6.183575887640974997e+02 7.885336180562675281e+02 8.613753169988501668e+02 8.279192241164156485e+02 8.133296472942893161e+02 8.918253877417284059e+01 -1.880870185056040782e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.265653288290157263e+01 8.691429485077883874e+04 6.805039723539303523e+05 -1.360905455464449005e+02 8.914718419138694298e+04 2.929761965086030978e+04 1.911627021222049734e+04 -1.927120573234883341e+04 2.727268820558884181e+04 9.944963957624002069e+04 2.239341870268030107e+03 -4.910253458716189016e+03 -5.564961956682267328e+02 5.396478569048649661e+04 -3.689591731872013770e+04 6.842339950523800508e+04 1.181456321554135211e+05 2.598541278571107250e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.439718736742412758e-05 7.066131728631518854e-04 4.545960202767894420e-03 1.573357193435847429e-02 4.065860730240154070e-02 8.953348030455608730e-02 1.748261824576759216e-01 3.143861210393788519e-01 5.340717028582131487e-01 8.765735692570928439e-01 1.382316895945194801e+00 2.130551528412924611e+00 3.233175085063441312e+00 4.828990257656966989e+00 7.096518153775300597e+00 1.031790819426825756e+01 1.493228058835303074e+01 2.132965234859957704e+01 3.033975260896101744e+01 4.308823517426866800e+01 6.214815211730196864e+01 9.234042919166220997e+01 1.317464291252207431e+02 1.878904475747494871e+02 2.671131297888111931e+02 3.772855765369082519e+02 5.298405102274102774e+02 7.445326905669787720e+02 1.035015128122178794e+03 1.440254192847601416e+03 2.024883681013637670e+03 2.835953566607581706e+03 3.791523954802190474e+03 5.024049941520896027e+03 6.960843125488707301e+03 8.774927059957628444e+03 2.759770045520504482e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
