# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
5.041282150888900304e+00 5.003119152805915348e+00 2.257902767811186351e+01 -7.698710023566915882e-03 5.443474650609538834e+00 4.968111628861719004e-02 6.113433737139393198e-01 -4.779844534889654106e+00 6.016012513849003263e+00 1.113163196651531095e+01 -6.682596909192072054e+00 1.865314604672141385e+00 2.939808041332702127e-01 1.957151043966961623e+01 -5.681754758403655403e-01 4.864789152293177210e+00 8.500393386857968636e+00 1.038683871461054897e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.905845530147939892e-02 -4.191897709501700153e-01 -8.471184306174782686e-01 -2.102603694339644225e-01 2.296322412424441239e+00 5.548403175136901844e+00 4.699333681973932642e+00 -4.981195804186267395e+00 -1.406262565633723050e+01 5.436016088149489001e-01 2.168507236630876278e+01 -3.628898969707843758e+00 -2.377440213143571413e+01 2.127739440818177385e+01 -7.356154611120846454e+00 -3.647622191186876695e+00 5.282978165391346792e+00 -1.162552652239949857e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.003119152805915348e+00 2.994988336169370814e+04 1.490190650355016114e+05 -7.600532599171094716e+01 3.592632572768614773e+04 1.316894951858031345e+04 7.094945791377553178e+03 -3.863139284689846136e+03 6.256223697152749992e+03 2.534283136276912774e+04 1.034791735205986924e+03 -2.369282522293918191e+03 -7.094542035568014171e+02 1.786637668233725708e+04 -3.401236051084280462e+03 2.912180646521275048e+04 5.088541421647489915e+04 1.205444612513727589e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.279407537818657792e+00 2.246718787841368226e+01 5.192248873316133739e+01 8.860116401525884555e+01 1.387913539673031380e+02 2.073470472861133089e+02 2.986825199813404765e+02 4.132562266577863284e+02 5.638194780619959374e+02 7.782890581264038019e+02 1.051209374827073134e+03 1.318396131027785941e+03 1.602293809909147058e+03 1.974161370555019403e+03 2.174340872704871344e+03 2.279219343331766595e+03 1.991316811627414609e+03 2.849267875848963527e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.257902767811186351e+01 1.490190650355016114e+05 7.701387273351518670e+05 -4.693149089396279692e+02 1.856692280759966816e+05 6.822317752261541318e+04 4.241188200807195244e+04 -2.347128837624268272e+04 1.923236693510989790e+04 1.223571298330387654e+05 1.232439693055210955e+04 -1.355050695836561863e+04 -3.996511110289522094e+03 8.095669895333040040e+04 -1.692323840385593940e+04 1.448988738681155664e+05 2.531861897058982868e+05 7.205858392227654986e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.280367848495608030e+00 9.676414308893130567e+01 2.349911224618459187e+02 4.160528236946036600e+02 6.695418736863256299e+02 1.020521397062134270e+03 1.494781286356144165e+03 2.097006638159472004e+03 2.893034791944850895e+03 4.026350681106268894e+03 5.472781379905509311e+03 6.906974222847943565e+03 8.429219240836686367e+03 1.037363118805521117e+04 1.136405822919619459e+04 1.174826531168840302e+04 1.004601748616403711e+04 1.422767772398518389e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.698710023566915882e-03 -7.600532599171094716e+01 -4.693149089396279692e+02 6.201691946841211278e-01 -1.131449877464175700e+02 -4.990786823477559864e+01 -4.060258447514741675e+01 2.375984676896003123e+01 4.026771698372070318e+01 -4.115955175258748255e+01 -4.047328318743166875e+01 1.590191729175062640e+01 4.226833837682535844e+00 5.827545770366464595e+00 8.631487866428908973e+00 -7.390387358526389505e+01 -1.291344760525204549e+02 -6.898455343969159514e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.228906804638249056e-05 -7.191215759390629089e-04 -3.931127154438206553e-03 -1.205935193194552189e-02 -2.980730100076652359e-02 -6.550843246703962064e-02 -1.350106403426572510e-01 -2.597408622516988452e-01 -4.822822722380136762e-01 -8.912616331459504160e-01 -1.590871274789865231e+00 -2.622220645885570356e+00 -4.143551391554209928e+00 -6.486549799912306291e+00 -8.819321149780696700e+00 -1.093166922580204670e+01 -1.056071095789278580e+01 -1.544475120927036316e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.443474650609538834e+00 3.592632572768614773e+04 1.856692280759966816e+05 -1.131449877464175700e+02 4.476214613128310884e+04 1.644761425171551309e+04 1.022488691217586529e+04 -5.658585706818515064e+03 4.636643498337147321e+03 2.949852155118064547e+04 2.971232562886008509e+03 -3.266829829092962427e+03 -9.635006090554396678e+02 1.951748077162256959e+04 -4.079946247947342272e+03 3.493300765858819068e+04 6.103950201914659556e+04 1.737227486194985249e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.273019765906196366e+00 2.332842527595498794e+01 5.665293636534082822e+01 1.003042748953964178e+02 1.614167921175029790e+02 2.460328422688265277e+02 3.603699927421151870e+02 5.055577520748045117e+02 6.974685437207526775e+02 9.706944948879763615e+02 1.319407865322868702e+03 1.665170866987059298e+03 2.032161965344724877e+03 2.500931360374380802e+03 2.739708891833605321e+03 2.832335622441608393e+03 2.421948469398705583e+03 3.430085835920925774e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.968111628861719004e-02 1.316894951858031345e+04 6.822317752261541318e+04 -4.990786823477559864e+01 1.644761425171551309e+04 7.046014910877987859e+03 3.788965719239808550e+03 -1.888292192334731908e+03 6.357868599163480212e+02 9.967554093345504953e+03 2.100104636142134041e+03 -1.501032065116309468e+03 -4.157251580176319408e+02 5.173691257135021260e+03 -1.495521879554036332e+03 1.280484449968705303e+04 2.237429251246711283e+04 6.437523904421578663e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.872178828101615844e-01 -4.567665062384127062e+00 -8.444177396852264650e+00 -9.975948189340405392e+00 -8.061798100987422444e+00 -9.407574917300108586e-02 1.807205315828769088e+01 5.053302468902468547e+01 1.044428173968943270e+02 1.942167173125495481e+02 3.301025310009085842e+02 4.989683818208904427e+02 7.102614154925950061e+02 1.000562217021699553e+03 1.230829487730429264e+03 1.413768862988795263e+03 1.320236059917692273e+03 1.928666591121750784e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.113433737139393198e-01 7.094945791377553178e+03 4.241188200807195244e+04 -4.060258447514741675e+01 1.022488691217586529e+04 3.788965719239808550e+03 3.443621777182399001e+03 -1.968835271389036507e+03 -1.467440778962317609e+03 5.076522206420838302e+03 2.024248750879105955e+03 -9.981012695523629645e+02 -2.837379809123183350e+02 2.263942887480895024e+03 -8.057321998451130867e+02 6.898779394978862911e+03 1.205444612513727589e+04 5.850778062158379726e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.395587653829117147e-02 1.597359790966093263e+00 6.509522982545647984e+00 1.484213506052876141e+01 2.766463174429231486e+01 4.635290014781501355e+01 7.290130067886701681e+01 1.080144792141165340e+02 1.553061433483333929e+02 2.225256032293240196e+02 3.091173290474394548e+02 3.983897307211042857e+02 4.928369959453136175e+02 6.042715342129340570e+02 6.503071428188411574e+02 6.410292466429076512e+02 5.059444831785430097e+02 6.875744339218973877e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.779844534889654106e+00 -3.863139284689846136e+03 -2.347128837624268272e+04 2.375984676896003123e+01 -5.658585706818515064e+03 -1.888292192334731908e+03 -1.968835271389036507e+03 1.448656944351094353e+03 1.363132914575184941e+03 -2.744908771128636545e+03 -1.328181691977991477e+03 5.818262685734396200e+02 1.701709541823692575e+02 -1.249356164842890621e+03 4.387145167400741457e+02 -3.756328304796977136e+03 -6.563546184917850951e+03 -3.345088095961495583e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -3.949394879439772077e-01 -6.362280289444909087e+00 -1.333809175490006993e+01 -2.142486819359833916e+01 -3.183648398455909145e+01 -4.501120526218959839e+01 -6.201861079062286564e+01 -8.166282605942375028e+01 -1.088782876175712175e+02 -1.532337988483874653e+02 -2.123638673424816545e+02 -2.354423385748176543e+02 -2.524523863044107088e+02 -3.520459628945342843e+02 -3.109112831151645651e+02 -2.694831371642788440e+02 -2.009255490058333748e+02 -2.255175010605810382e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
6.016012513849003263e+00 6.256223697152749992e+03 1.923236693510989790e+04 4.026771698372070318e+01 4.636643498337147321e+03 6.357868599163480212e+02 -1.467440778962317609e+03 1.363132914575184941e+03 9.204149659472346684e+03 8.363835183933821099e+03 -4.972337594665760662e+03 8.426937732985088587e+02 1.854821857248573451e+02 1.046459702849095265e+04 -7.104833539892745193e+02 6.083246919905764116e+03 1.062944153791657664e+04 -2.493209438376301478e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.799053809806707926e-01 1.151720941761980121e+01 2.915533408828489925e+01 5.097698528542203888e+01 7.851992887371102370e+01 1.122357509238783564e+02 1.516736322279693638e+02 1.927074818477743179e+02 2.380411634357736546e+02 2.948254313406249594e+02 3.481528760945150225e+02 3.294516104166539208e+02 2.566729832325045209e+02 2.075802098647484684e+02 6.251827720776050867e+00 -1.635119590822506268e+02 -2.076796053509345938e+02 -3.333774935866125055e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.113163196651531095e+01 2.534283136276912774e+04 1.223571298330387654e+05 -4.115955175258748255e+01 2.949852155118064547e+04 9.967554093345504953e+03 5.076522206420837392e+03 -2.744908771128636545e+03 8.363835183933821099e+03 2.292642625840243272e+04 -1.349934320587476577e+03 -1.402382093615823351e+03 -4.588434359476426607e+02 1.845283683130533609e+04 -2.878039644650060382e+03 2.464213370430134091e+04 4.305794636122584052e+04 8.625106553278041247e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.489264190082060679e+00 2.648434159742982885e+01 6.159028996959332147e+01 1.046735434819050283e+02 1.615613948532731285e+02 2.358334715393160366e+02 3.308022967323890384e+02 4.430342587862560890e+02 5.863146981711286116e+02 7.904939221093858350e+02 1.040687770168671250e+03 1.209044614254167527e+03 1.347457169962592843e+03 1.628000241223060357e+03 1.582103342019353022e+03 1.499175875411401421e+03 1.237364173312943421e+03 1.691461313108401043e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
