# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
2.147325336083719804e+01 -3.034410795389629456e+01 -4.559249592187205025e+01 -5.627576669227035006e-02 -1.833233012414829233e+01 3.671531924195600283e+01 1.682685936771274626e+01 3.845794792968175169e-01 -2.304680737258052403e+01 -2.016131245950731454e+01 3.749707726069001978e+01 -4.881332732677410746e+00 -1.134333305105363898e+00 -5.306479998902983652e+01 -4.893026114606940702e+00 -3.361145245409969107e+01 -7.094826103503042702e+01 3.934326929742341150e+01 -3.311345464382830658e-24 4.218005721213519399e-21 -7.934969783492068466e-21 1.011482563568100054e-18 1.702303416929212505e-18 7.693721555197138758e-18 -4.417107165186243874e-18 5.378275987782109165e-17 6.987129905913533783e-17 -1.855565698550168843e-16 1.638471953531862922e-16 -8.697521133543423722e-16 -4.405594931679269276e-15 4.088839319983914849e-15 3.554171970290294864e-15 -2.444992763673858763e-15 -2.578065213821774643e-14 -1.804723413791369527e-14 -3.306907213920194213e-14 3.210295651846836774e-14 -1.727672166815937464e-13 -5.398236802019062071e-14 -4.210274950846217931e-14 -1.823175966334554617e-13 -3.750893243265746476e-13 -2.874862463989404668e-13 -9.487750737269761148e-01 -1.978542044468092342e+01 -4.292115188309194451e+01 -4.370716667111218356e+01 -9.014213011165038480e+00 4.579448345165071288e+01 7.960045304711741210e+01 4.912464761841628302e+01 -3.080386224815557128e+01 -6.797724851061900608e+01 -1.465190177841599883e+00 5.126491916386252967e+01 -2.034906727325264342e+00 -2.503851514977063530e+01 1.241236917196321166e+01 -1.244978718710881838e+00 -1.370449349496547953e+00 5.776475566369533299e-01 -1.136487406370744052e-01 6.094882198586910188e-03 -1.000899615472325421e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.034410795389629456e+01 3.069510983945976113e+04 1.445668872978633735e+05 -9.849079498598739235e+01 5.812903745183171850e+04 -5.385787670926072224e+02 1.871514311575854663e+04 -1.908003668548073256e+04 1.426095384468990517e+02 2.087747739299193927e+04 -1.704890926746881814e+04 5.155319921245158184e+03 3.938302087414444372e+02 5.153748601691959630e+04 4.949625616393176642e+03 3.400024896134388837e+04 7.176894666660611983e+04 4.375830922768302116e+04 1.967699318394387433e-09 4.824240315790229366e-06 1.025552142103921779e-04 7.639415399582323921e-04 3.779276639900093233e-03 1.419677062627331537e-02 4.411101506495757746e-02 1.190338229082671395e-01 2.883832039691113791e-01 6.245184997684714023e-01 1.239707191945161213e+00 2.312516100950537723e+00 4.064029115775456447e+00 6.804338148219745364e+00 1.100585975612619904e+01 1.743959340488697407e+01 2.687786483846309693e+01 4.072540409125313943e+01 6.106206380900329833e+01 9.057689187276460530e+01 1.326422858685122321e+02 1.922336688300595426e+02 2.770771148982584577e+02 3.928871314283400125e+02 5.478133463388795690e+02 7.473145056777732407e+02 9.874330345045427748e+02 1.241738704281944365e+03 1.471696576195762646e+03 1.633056687353731377e+03 1.715162775469905000e+03 1.747135190139524639e+03 1.748000247981319035e+03 1.700221248980576547e+03 1.607267285099432684e+03 1.515588122930440250e+03 1.468025143131210143e+03 1.377818696396843052e+03 1.145515136609871433e+03 8.856041698822581338e+02 6.727141480408982943e+02 4.184108887960807124e+02 2.209231044121858076e+02 9.632816725609886532e+01 3.056424681658252851e+01 7.372672103145082367e+00 2.817207550317556430e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.559249592187205025e+01 1.445668872978633735e+05 7.074349622909994796e+05 -5.488857207285745972e+02 2.844531980066809920e+05 6.573947440559591087e+03 9.778476185967889614e+04 -9.728409592279924254e+04 -1.211686117076981827e+04 9.543215286909663700e+04 -6.510170145409255929e+04 2.340653206060099546e+04 1.234273841100618256e+03 2.337783876035731519e+05 2.331159498676431394e+04 1.601333302080279973e+05 3.380151847803332494e+05 2.286328146541531314e+05 1.121206836021540514e-08 2.569411124516386637e-05 5.155652591700694669e-04 3.650640939792349545e-03 1.728513771810574404e-02 6.268529265945628481e-02 1.894989314464473884e-01 5.007241231615406907e-01 1.193088820899584013e+00 2.551706928340522484e+00 5.017538064131461972e+00 9.289966994295472347e+00 1.622950623220311428e+01 2.704587344291642381e+01 4.357431591474612986e+01 6.880315212669144387e+01 1.057399438335217354e+02 1.598211302377347351e+02 2.391193749694700159e+02 3.540693668032297978e+02 5.178353007364230507e+02 7.499793449682629216e+02 1.081083347267205454e+03 1.534875716780933089e+03 2.146310005616299804e+03 2.944399646331545682e+03 3.929596227852672655e+03 5.025550154441467384e+03 6.116821289563426035e+03 7.063029442289273902e+03 7.803319793796365047e+03 8.385860140018716265e+03 8.796834256517202448e+03 8.882781027744113089e+03 8.630437194817504860e+03 8.300768186295539635e+03 8.153193492384242745e+03 7.731678840772351577e+03 6.480667832019910747e+03 5.040827571338301823e+03 3.845294834613106104e+03 2.399016499353747804e+03 1.269562967415060029e+03 5.544293308438174108e+02 1.761152069706604379e+02 4.251464289775822181e+01 1.625169712098971209e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.627576669227035006e-02 -9.849079498598739235e+01 -5.488857207285745972e+02 1.129337383213874446e+00 -2.207019824067174909e+02 -6.152196399321923792e+01 -9.091233771694604116e+01 9.152260646573409986e+01 9.645040412150969189e+01 -1.670534953883480966e+01 -9.331932480118578610e+01 -1.013853764686462267e+00 5.272581466922516391e+00 -2.791432663204185616e+01 -1.588176632666357868e+01 -1.090959298545774345e+02 -2.302836070459024995e+02 -2.125642407233301867e+02 -2.335919534945737400e-15 -5.660698498650464367e-12 -1.218134361126545129e-10 -9.449917757254082476e-10 -5.038338109739513642e-09 -2.097287286938139623e-08 -7.401081149914464686e-08 -2.325445184778425669e-07 -6.712512366516432671e-07 -1.757097567583382977e-06 -4.263210450707226461e-06 -9.850183092730057925e-06 -2.158013289340147335e-05 -4.517607223452749828e-05 -9.156233492407175477e-05 -1.830524659344187415e-04 -3.555556394056268274e-04 -6.787082859201324942e-04 -1.286460867021007627e-03 -2.418140007907436471e-03 -4.483709690153755978e-03 -8.238294781578447967e-03 -1.518832095354166571e-02 -2.761221744899522781e-02 -4.966862210542737077e-02 -8.861374816716913183e-02 -1.566606880510914290e-01 -2.703961589077227834e-01 -4.558180266990728979e-01 -7.534022830643161139e-01 -1.206058278004967343e+00 -1.859795729963094280e+00 -2.738876389954425949e+00 -3.809229527631878831e+00 -4.972483571159258098e+00 -6.330467719104682089e+00 -8.152015980617607127e+00 -1.003088227221397233e+01 -1.082126980220456858e+01 -1.083119299226666676e+01 -1.060865216233775854e+01 -8.397718702502476873e+00 -5.661311570517860936e+00 -3.131897486280513121e+00 -1.262771663380320319e+00 -3.821063568419749146e-01 -1.684174837238248262e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.833233012414829233e+01 5.812903745183171850e+04 2.844531980066809920e+05 -2.207019824067174909e+02 1.143760574034856545e+05 2.643324789799977680e+03 3.931836806203219749e+04 -3.911705481845539907e+04 -4.872080252673005816e+03 3.837240527152606228e+04 -2.617680516428219926e+04 9.411554777165652922e+03 4.962903447407516069e+02 9.400017460732707696e+04 9.373381438693964810e+03 6.438816331273782998e+04 1.359128476972762437e+05 9.193118627757427748e+04 4.508271249422488314e-09 1.033136967101134651e-05 2.073041262720970326e-04 1.467889693683097725e-03 6.950197493743005654e-03 2.520518904977778196e-02 7.619580589320357200e-02 2.013366397543164266e-01 4.797302207284825371e-01 1.026018269992847287e+00 2.017506660740005842e+00 3.735411679889321324e+00 6.525737623807952303e+00 1.087490102101703293e+01 1.752083820223236188e+01 2.766512499183921392e+01 4.251707476131162622e+01 6.426263052922948305e+01 9.614773730598507484e+01 1.423680890427213512e+02 2.082168894483278052e+02 3.015599093721700115e+02 4.346938331207725241e+02 6.171596393359199055e+02 8.630118350867682011e+02 1.183916459113636165e+03 1.580055091238038131e+03 2.020728249766390491e+03 2.459518500212246636e+03 2.839980237855552332e+03 3.137644290615591217e+03 3.371878493452037219e+03 3.537127467516567322e+03 3.571685886646249855e+03 3.470220714440490610e+03 3.337663788706870037e+03 3.278325339428122334e+03 3.108838111557195589e+03 2.605817903128750913e+03 2.026871160882206141e+03 1.546158263710946358e+03 9.646228299234809356e+02 5.104797831627628852e+02 2.229310178797084632e+02 7.081433136718781896e+01 1.709475326922279237e+01 6.534660379471569636e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.671531924195600283e+01 -5.385787670926072224e+02 6.573947440559591087e+03 -6.152196399321923792e+01 2.643324789799977680e+03 7.143494454268095069e+03 2.978780123150230338e+03 -2.482155749888589980e+03 -8.579406755146330397e+03 -4.669067906072032201e+03 1.322876504132508308e+04 -1.418361606676240626e+03 -5.758519799562570824e+02 -1.270690382501396198e+04 -8.684651320648094952e+01 -5.965709933020586959e+02 -1.259263479212105722e+03 6.964754741326506519e+03 -7.120183619073391151e-09 -1.587542803972604894e-05 -3.096157640639662402e-04 -2.125166084477434544e-03 -9.719700365807399517e-03 -3.400286700401554396e-02 -9.906065520567845784e-02 -2.518619051558033672e-01 -5.760289997446992327e-01 -1.181136796810939193e+00 -2.223148996041877101e+00 -3.928863063493242880e+00 -6.536847589040698736e+00 -1.035345618097881548e+01 -1.581166081951351821e+01 -2.356454613573819756e+01 -3.409324219458317629e+01 -4.833633783786226701e+01 -6.749181232329843283e+01 -9.276235536163794393e+01 -1.252863949922314788e+02 -1.664785283400646279e+02 -2.179332098553406354e+02 -2.785494103328193205e+02 -3.465871306010063790e+02 -4.163335254120808031e+02 -4.760004857166167085e+02 -5.084082243296443266e+02 -4.970245229476321924e+02 -4.310692314003433694e+02 -3.195075837412036321e+02 -1.756887193066376653e+02 -8.024117222265671145e+00 1.722618135113857818e+02 3.396219125342338430e+02 4.933826188050512087e+02 6.501198198068412921e+02 7.713044754757704595e+02 7.743382148006168109e+02 7.036439887961436170e+02 6.145488097287070559e+02 4.299477767490382121e+02 2.528011200003206795e+02 1.212549207438997456e+02 4.200286730790249123e+01 1.093979379030833954e+01 4.378450127022206484e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.682685936771274626e+01 1.871514311575854663e+04 9.778476185967889614e+04 -9.091233771694604116e+01 3.931836806203219749e+04 2.978780123150230338e+03 1.491045812828083399e+04 -1.432734843478272887e+04 -4.555331525533582862e+03 1.167798444549879787e+04 -4.879160332396899321e+03 2.826049024925939648e+03 1.485121918844583178e+01 2.817361624231570022e+04 3.017840700512485000e+03 2.073032247191890201e+04 4.375830922768301389e+04 3.486248720985469117e+04 1.905646287733005804e-09 4.020621370653209263e-06 7.434620804918470112e-05 4.848965457545365205e-04 2.117542948676171509e-03 7.139214875450231902e-03 2.026877561313953149e-02 5.083311223794648170e-02 1.158877150273293494e-01 2.393381158294298761e-01 4.577653415306740525e-01 8.286335508349084167e-01 1.421130095396531567e+00 2.333300452756123633e+00 3.711710194690552189e+00 5.793066851680046980e+00 8.819604493055901884e+00 1.321963372144085369e+01 1.963582125826465941e+01 2.889817159757124543e+01 4.207585758438455059e+01 6.079728747648646703e+01 8.766546726170075488e+01 1.250082083366080923e+02 1.765495728100223403e+02 2.468171816772869249e+02 3.403281124827454391e+02 4.584391920011578918e+02 6.016318492307215138e+02 7.676204382158790622e+02 9.460358181089487744e+02 1.122332050920445454e+03 1.270565727084320315e+03 1.354319423153725438e+03 1.364962684291484493e+03 1.346134383711023702e+03 1.344881270291692772e+03 1.291092726001915025e+03 1.092494022475791780e+03 8.557164355639253017e+02 6.559025681784488597e+02 4.106197168738742107e+02 2.178511099971399290e+02 9.530347997981044728e+01 3.031124888803676143e+01 7.323382805259729622e+00 2.800631409203341304e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.845794792968175169e-01 -1.908003668548073256e+04 -9.728409592279924254e+04 9.152260646573409986e+01 -3.911705481845539907e+04 -2.482155749888589980e+03 -1.432734843478272887e+04 1.440322755473055258e+04 4.550691587693900146e+03 -1.176378920581353668e+04 4.896145471716254178e+03 -2.836293678105089839e+03 -9.125775091582189802e+00 -2.838777002129346511e+04 -3.076680254089592836e+03 -2.113450646995102215e+04 -4.461147532747373043e+04 -3.349910494107233535e+04 -2.058338503074723069e-09 -4.464507082220429580e-06 -8.709079077082331507e-05 -6.109116146969636920e-04 -2.904428862182541204e-03 -1.064121746333609141e-02 -3.255966156049224652e-02 -8.694101806051628134e-02 -2.089418345990168013e-01 -4.489059033090277984e-01 -8.846003085795435261e-01 -1.636520457235430381e+00 -2.844949768096892484e+00 -4.705323281970633431e+00 -7.498647876484112906e+00 -1.167293959350709009e+01 -1.758449612501825143e+01 -2.596916834668319041e+01 -3.774008102899893657e+01 -5.377678660676470201e+01 -7.516758208528237617e+01 -1.030388705404476184e+02 -1.389712319150635551e+02 -1.825112944757480875e+02 -2.351808225222353883e+02 -2.983477520090934831e+02 -3.875031256589673490e+02 -5.429247878997393855e+02 -6.516765482676310057e+02 -7.539799570498406638e+02 -8.591636976053215449e+02 -9.763777080825759640e+02 -1.102442699856114132e+03 -1.205797129753855415e+03 -1.257263301369485134e+03 -1.281594641958386546e+03 -1.317353647352632152e+03 -1.294396467683321362e+03 -1.112874103027688761e+03 -8.831390384224060881e+02 -6.854308555565609140e+02 -4.321218724140225618e+02 -2.305315432082867630e+02 -1.013189959781198155e+02 -3.231479135449912121e+01 -7.824892543653725774e+00 -2.995560381389832383e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-2.304680737258052403e+01 1.426095384468990517e+02 -1.211686117076981827e+04 9.645040412150969189e+01 -4.872080252673005816e+03 -8.579406755146330397e+03 -4.555331525533582862e+03 4.550691587693900146e+03 1.274726454027220279e+04 5.996671151576012562e+03 -1.872041162951266233e+04 1.841898156963883821e+03 8.153436628451611341e+02 1.656416545017767203e+04 2.299596998774570977e+01 1.579652210666993426e+02 3.334386621346224047e+02 -1.065092606003469155e+04 2.387727241629071102e-09 5.744928453540883502e-06 1.175194177774452315e-04 8.333561630293617609e-04 3.900515747648619896e-03 1.387198776055260756e-02 4.101315553148359577e-02 1.058992357355782593e-01 2.465293636082267759e-01 5.154036157970961485e-01 9.921102052594517051e-01 1.798593188917549712e+00 3.074800930130923149e+00 5.016819249803188718e+00 7.908497275437509799e+00 1.220341609565118723e+01 1.829241272721374756e+01 2.694236623155576282e+01 3.916951401637413710e+01 5.607018815937882295e+01 7.901620340418843114e+01 1.096934986538657597e+02 1.505317497151648070e+02 2.020222327649211422e+02 2.659869931785462427e+02 3.425870087583938925e+02 4.396495829204290544e+02 5.827220298544987145e+02 6.641518272783818020e+02 6.870271187168197002e+02 6.326721988051568815e+02 4.915181468114273002e+02 2.708461057384762967e+02 -4.728960146500593154e-01 -2.785483136912534974e+02 -5.228992083136132578e+02 -7.373260206214655454e+02 -9.123927798695646061e+02 -1.050383332674509120e+03 -1.065805504221453475e+03 -9.432189635277413799e+02 -7.411185372946473535e+02 -4.854623574830987991e+02 -2.544935418599011143e+02 -1.001670202619175143e+02 -2.927449666605312473e+01 -1.269228333296144262e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.016131245950731454e+01 2.087747739299193927e+04 9.543215286909663700e+04 -1.670534953883480966e+01 3.837240527152606228e+04 -4.669067906072032201e+03 1.167798444549879969e+04 -1.176378920581353668e+04 5.996671151576012562e+03 1.795068664909265863e+04 -2.140752579098141359e+04 4.668442656674571481e+03 7.104024833072800220e+02 4.511551866341804998e+04 3.366519860996889747e+03 2.312548913358271602e+04 4.881411304235569696e+04 2.730456568573759432e+04 4.297693438207870080e-09 9.807003004737273327e-06 1.959741524578775850e-04 1.382300236699093420e-03 6.518468605322268357e-03 2.352097029709709214e-02 7.073453279441177521e-02 1.857618771637827015e-01 4.395653840797795198e-01 9.321103873849504451e-01 1.816514769755671832e+00 3.328830085069631295e+00 5.742093652064005127e+00 9.437641258196775240e+00 1.496533880945622741e+01 2.320268683145589605e+01 3.487297926298802508e+01 5.143590058942797327e+01 7.475737662571017950e+01 1.067337500328901143e+02 1.497244449999201947e+02 2.063960259553388426e+02 2.805430419813591811e+02 3.720757757945439153e+02 4.842003744583115008e+02 6.185336076349830137e+02 7.987481871882411042e+02 1.090914232500876778e+03 1.279117937326568153e+03 1.410094947015569687e+03 1.477998992032303931e+03 1.484505853850236008e+03 1.432350378927491647e+03 1.311945009493711495e+03 1.129168288681618151e+03 9.457607390829183487e+02 8.004568024114300897e+02 6.249974716062778270e+02 3.086211348554102187e+02 4.512197999416869720e+01 -6.476783524768187306e+01 -1.668601163371307052e+02 -1.665299263087522377e+02 -1.085823964112726685e+02 -5.097937107694185244e+01 -1.666366042249047297e+01 -7.657347656419009052e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
