# A b_HI Tb sigma_NL sigma8tot n_s f DA H omegak omegaDE w0 wa h gamma sigma_8 fs8 bs8 pk0 pk1 pk2 pk3 pk4 pk5 pk6 pk7 pk8 pk9 pk10 pk11 pk12 pk13 pk14 pk15 pk16 pk17 pk18 pk19 pk20 pk21 pk22 pk23 pk24 pk25 pk26 pk27 pk28 pk29 pk30 pk31 pk32 pk33 pk34 pk35 pk36 pk37 pk38 pk39 pk40 pk41 pk42 pk43 pk44 pk45 pk46 pk47 pk48 pk49 pk50 pk51 pk52 pk53 pk54 pk55 pk56 pk57 pk58 pk59 pk60 pk61 pk62 pk63 pk64 pk65 pk66 pk67 pk68 pk69 pk70 pk71 pk72 pk73 pk74 pk75 pk76 pk77 pk78 pk79 pk80 pk81 pk82 pk83 pk84 pk85 pk86 pk87 pk88 pk89
4.958358704637105596e+00 6.708217627883112044e+00 3.732032525340886764e+01 -6.492651935776357769e-03 7.997725813301586939e+00 8.144728923545304644e-01 1.825409831879957423e+00 -3.981818158871644364e+00 6.167042797006146770e+00 1.157752411711697782e+01 -4.472747944597417202e+00 1.143124525277961157e+00 1.450061052526766536e-01 1.671794676854940676e+01 -1.215266441215060889e+00 6.278171043709575905e+00 1.079512283706131015e+01 2.937519987606886929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.958755767027946930e-21 -2.692930920527886763e-18 -2.303284019810607075e-17 4.359124033017418980e-17 4.770908131850161969e-17 -4.234263662099347018e-17 -5.197803103867318414e-16 -3.872526755526014452e-16 -7.830521974413298236e-16 8.175242488502590382e-16 -4.556620739847640332e-15 -1.422258771497658331e-15 -1.211015784205360367e-15 -5.497419498488612902e-15 -1.165671997114162039e-14 -9.177179551624510574e-15 -3.560140931745462561e-02 -7.898892361296776521e-01 -1.967044093333487620e+00 -2.414274874125995840e+00 -5.383287574258834862e-01 4.394195423820481672e+00 9.693479147782580796e+00 7.564299233589407478e+00 -6.961157252831365660e+00 -1.831561726692416059e+01 3.124539706523239979e-01 2.279369423816749674e+01 -2.253381835029625080e+00 -1.737734164649647184e+01 1.143736935896543905e+01 -1.902740401804522419e+00 -1.588776947764781511e+00 1.284294701852614740e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.708217627883112044e+00 1.819163119230998927e+04 1.068409308647294238e+05 -4.574407797244704454e+01 2.289595454734060331e+04 5.523625853522830766e+03 6.240254877018266598e+03 -4.635579091155444075e+03 3.250161286270106302e+03 1.831808226016409026e+04 2.996024701739377747e+02 -1.271575824075719538e+03 -3.605939669880816041e+02 1.406624715072233630e+04 -3.295611461244715429e+03 1.702541249029888786e+04 2.927467536402413316e+04 1.004205910851477711e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.213825611655730861e-06 2.851048473236618853e-03 2.349503033201047128e-02 7.271876595487340722e-02 1.648678626606404907e-01 3.259630328917574871e-01 5.856203615682441521e-01 9.967718444541974199e-01 1.637252476192647022e+00 2.619744364691360516e+00 4.086344015436470301e+00 6.256062547712758715e+00 9.501116373869741949e+00 1.417363990968291176e+01 2.087583216630320493e+01 3.043289809048904004e+01 4.398558009726009743e+01 6.278795542228763793e+01 8.897337107655411614e+01 1.260992453907823716e+02 1.779533536513082481e+02 2.491590224143757553e+02 3.418478899413440786e+02 4.529745727966434288e+02 5.718017905048343437e+02 7.076147409153333001e+02 8.872099846926074633e+02 1.064715269348276479e+03 1.115448552466525143e+03 1.077685253163698917e+03 1.018570878675197491e+03 7.736793438048823646e+02 5.010352094736102231e+02 1.959782539278449747e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.732032525340886764e+01 1.068409308647294238e+05 6.567327531585124088e+05 -3.310509005526265582e+02 1.407374790201406868e+05 3.475808290221063362e+04 4.334624924269418261e+04 -3.237614752574589511e+04 8.326987059070472242e+03 1.054236254813279957e+05 6.435620252846356379e+03 -8.723673344227539928e+03 -2.435276999587125374e+03 7.850300572022245615e+04 -1.935539438798098490e+04 9.999163349290309998e+04 1.719325514897896210e+05 6.975445804796006996e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.745880810295147842e-05 2.339263718526212940e-02 1.836866063356655254e-01 5.438055869339973869e-01 1.186506513509189009e+00 2.268089597524783230e+00 3.961207343985652329e+00 6.579381968948106341e+00 1.058250842935856895e+01 1.662432200219594947e+01 2.553073100711809573e+01 3.857721523207003145e+01 5.791585275907098662e+01 8.558583675567533078e+01 1.250757216059576962e+02 1.812001056498280320e+02 2.606191488027694163e+02 3.706733111557296070e+02 5.238739359173371213e+02 7.410007014774060963e+02 1.044340662915047460e+03 1.461212488327672190e+03 2.006800086380440007e+03 2.668485380532303680e+03 3.389922528864948617e+03 4.226308580519819770e+03 5.334981733543132577e+03 6.458753789160977249e+03 6.864021770532234768e+03 6.740547289299578551e+03 6.464646082709676193e+03 4.995639989974537457e+03 3.288883729322469208e+03 1.301197652698387401e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-6.492651935776357769e-03 -4.574407797244704454e+01 -3.310509005526265582e+02 3.627563005902871840e-01 -7.094403156694461643e+01 -2.655160761356352950e+01 -2.997743482481840260e+01 2.284674108983108454e+01 3.187245765262865760e+01 -3.146250283017548455e+01 -2.231221371756711491e+01 9.640558067929113406e+00 2.313522682548518450e+00 -3.554151193037224044e+00 8.287036278186848293e+00 -4.281154274931250114e+01 -7.361313662933535795e+01 -4.824084566499583104e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.499720121620810836e-11 -3.146056456035667079e-08 -2.725071508061809529e-07 -9.183252770159507536e-07 -2.321743003086994914e-06 -5.233107125166862354e-06 -1.086950553060270229e-05 -2.161188503387467157e-05 -4.202229458284241156e-05 -8.033952528099441910e-05 -1.506864364167700998e-04 -2.792345330220145504e-04 -5.187554388921542577e-04 -9.506023459820524052e-04 -1.727261834655780806e-03 -3.127360958672967869e-03 -5.660387967446714984e-03 -1.013595656457188209e-02 -1.806770656322797056e-02 -3.242378571895161710e-02 -5.802167238793555504e-02 -1.030544840862286510e-01 -1.805497912813155137e-01 -3.102269837274014286e-01 -5.120358950037406931e-01 -8.317155688605072372e-01 -1.367437100631788027e+00 -2.164705213620034652e+00 -3.044643571960098605e+00 -3.982351090632934021e+00 -5.064353738441274899e+00 -5.171440901996942507e+00 -4.502115459220419780e+00 -2.222955353891303165e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.997725813301586939e+00 2.289595454734060331e+04 1.407374790201406868e+05 -7.094403156694461643e+01 3.015996675311823492e+04 7.448638642893264660e+03 9.289078112909388437e+03 -6.938191161082311737e+03 1.784468889195256224e+03 2.259222675897880254e+04 1.379149990556270950e+03 -1.869478548704952118e+03 -5.218785632196112374e+02 1.682315229053470466e+04 -4.147850702593990718e+03 2.142815377064103086e+04 3.684505415908976283e+04 1.494834318658775010e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.884407943293868398e-06 5.013029682550282362e-03 3.936394184866685853e-02 1.165372474786347534e-01 2.542677135397192201e-01 4.860503920540696354e-01 8.488846228353852386e-01 1.409958049704322036e+00 2.267825916850283008e+00 3.562583345745513164e+00 5.471222049155021416e+00 8.267076665915084277e+00 1.241133638213100454e+01 1.834099920689620689e+01 2.680366048562025938e+01 3.883108607678161661e+01 5.585054470097929169e+01 7.943509304387333714e+01 1.122659052876097405e+02 1.587960554373550792e+02 2.238016475194907571e+02 3.131370575488064674e+02 4.300561890605362692e+02 5.718549949762763163e+02 7.264585914003901053e+02 9.056956765486374934e+02 1.143283742414679864e+03 1.384107495060321071e+03 1.470956207495417857e+03 1.444495691968475285e+03 1.385370210427722668e+03 1.070562987607714149e+03 7.048060305033764052e+02 2.788459635475123264e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.144728923545304644e-01 5.523625853522830766e+03 3.475808290221063362e+04 -2.655160761356352950e+01 7.448638642893264660e+03 2.888154001044122197e+03 2.425371567583444175e+03 -1.607090492636550835e+03 -1.019251131098934479e+03 4.533672020852573951e+03 1.359186327736160820e+03 -7.890086147550640590e+02 -1.901641155976757602e+02 1.929266613354116998e+03 -1.000664782506836787e+03 5.169520402219846801e+03 8.888832012082939400e+03 3.903001579547949859e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.281733235875355927e-06 -5.207930548582715216e-03 -3.924780471951581917e-02 -1.106903819462570909e-01 -2.291621787468901272e-01 -4.136216192110196976e-01 -6.801734242394936736e-01 -1.059900632750811589e+00 -1.591188536726063196e+00 -2.320235237095094938e+00 -3.290713607740651803e+00 -4.562124627655801845e+00 -6.219879569598139035e+00 -8.273787447736898670e+00 -1.075737326775825231e+01 -1.364293506193143557e+01 -1.679900847852416135e+01 -1.992885607783365032e+01 -2.258287547526159145e+01 -2.391931982987348349e+01 -2.247019860207165465e+01 -1.584221771880729079e+01 -3.789221611812013668e-01 2.839215157322270855e+01 7.219095080765090700e+01 1.351355715469056236e+02 2.281707900844641586e+02 3.452353529115319475e+02 4.390691121893596573e+02 5.031940016384234013e+02 5.522008309061098998e+02 4.784592287626703069e+02 3.498862919033741150e+02 1.498064997390230246e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.825409831879957423e+00 6.240254877018266598e+03 4.334624924269418261e+04 -2.997743482481840260e+01 9.289078112909388437e+03 2.425371567583444175e+03 3.673931402193926715e+03 -2.769561204530767100e+03 -1.349147300498230834e+03 5.789066246585003682e+03 1.173439372202175264e+03 -7.236821334652460109e+02 -1.963871274871461878e+02 3.884246661959514313e+03 -1.130489909144766898e+03 5.840208181592126493e+03 1.004205910851477711e+04 5.912232277135560253e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.067849243456090071e-06 2.500224546125398919e-03 1.852299653792456938e-02 5.167046348609555251e-02 1.065210484752385917e-01 1.927970651357096554e-01 3.203634209452085879e-01 5.079836974216511702e-01 7.829903472408826781e-01 1.182192030994298593e+00 1.752354570088240360e+00 2.566134446866203067e+00 3.743432447761053439e+00 5.398418846250828018e+00 7.726626819210977715e+00 1.100382195263289020e+01 1.561226454481870007e+01 2.197645225944451042e+01 3.082406845007634999e+01 4.334946147778220649e+01 6.086136801960122256e+01 8.498361583952973319e+01 1.170575352197953123e+02 1.572446147508319996e+02 2.033992038541456964e+02 2.588585038300805650e+02 3.328053079582281839e+02 4.123028624201323282e+02 4.542759079270257416e+02 4.638325306338749101e+02 4.598760517931582967e+02 3.688330872338949007e+02 2.511531522334176429e+02 1.016177016859799096e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.981818158871644364e+00 -4.635579091155444075e+03 -3.237614752574589511e+04 2.284674108983108454e+01 -6.938191161082311737e+03 -1.607090492636550835e+03 -2.769561204530767100e+03 2.406573586437292306e+03 1.426810930423093851e+03 -4.335259318762952716e+03 -9.800925121650905112e+02 5.547270755915444624e+02 1.542884251393472539e+02 -3.025659374279383428e+03 8.397854717270321316e+02 -4.338404034471004707e+03 -7.459752871155345929e+03 -4.456884833818934567e+03 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -3.432000743770119995e-06 -2.788703700997848325e-03 -2.086779571696205371e-02 -5.965269100680009595e-02 -1.270763200257717662e-01 -2.387073346496443871e-01 -4.101902357152273360e-01 -6.702853276279502337e-01 -1.056449034655512209e+00 -1.612806432427480896e+00 -2.390106515184202696e+00 -3.449431821342290760e+00 -4.886200077094652094e+00 -6.724961229955598085e+00 -9.093309928607620662e+00 -1.217597695225947518e+01 -1.696591223955491401e+01 -2.622229577661036615e+01 -3.575961963256010989e+01 -4.842285255128996369e+01 -6.512373364798916953e+01 -8.603264492150923104e+01 -1.107458486843921577e+02 -1.387495912851841524e+02 -1.664443916366674046e+02 -2.003365255287730236e+02 -2.521725757215876342e+02 -3.100006172706567327e+02 -3.113865064837514183e+02 -2.954130954597944196e+02 -3.168596200711953657e+02 -2.407694813047953630e+02 -1.612569187350959226e+02 -6.814842943813415843e+01 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
6.167042797006146770e+00 3.250161286270106302e+03 8.326987059070472242e+03 3.187245765262865760e+01 1.784468889195256224e+03 -1.019251131098934479e+03 -1.349147300498230834e+03 1.426810930423093851e+03 7.610752555689187830e+03 5.596777657348723551e+03 -3.579752318965264749e+03 8.394355229946969530e+02 1.743328455857844688e+02 7.496758862615193721e+03 -5.888019976159982889e+02 3.041801802915862027e+03 5.230285043184989263e+03 -2.171099931765932070e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.556899236056062281e-06 4.029953933862704361e-03 3.245832228173614609e-02 9.679772442501401175e-02 2.094198507064061188e-01 3.927775994668766812e-01 6.671056508489656700e-01 1.073142266126646982e+00 1.663287162824945931e+00 2.500828150918349202e+00 3.663509191807237997e+00 5.253490438267101936e+00 7.437773864795330425e+00 1.030674072399089702e+01 1.411086071377883044e+01 1.919293846619516941e+01 2.676909675982610182e+01 3.983256820521122421e+01 5.425848832100065522e+01 7.341470438199611692e+01 9.846757589368802144e+01 1.295248701285828759e+02 1.646775874074748458e+02 1.991437258259446992e+02 2.227076090505551065e+02 2.380426525336059740e+02 2.522737793736976073e+02 2.351623515575303713e+02 1.067304791579920362e+02 -6.685055057362289688e+01 -1.933649182131505313e+02 -3.393955885760979641e+02 -3.690431116368500852e+02 -1.947033928150540021e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.157752411711697782e+01 1.831808226016409026e+04 1.054236254813279957e+05 -3.146250283017548455e+01 2.259222675897880254e+04 4.533672020852573951e+03 5.789066246585003682e+03 -4.335259318762952716e+03 5.596777657348723551e+03 1.955335432065838540e+04 -1.114671172026152590e+03 -8.361496926611008575e+02 -2.725045494386320684e+02 1.666691198154813537e+04 -3.318519444817005933e+03 1.714375710531971345e+04 2.947816530518058062e+04 9.315988942280542688e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.753015216708920268e-06 6.659899803665698600e-03 5.269776984040517448e-02 1.568668443946412694e-01 3.429614595134920507e-01 6.551185743083119961e-01 1.138703875363806350e+00 1.878174247316643841e+00 2.989283170813346491e+00 4.623826110224947605e+00 6.967969902804848736e+00 1.028405421763507910e+01 1.500709253304597368e+01 2.145437987452486439e+01 3.029596426006163767e+01 4.245790777554549322e+01 6.026829239290009355e+01 8.864273402080227982e+01 1.231608949207134458e+02 1.706235812435065498e+02 2.350919741556948850e+02 3.199656679446836733e+02 4.252510600714632005e+02 5.455781773074539842e+02 6.644926850265686653e+02 7.953529603741951632e+02 9.705768445782931622e+02 1.130653976111272868e+03 1.090513763642193908e+03 9.480924393633550835e+02 8.496725777112527567e+02 5.310230651830484021e+02 2.595593908749745538e+02 7.576715521924991492e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
